1,Grace Schools IRA,Retirement PlansIRA,Spouse,--,,
1.1,"Grace Schools IRA - Money MarketCompany: Grace Schools (Winona Lake, IN) Description: Cash Filer comment:  IRA held in cash",Deferred CompensationDeferred Compensation - Cash,Spouse,"$1,001 - $15,000",None,None (or less than $201)
2,ReliaStar Life InsuranceProvider: ReliaStar Life Insurance Company,Life InsuranceUniversal,Spouse,"$100,001 - $250,000",None,None (or less than $201)
3,Roblox Corporation Class A (RBLX),Corporate SecuritiesStock,Joint,"None (or less than $1,001)",None,None (or less than $201)
4,Schwab IRA,Retirement PlansIRA,Self,--,,
4.1,"PTON - Peloton Interactive, Inc. - Common StockFiler comment:  Tax-deferred",Corporate SecuritiesStock,Self,"$1,001 - $15,000",None,None (or less than $201)
4.2,Patient Access Solutions Inc. (PASO)Filer comment:  Tax-deferred,Corporate SecuritiesStock,Self,"None (or less than $1,001)",None,None (or less than $201)
5,Roth IRA,Retirement PlansIRA,Spouse,--,,
5.1,MOAT - VanEck Morningstar Wide Moat ETFFiler comment:  Tax-deferred,Mutual FundsExchange Traded Fund/Note,Spouse,"$1,001 - $15,000",None,None (or less than $201)
6,IRA,Retirement PlansIRA,Spouse,--,,
6.1,MOAT - VanEck Morningstar Wide Moat ETFFiler comment:  Tax-Deferred,Mutual FundsExchange Traded Fund/Note,Spouse,"$15,001 - $50,000",None,None (or less than $201)
7,INPRS Legislators' Defined Contribution Fund,"Retirement Plans401(k), 403(b), or other Defined Contribution Plan.",Self,--,,
7.1,"2045 Retirement FundFiler comment:  Tax-deferred, 2045 Retirement Fund",Mutual FundsMutual Fund,Self,"$100,001 - $250,000",None,None (or less than $201)
8,INPRS Legislators' Defined Contribution Fund,"Retirement Plans401(k), 403(b), or other Defined Contribution Plan.",Spouse,--,,
8.1,"2045 Retirement FundFiler comment:  Tax-deferred, 2045 Retirement Fund",Mutual FundsMutual Fund,Spouse,"$15,001 - $50,000",None,None (or less than $201)
9,"Rental propertyDescription: Rental property in Falls Church (Falls Church, VA)",Real EstateResidential,Joint,"$1,000,001 - $5,000,000",Rent/Royalties,"$50,001 - $100,000"
10,"YUM - Yum! Brands, Inc.",Corporate SecuritiesStock,Joint,"None (or less than $1,001)",Capital Gains,None (or less than $201)
11,"College Choice 529Institution: INDIANA 529Filer comment:  Tax-deferred, 529 plan for child 3",Education Savings Plans529 College Savings Plan,Joint,--,,
11.1,2033 Enrollment Portfolio,Mutual FundsMutual Fund,Joint,"$1,001 - $15,000",None,None (or less than $201)
12,"College Choice 529Institution: INDIANA 529Filer comment:  Tax-deferred, 529 plan for child 2",Education Savings Plans529 College Savings Plan,Joint,--,,
12.1,2030 Enrollment Portfolio,Mutual FundsMutual Fund,Joint,"$1,001 - $15,000",None,None (or less than $201)
13,"College Choice 529Institution: INDIANA 529Filer comment:  Tax-deferred, 529 plan for child 1",Education Savings Plans529 College Savings Plan,Joint,--,,
13.1,2030 Enrollment Portfolio,Mutual FundsMutual Fund,Joint,"$1,001 - $15,000",None,None (or less than $201)
14,MetLife life insuranceProvider: MetLife,Life InsuranceUniversal,Spouse,"$250,001 - $500,000",None,None (or less than $201)
15,SBUX - Starbucks Corporation - Common Stock,Corporate SecuritiesStock,Joint,"$1,001 - $15,000",Dividends,None (or less than $201)
