1,PERA - Public Employees' Retirement Association of Colorado,Retirement PlansDefined Benefit Pension Plan,Self,"$50,001 - $100,000",Excepted Investment Fund,None (or less than $201)
2,"Truist - f/k/a Suntrust(Richmond, VA)Type: Certificate of Deposit",Bank Deposit,Spouse,"$1,001 - $15,000",None,None (or less than $201)
3,CollegeInvest FundInstitution: CollegeInvest,Education Savings Plans529 College Savings Plan,Spouse,--,,
3.1,Moderate Age-Based Option: Income Portfolio,Mutual FundsMutual Fund,Spouse,"None (or less than $1,001)",Excepted Investment Fund,None (or less than $201)
3.2,Conservative Age-Based Option: Interest Accumulation Portfolio,Mutual FundsMutual Fund,Spouse,"None (or less than $1,001)",Excepted Investment Fund,None (or less than $201)
3.3,Income Portfolio,Mutual FundsMutual Fund,Spouse,"$50,001 - $100,000",Excepted Investment Fund,None (or less than $201)
3.4,Interest Accumulation Portfolio,Mutual FundsMutual Fund,Spouse,"$15,001 - $50,000",Excepted Investment Fund,None (or less than $201)
4,CollegeInvest FundInstitution: CollegeInvestFiler comment:  Reported as a Child asset on prior reports.,Education Savings Plans529 College Savings Plan,Spouse,--,,
4.1,Moderate Age-Based option: Income Portfolio,Mutual FundsMutual Fund,Spouse,"None (or less than $1,001)",Excepted Investment Fund,None (or less than $201)
4.2,Conservative Age-Based option: Interest Accumulation Portfolio,Mutual FundsMutual Fund,Spouse,"None (or less than $1,001)",Excepted Investment Fund,None (or less than $201)
4.3,Income Portfolio,Mutual FundsMutual Fund,Spouse,"$100,001 - $250,000",Excepted Investment Fund,None (or less than $201)
4.4,Interest Accumulation Portfolio,Mutual FundsMutual Fund,Spouse,"$100,001 - $250,000",Excepted Investment Fund,None (or less than $201)
5,"Daggett Farms Limited PartnershipDescription: 1500 acre family farm (Marianna, AR) Filer comment:  9.42% limited partnership",Farm/Ranch,Spouse,"$15,001 - $50,000","Rent/Royalties, Interest","$5,001 - $15,000"
6,"LMD Farms Limited PartnershipDescription: 1500 acre family farm (Marianna, AR) Filer comment:  8.97% limited partnership",Farm/Ranch,Spouse,"$15,001 - $50,000","Rent/Royalties, Interest","$15,001 - $50,000"
7,The Michael F. Bennet Trust,TrustGeneral Trust,Self,--,,
7.1,"Charles Schwab Bank(Denver, CO)Type: Brokerage Sweep Account",Bank Deposit,Self,"$100,001 - $250,000",Interest,None (or less than $201)
7.2,SPY - SPDR S&P 500 ETF,Mutual FundsExchange Traded Fund/Note,Self,"$1,000,001 - $5,000,000",Excepted Investment Fund,"$15,001 - $50,000"
7.3,EAERX - Eaton Vance Stock A,Mutual FundsMutual Fund,Self,"$5,000,001 - $25,000,000",Excepted Investment Fund,"$100,001 - $1,000,000"
7.4,"Canyon Balanced Fund LPDescription: Hedge fund (Los Angeles, CA)",Investment FundHedge Fund,Self,"$1,000,001 - $5,000,000",Excepted Investment Fund,"$100,001 - $1,000,000"
7.5,"Belmar HH Owner LLCDescription: Hotel (Lakewood, CO)",Real EstateCommercial,Self,"$15,001 - $50,000",Other (Ordinary Business Income),"$15,001 - $50,000Other $15,001.00"
7.6,"CP Block A Member, LLCDescription: Mixed use development (Denver, CO)",Real EstateCommercial,Self,"$50,001 - $100,000","Interest, Other (Ordinary Business Income)","$2,501 - $5,000Other $2,501.00"
7.7,"LUMN - Lumen Technologies, Inc.",Corporate SecuritiesStock,Self,"$15,001 - $50,000",None,None (or less than $201)
7.8,"Continuum Real Estate Investors 2016, LLCCompany: Continuum Real Estate Investors 2016, LLC (Denver, CO) Description: Commercial Real Estate",Business EntityLimited Liability Company (LLC),Self,--,,
7.8.1,"Continuum Market Station, LLCDescription: Continuum Market Station, LLC (Denver, CO)",Real EstateCommercial,Self,"$50,001 - $100,000",None,None (or less than $201)
