1,"Payflex Systems USA INC(Omaha, NE)Type: Savings",Bank Deposit,Self,"$15,001 - $50,000",None,None (or less than $201)
2,"Strategic Sales Tactics Inc.Company: Strategic Sales Tactics Inc (Brentwood, TN) Description: Marketing Consulting",Corporate SecuritiesNon-Public Stock,Spouse,"$1,001 - $15,000",None,None (or less than $201)
3,American Funds Brokerage Account,Brokerage/Managed Account,Self,--,,
3.1,ABALX - American Funds American Balanced Fund Class A,Mutual FundsMutual Fund,Self,"$15,001 - $50,000","Dividends, Capital Gains","$1,001 - $2,500"
3.2,"AIVSX - American Funds Investment Company of America ClassFiler comment:  Capital gains and dividend reinvestment increased value above $15,000",Mutual FundsMutual Fund,Self,"$15,001 - $50,000","Dividends, Capital Gains","$1,001 - $2,500"
3.3,ANWPX - American Funds New Perspective Fund Class A,Mutual FundsMutual Fund,Self,"$100,001 - $250,000","Dividends, Capital Gains","$5,001 - $15,000"
4,MetLife IRA,Brokerage/Managed Account,Spouse,--,,
4.1,AB Global Dynamic Allocation Portfolio,Mutual FundsMutual Fund,Spouse,"$1,001 - $15,000",None,None (or less than $201)
4.2,Invesco Balanced Risk Allocation Portfolio,Mutual FundsMutual Fund,Spouse,"$1,001 - $15,000",None,None (or less than $201)
4.3,Blackrock Global Tactical Strategies Portfolio,Mutual FundsMutual Fund,Spouse,"$1,001 - $15,000",None,None (or less than $201)
4.4,JP Morgan Global Active Allocation Portfolio,Mutual FundsMutual Fund,Spouse,"$1,001 - $15,000",None,None (or less than $201)
4.5,BHLife Balanced Plus Portfolio,Mutual FundsMutual Fund,Spouse,"$1,001 - $15,000",None,None (or less than $201)
4.6,Schroeders Global Multi-Asset Portfolio,Mutual FundsMutual Fund,Spouse,"$1,001 - $15,000",None,None (or less than $201)
5,State of Tennessee Pension,Retirement PlansDefined Benefit Pension Plan,Self,Unascertainable,Other (Annual Pension Payment),"Other $5,138.46"
6,"Pinnacle Bank(Nashville, TN)Type: Checking",Bank Deposit,Self,"$100,001 - $250,000",None,None (or less than $201)
7,"First Horizon(Memphis, TN)Type: Checking",Bank Deposit,Spouse,"$1,001 - $15,000",Interest,None (or less than $201)
8,529 Account - grandchild 1Institution: Capital Group College America,Education Savings Plans529 College Savings Plan,Self,--,,
8.1,CLBAX - American Balanced Fund Class 529-A Shares,Mutual FundsMutual Fund,Self,"$1,001 - $15,000",None,None (or less than $201)
8.2,CICAX - The Investment Company of America Class 529-A S,Mutual FundsMutual Fund,Self,"$1,001 - $15,000",None,None (or less than $201)
9,529 Account - grandchild 3Institution: Capital Group College America,Education Savings Plans529 College Savings Plan,Self,--,,
9.1,CCFAX - American Funds College Fund 2036 Class 529-A,Mutual FundsMutual Fund,Self,"$1,001 - $15,000",None,None (or less than $201)
10,M Financial Group,Brokerage/Managed Account,Self,--,,
10.1,"QQQ - Invesco QQQ Trust, Series 1",Mutual FundsExchange Traded Fund/Note,Self,"$1,001 - $15,000","Dividends, Capital Gains","$1,001 - $2,500"
10.2,IWM - iShares Russell 2000 ETF,Mutual FundsExchange Traded Fund/Note,Self,"$1,001 - $15,000","Dividends, Capital Gains","$201 - $1,000"
10.3,IWP - iShares Russell Mid-Cap Growth ETF,Mutual FundsExchange Traded Fund/Note,Self,"$1,001 - $15,000","Dividends, Capital Gains","$201 - $1,000"
10.4,IWO - iShares Russell 2000 Growth ETF,Mutual FundsExchange Traded Fund/Note,Self,"$1,001 - $15,000","Dividends, Capital Gains","$201 - $1,000"
10.5,SPY - State Street SPDR S&P 500 ETF Trust,Mutual FundsExchange Traded Fund/Note,Self,"$1,001 - $15,000","Dividends, Capital Gains","$201 - $1,000"
10.6,SPYD - SPDR(R) Portfolio S&P 500 High Dividend ETF,Mutual FundsExchange Traded Fund/Note,Self,"$1,001 - $15,000","Dividends, Capital Gains","$201 - $1,000"
10.7,VUG - Vanguard Growth Index Fund - ETF Shares,Mutual FundsExchange Traded Fund/Note,Self,"$1,001 - $15,000","Dividends, Capital Gains","$1,001 - $2,500"
10.8,MGK - Vanguard Mega Cap Growth Index Fund - ETF Shares,Mutual FundsExchange Traded Fund/Note,Self,"$1,001 - $15,000","Dividends, Capital Gains","$1,001 - $2,500"
10.9,VOOV - Vanguard S&P 500 Value Index Fund - ETF Shares,Mutual FundsExchange Traded Fund/Note,Self,"$1,001 - $15,000","Dividends, Capital Gains","$201 - $1,000"
10.10,VYM - Vanguard High Dividend Yield Index Fund - ETF Shares,Mutual FundsExchange Traded Fund/Note,Self,"$1,001 - $15,000","Dividends, Capital Gains","$201 - $1,000"
10.11,VGT - Vanguard Information Technology Index Fund - ETF Shares,Mutual FundsExchange Traded Fund/Note,Self,"$1,001 - $15,000","Dividends, Capital Gains","$1,001 - $2,500"
10.12,"M Financial Group(Portland, OR)Type: Money Market Account",Bank Deposit,Self,"$100,001 - $250,000",Interest,"$2,501 - $5,000"
11,Jackson National Life Insurance Perspective II Variable and Fixed Annuity,Life InsuranceVariable,Self,--,,
11.1,JNL/American Funds Growth A,Mutual FundsMutual Fund,Self,"$100,001 - $250,000",None,None (or less than $201)
11.2,JNL/Mellon Nasdaq 100 Index A,Mutual FundsMutual Fund,Self,"$100,001 - $250,000",None,None (or less than $201)
11.3,JNL/Newton Equity Income A,Mutual FundsMutual Fund,Self,"$100,001 - $250,000",None,None (or less than $201)
11.4,JNL/Mellon Dow Index A,Mutual FundsMutual Fund,Self,"$50,001 - $100,000",None,None (or less than $201)
11.5,JNL/JPMorgan MidCap Growth A,Mutual FundsMutual Fund,Self,"$15,001 - $50,000",None,None (or less than $201)
11.6,JNL/T. Rowe Price Established Growth A,Mutual FundsMutual Fund,Self,"$15,001 - $50,000",None,None (or less than $201)
11.7,JNL/Mellon Information Technology Sector A,Mutual FundsMutual Fund,Self,"$50,001 - $100,000",None,None (or less than $201)
11.8,JNL/Mellon Healthcare Sector A,Mutual FundsMutual Fund,Self,"$15,001 - $50,000",None,None (or less than $201)
11.9,JNL/T.Rowe Price Capital Appreciation A,Mutual FundsMutual Fund,Self,"$15,001 - $50,000",None,None (or less than $201)
12,529 Account - grandchild 2Institution: Capital Group College America,Education Savings Plans529 College Savings Plan,Self,--,,
12.1,CLBAX - American Balanced Fund Class 529-A Shares,Mutual FundsMutual Fund,Self,"$1,001 - $15,000",None,None (or less than $201)
12.2,CICAX - The Investment Company of America Class 529-A S,Mutual FundsMutual Fund,Self,"$1,001 - $15,000",None,None (or less than $201)
12.3,CNPAX - NEW PERSPECTIVE FUND - Class 529-A,Mutual FundsMutual Fund,Self,"$1,001 - $15,000",None,None (or less than $201)
13,529 Account - grandchild 4Institution: Capital Group College America,Education Savings Plans529 College Savings Plan,Self,--,,
