1,"Arvest(Bentonville, Arkansas)Type: Checking",Bank Deposit,Joint,"$15,001 - $50,000",Interest,None (or less than $201)
2,"Fed Credit Union(Washington, DC)Type: Checking, Savings",Bank Deposit,Joint,"$1,001 - $15,000",Interest,None (or less than $201)
3,"Senate Credit Union(Washington, DC)Type: Checking",Bank Deposit,Self,"$1,001 - $15,000",Interest,None (or less than $201)
4,Merrill Lynch Account,Brokerage/Managed Account,Joint,--,,
4.1,U.S. Treasury BillsRate/Coupon: None  Matures: None,Government SecuritiesUS Treasury/Agency Security,Joint,"$50,001 - $100,000",Interest,"$2,501 - $5,000"
5,"Invesco Short Term MM(Atlanta, GA)Type: Money Market Account",Bank Deposit,Joint,"$1,001 - $15,000",Interest,"$201 - $1,000"
6,ABG Bond Fund,Mutual FundsMutual Fund,Joint,"$100,001 - $250,000",Interest,"$2,501 - $5,000"
7,ABG Equity Fund,Mutual FundsMutual Fund,Joint,"$50,001 - $100,000",Interest,"$1,001 - $2,500"
8,John Boozman IRA,Retirement PlansIRA,Joint,--,,
8.1,TBLL - Invesco Short Term Treasury ETF,Mutual FundsExchange Traded Fund/Note,Joint,"$50,001 - $100,000",Interest,"$201 - $1,000"
8.2,EBAY - Ebay Inc,Corporate SecuritiesStock,Joint,"None (or less than $1,001)",None,None (or less than $201)
8.3,ECL - Ecolab Inc. Common Stock,Corporate SecuritiesStock,Joint,"$1,001 - $15,000",None,None (or less than $201)
8.4,"FBIN - Fortune Brands Innovations, Inc. Common Stock",Corporate SecuritiesStock,Joint,"None (or less than $1,001)",None,None (or less than $201)
8.5,"LOW - Lowe's Companies, Inc. Common Stock",Corporate SecuritiesStock,Joint,"$1,001 - $15,000",None,None (or less than $201)
8.6,OMC - Omnicom Group Inc. Common Stock,Corporate SecuritiesStock,Joint,"$1,001 - $15,000",None,None (or less than $201)
8.7,QSR - Restaurant Brands International Inc. Common Shares,Corporate SecuritiesStock,Joint,"None (or less than $1,001)",None,None (or less than $201)
8.8,"MDLZ - Mondelez International, Inc. - Class A Common Stoc",Corporate SecuritiesStock,Joint,"$1,001 - $15,000",None,None (or less than $201)
8.9,PG - Procter & Gamble Company,Corporate SecuritiesStock,Joint,"$1,001 - $15,000",None,None (or less than $201)
8.10,COP - Conocophillips,Corporate SecuritiesStock,Joint,"$1,001 - $15,000",None,None (or less than $201)
8.11,VLO - Valero Energy Corporation Common Stock,Corporate SecuritiesStock,Joint,"None (or less than $1,001)",None,None (or less than $201)
8.12,BAC - Bank of America Corporation Common Stock,Corporate SecuritiesStock,Joint,"$1,001 - $15,000",None,None (or less than $201)
8.13,COF - Capital One Financial Corp,Corporate SecuritiesStock,Joint,"$1,001 - $15,000",None,None (or less than $201)
8.14,JPM - JP Morgan Chase & Co. Common Stock,Corporate SecuritiesStock,Joint,"$1,001 - $15,000",None,None (or less than $201)
8.15,"TRV - The Travelers Companies, Inc. Common Stock",Corporate SecuritiesStock,Joint,"$1,001 - $15,000",None,None (or less than $201)
8.16,ABBV - AbbVie Inc. Common Stock,Corporate SecuritiesStock,Joint,"$1,001 - $15,000",None,None (or less than $201)
8.17,GILD - Gilead Sciences Inc,Corporate SecuritiesStock,Joint,"None (or less than $1,001)",None,None (or less than $201)
