1,CollegeCounts 529 Fund - Child 1Institution: Alabama,Education Savings Plans529 College Savings Plan,Spouse,--,,
1.1,ALMXA - Age-Based Moderate Ages 15-16 Portfolio,Mutual FundsMutual Fund,Spouse,"$15,001 - $50,000",None,None (or less than $201)
1.2,ALXMC - Age-Based Moderate Ages 15-16 Portfolio,Mutual FundsMutual Fund,Spouse,"$1,001 - $15,000",None,None (or less than $201)
2,CollegeCounts 529 Fund - Child 2Institution: Alabama,Education Savings Plans529 College Savings Plan,Spouse,--,,
2.1,ALMXA - Age-Based Moderate Ages 15-16 Portfolio,Mutual FundsMutual Fund,Spouse,"$15,001 - $50,000",None,None (or less than $201)
2.2,ALXMC - Age-Based Moderate Ages 15-16 Portfolio,Mutual FundsMutual Fund,Spouse,"$1,001 - $15,000",None,None (or less than $201)
3,Raymond James - Spouse IRA,Retirement PlansIRA,Spouse,--,,
3.1,AAPL - Apple Inc. - Common Stock,Corporate SecuritiesStock,Spouse,"$100,001 - $250,000",None,None (or less than $201)
3.2,BRK.B - Berkshire Hathaway Inc. New Common Stock,Corporate SecuritiesStock,Spouse,"$15,001 - $50,000",None,None (or less than $201)
3.3,"SQ - Block, Inc. Class A Common Stock,",Corporate SecuritiesStock,Spouse,"None (or less than $1,001)",None,None (or less than $201)
3.4,FNSXX - FIMM Money Market Port Instl Cl M/M,Mutual FundsMutual Fund,Spouse,"None (or less than $1,001)",None,None (or less than $201)
3.5,"Raymond James(Birmingham, AL)Type: Brokerage Sweep Account",Bank Deposit,Spouse,"$1,001 - $15,000",None,None (or less than $201)
3.6,GOOG - Alphabet Inc. - Class C Capital Stock,Corporate SecuritiesStock,Spouse,"$1,001 - $15,000",None,None (or less than $201)
3.7,"AMZN - Amazon.com, Inc. - Common Stock",Corporate SecuritiesStock,Spouse,"$1,001 - $15,000",None,None (or less than $201)
3.8,"EOG - EOG Resources, Inc. Common Stock",Corporate SecuritiesStock,Spouse,"$1,001 - $15,000",None,None (or less than $201)
3.9,JPM - JP Morgan Chase & Co. Common Stock,Corporate SecuritiesStock,Spouse,"$1,001 - $15,000",None,None (or less than $201)
3.10,MSFT - Microsoft Corporation - Common Stock,Corporate SecuritiesStock,Spouse,"$1,001 - $15,000",None,None (or less than $201)
3.11,NVDA - NVIDIA Corporation - Common Stock,Corporate SecuritiesStock,Spouse,"$1,001 - $15,000",None,None (or less than $201)
3.12,"UPS - United Parcel Service, Inc. Common Stock",Corporate SecuritiesStock,Spouse,"$1,001 - $15,000",None,None (or less than $201)
3.13,V - Visa Inc.,Corporate SecuritiesStock,Spouse,"$1,001 - $15,000",None,None (or less than $201)
3.14,WMT - Walmart Inc. - Common Stock,Corporate SecuritiesStock,Spouse,"$1,001 - $15,000",None,None (or less than $201)
3.15,FLJP - Franklin FTSE Japan ETF,Mutual FundsExchange Traded Fund/Note,Spouse,"$1,001 - $15,000",None,None (or less than $201)
3.16,PAVE - Global X U.S. Infrastructure Development ETF,Mutual FundsExchange Traded Fund/Note,Spouse,"$1,001 - $15,000",None,None (or less than $201)
3.17,GSLC - Goldman Sachs ActiveBeta(R) U.S. Large Cap Equity ETF,Mutual FundsExchange Traded Fund/Note,Spouse,"$15,001 - $50,000",None,None (or less than $201)
3.18,"QQQ - Invesco QQQ Trust, Series 1",Mutual FundsExchange Traded Fund/Note,Spouse,"$1,001 - $15,000",None,None (or less than $201)
3.19,IJH - iShares Core S&P Mid-Cap ETF,Mutual FundsExchange Traded Fund/Note,Spouse,"$1,001 - $15,000",None,None (or less than $201)
3.20,IYW - iShares U.S. Technology ETF,Mutual FundsExchange Traded Fund/Note,Spouse,"$15,001 - $50,000",None,None (or less than $201)
3.21,IYG - iShares U.S. Financial Services ETF,Mutual FundsExchange Traded Fund/Note,Spouse,"$1,001 - $15,000",None,None (or less than $201)
3.22,IHI - iShares U.S. Medical Devices ETF,Mutual FundsExchange Traded Fund/Note,Spouse,"$1,001 - $15,000",None,None (or less than $201)
3.23,EFV - iShares MSCI EAFE Value ETF,Mutual FundsExchange Traded Fund/Note,Spouse,"$15,001 - $50,000",None,None (or less than $201)
