1,"Ally Bank(Philadelphia, Pennsylvania)Type: Savings",Bank Deposit,Joint,"$50,001 - $100,000",Interest,"$1,001 - $2,500"
2,"Truist Financial(Winston Salem, North Carolina)Type: Checking, Money Market Account",Bank Deposit,Child,"$1,001 - $15,000",Interest,None (or less than $201)
3,"PS1 Rural Hall LLCFiler comment:  Retail sporting goods, indoor range and training facility.  Doing business as ProShots.",Business EntitySole Proprietorship,Self,"$1,000,001 - $5,000,000",Other (Business income),"Other $100,001.00"
4,Amy Kathryn Budd 2017 Irrv Trust FBO (DC3) - Trust,TrustGeneral Trust,Child,--,,
4.1,RTSSX - Russell Investment Tax-Managed U.S. Mid & Small Ca,Mutual FundsMutual Fund,Child,"$1,001 - $15,000",Excepted Investment Fund,None (or less than $201)
4.2,RETSX - Russell Investment Tax-Managed U.S. Large Cap Fund,Mutual FundsMutual Fund,Child,"$15,001 - $50,000",Excepted Investment Fund,None (or less than $201)
4.3,RTXSX - Russell Investment Tax-Managed Real Assets Fund Cl,Mutual FundsMutual Fund,Child,"$1,001 - $15,000",Excepted Investment Fund,"$201 - $1,000"
4.4,RTHSX - Russell Investments Tax-Exempt High Yield Bond Fun,Mutual FundsMutual Fund,Child,"None (or less than $1,001)",Excepted Investment Fund,None (or less than $201)
4.5,DFUS - Dimensional U.S. Equity ETF,Mutual FundsExchange Traded Fund/Note,Child,"$1,001 - $15,000",Excepted Investment Fund,None (or less than $201)
4.6,DFAX - Dimensional World Ex U.S. Core Equity 2 ETF,Mutual FundsExchange Traded Fund/Note,Child,"$15,001 - $50,000",Excepted Investment Fund,"$201 - $1,000"
4.7,DFNM - Dimensional National Municipal Bond ETF,Mutual FundsExchange Traded Fund/Note,Child,"$1,001 - $15,000",Excepted Investment Fund,"$201 - $1,000"
4.8,MUB - iShares National Muni Bond ETF,Mutual FundsExchange Traded Fund/Note,Child,"None (or less than $1,001)",Excepted Investment Fund,None (or less than $201)
4.9,FIQZX - Fidelity Intermediate Municipal Income Fund - Fidelity Advisor Intermediate Municipal Income Fund: Class Z,Mutual FundsMutual Fund,Child,"$1,001 - $15,000",Excepted Investment Fund,None (or less than $201)
4.10,HYG - iShares iBoxx $ High Yield Corporate Bond ETF,Mutual FundsMutual Fund,Child,"$1,001 - $15,000",Excepted Investment Fund,None (or less than $201)
5,Fidelity Brokerage Services #18,Brokerage/Managed Account,Spouse,--,,
5.1,RTXSX - Tax-Managed Real Assets Fund - CLASS S,Mutual FundsMutual Fund,Spouse,"$15,001 - $50,000",Excepted Investment Fund,"$1,001 - $2,500"
