1,HBAN - Huntington Bancshares Incorporated (NASDAQ),Corporate SecuritiesStock,Joint,"$1,001 - $15,000",Dividends,None (or less than $201)
2,AUB - Atlantic Union Bankshares Corporation,Corporate SecuritiesStock,Self,"$15,001 - $50,000",Dividends,"$201 - $1,000"
3,"CSCO - Cisco Systems, Inc. (NASDAQ)",Corporate SecuritiesStock,Self,"$1,001 - $15,000",Dividends,None (or less than $201)
4,C-Citigroup Inc. (NYSE),Corporate SecuritiesStock,Self,"$50,001 - $100,000",Dividends,"$1,001 - $2,500"
5,DIS - The Walt Disney Company (NYSE),Corporate SecuritiesStock,Self,"$1,001 - $15,000",Dividends,None (or less than $201)
6,DUK - Duke Energy Corporation (NYSE),Corporate SecuritiesStock,Self,"$1,001 - $15,000",Dividends,"$201 - $1,000"
7,"TRV - The Travelers Companies, Inc. (NYSE)",Corporate SecuritiesStock,Self,"$100,001 - $250,000",Dividends,"$1,001 - $2,500"
8,TFC - Truist Financial Corporation,Corporate SecuritiesStock,Self,"$15,001 - $50,000",Dividends,"$201 - $1,000"
9,VZ - Verizon Communications Inc. (NYSE),Corporate SecuritiesStock,Self,"$1,001 - $15,000",Dividends,"$201 - $1,000"
10,AMGN - Amgen Inc. - Common Stock,Corporate SecuritiesStock,Self,"$1,001 - $15,000",Dividends,None (or less than $201)
11,ADI - Analog Devices,Corporate SecuritiesStock,Self,"$1,001 - $15,000",Dividends,None (or less than $201)
12,BAC - Bank of America Corporation Common Stock,Corporate SecuritiesStock,Self,"$1,001 - $15,000",Dividends,None (or less than $201)
13,KO - Coca-Cola Company,Corporate SecuritiesStock,Self,"$1,001 - $15,000",Dividends,None (or less than $201)
14,CVS - CVS Health Corporation Common Stock,Corporate SecuritiesStock,Self,"$1,001 - $15,000",Dividends,None (or less than $201)
15,FERG - Ferguson Plc,Corporate SecuritiesStock,Self,"$1,001 - $15,000",Dividends,None (or less than $201)
16,"GILD - Gilead Sciences, Inc. - Common Stock",Corporate SecuritiesStock,Self,"$1,001 - $15,000",Dividends,None (or less than $201)
17,LMT - Lockheed Martin Corporation,Corporate SecuritiesStock,Self,"$1,001 - $15,000",Dividends,None (or less than $201)
18,"LOW - Lowe's Companies, Inc. Common Stock",Corporate SecuritiesStock,Self,"$1,001 - $15,000",Dividends,None (or less than $201)
19,LVMH MOET HENNESSY LOUIS VUITTON,American Depository Receipt,Self,"$1,001 - $15,000",Dividends,None (or less than $201)
20,"MRK - Merck & Co., Inc.",Corporate SecuritiesStock,Self,"$1,001 - $15,000",Dividends,None (or less than $201)
21,MSFT - Microsoft Corporation,Corporate SecuritiesStock,Self,"$1,001 - $15,000",Dividends,None (or less than $201)
22,"MDLZ - Mondelez International, Inc.",Corporate SecuritiesStock,Self,"$1,001 - $15,000",Dividends,None (or less than $201)
23,NVS - Novartis AG,Corporate SecuritiesStock,Self,"$1,001 - $15,000",Dividends,None (or less than $201)
24,QCOM - QUALCOMM Incorporated - Common Stock,Corporate SecuritiesStock,Self,"$1,001 - $15,000",Dividends,None (or less than $201)
25,QSR - Restaurant Brands International Inc,Corporate SecuritiesStock,Self,"$1,001 - $15,000",Dividends,None (or less than $201)
26,RHHBY - Roche Holding AG,Corporate SecuritiesStock,Self,"$1,001 - $15,000",Dividends,None (or less than $201)
27,RPM - RPM International Inc. Common Stock,Corporate SecuritiesStock,Self,"$1,001 - $15,000",Dividends,None (or less than $201)
28,SNA - Snap-On Incorporated Common Stock,Corporate SecuritiesStock,Self,"$1,001 - $15,000",Dividends,None (or less than $201)
29,"WMB - Williams Companies, Inc. (The) Common Stock",Corporate SecuritiesStock,Self,"$1,001 - $15,000",Dividends,None (or less than $201)
30,"Wells Fargo(Charleston, WV)Type: Brokerage Sweep Account",Bank Deposit,Self,"$100,001 - $250,000",Interest,None (or less than $201)
31,IRA,Retirement PlansIRA,Self,--,,
31.1,SINAX-ClearBridge Large Cap Value A (NASDAQ),Mutual FundsMutual Fund,Self,"$100,001 - $250,000",Dividends,None (or less than $201)
31.2,AUB - Atlantic Union Bankshares Corporation,Corporate SecuritiesStock,Self,"$1,001 - $15,000",Dividends,None (or less than $201)
32,IRA 2,Retirement PlansIRA,Self,--,,
32.1,GD - General Dynamics Corporation,Corporate SecuritiesStock,Self,"$1,001 - $15,000",Dividends,None (or less than $201)
32.2,"GWW - W.W. Grainger, Inc.",Corporate SecuritiesStock,Self,"$1,001 - $15,000",Dividends,None (or less than $201)
32.3,"LHX - L3Harris Technologies, Inc.",Corporate SecuritiesStock,Self,"$1,001 - $15,000",Dividends,None (or less than $201)
32.4,ITW - Illinois Tool Works Inc.,Corporate SecuritiesStock,Self,"$1,001 - $15,000",Dividends,None (or less than $201)
32.5,JNJ - Johnson & Johnson,Corporate SecuritiesStock,Self,"$1,001 - $15,000",Dividends,None (or less than $201)
32.6,"LOW - Lowe's Companies, Inc.",Corporate SecuritiesStock,Self,"$1,001 - $15,000",Dividends,None (or less than $201)
32.7,MCD-McDonald's Corp.,Corporate SecuritiesStock,Self,"$1,001 - $15,000",Dividends,None (or less than $201)
32.8,MDT - Medtronic plc,Corporate SecuritiesStock,Self,"$1,001 - $15,000",Dividends,None (or less than $201)
32.9,MSFT - Microsoft Corporation,Corporate SecuritiesStock,Self,"$1,001 - $15,000",Dividends,None (or less than $201)
32.10,"NEE - NextEra Energy, Inc.",Corporate SecuritiesStock,Self,"$1,001 - $15,000",Dividends,None (or less than $201)
32.11,NSC - Norfolk Southern Corporation,Corporate SecuritiesStock,Self,"$1,001 - $15,000",Dividends,None (or less than $201)
32.12,UBSI - United Bankshares Inc.,Corporate SecuritiesStock,Self,"$1,001 - $15,000",Dividends,None (or less than $201)
32.13,"Wells Fargo Bank(Washington, DC)Type: IRA Cash Accounts",Bank Deposit,Self,"$1,001 - $15,000",Interest,None (or less than $201)
32.14,TFC - Truist Financial Corporation,Corporate SecuritiesStock,Self,"$50,001 - $100,000",Dividends,None (or less than $201)
32.15,K - Kellanova Common Stock,Corporate SecuritiesStock,Self,"None (or less than $1,001)",Capital Gains,None (or less than $201)
33,"Belle Meade Associates NY, L.P.Company: Belle Meade Associates NY, L.P. (New York, NY) Description: Pooled Investment Fund",Business EntityLimited Partnership (LP),Self,"$500,001 - $1,000,000",Excepted Investment Fund,None (or less than $201)
34,WFC - Wells Fargo & Company,Corporate SecuritiesStock,Self,"$1,001 - $15,000",Dividends,None (or less than $201)
35,Life Insurance PolicyProvider: Northwestern Mutual,Life InsuranceWhole,Self,"$1,001 - $15,000",Dividends,None (or less than $201)
36,"CSCO-Cisco Systems, Inc. (NASDAQ)",Corporate SecuritiesStock,Spouse,"$1,001 - $15,000",Dividends,None (or less than $201)
37,C-Citigroup Inc. (NYSE),Corporate SecuritiesStock,Spouse,"$1,001 - $15,000","Dividends, Capital Gains","$201 - $1,000"
38,KO - The Coca-Cola Company (NYSE),Corporate SecuritiesStock,Spouse,"$1,001 - $15,000",Dividends,"$1,001 - $2,500"
39,XOM - Exxon Mobil Corporation (NYSE),Corporate SecuritiesStock,Spouse,"$1,001 - $15,000","Dividends, Capital Gains","$2,501 - $5,000"
40,INTC - Intel Corporation (NASDAQ),Corporate SecuritiesStock,Spouse,"$1,001 - $15,000",Dividends,None (or less than $201)
41,IBM - International Business Machines Corporation (NYSE),Corporate SecuritiesStock,Spouse,"$15,001 - $50,000","Dividends, Capital Gains","$15,001 - $50,000"
42,MSFT - Microsoft Corporation (NASDAQ),Corporate SecuritiesStock,Spouse,"None (or less than $1,001)","Dividends, Capital Gains","$15,001 - $50,000"
43,"UBSI - United Bankshares, Inc. - Common Stock",Corporate SecuritiesStock,Spouse,"$100,001 - $250,000",Dividends,"$5,001 - $15,000"
44,WFC - Wells Fargo & Company Common Stock,Corporate SecuritiesStock,Spouse,"None (or less than $1,001)","Dividends, Capital Gains","$2,501 - $5,000"
45,"Edgewood Country ClubCompany: Edgewood Country Club (Charleston, WV) Description: Social club",Corporate SecuritiesNon-Public Stock,Spouse,"$1,001 - $15,000",None,None (or less than $201)
46,Spouse IRA 1,Retirement PlansIRA,Spouse,--,,
46.1,KO-The Coca-Cola Company (NYSE),Corporate SecuritiesStock,Spouse,"$15,001 - $50,000",Dividends,None (or less than $201)
46.2,XOM-Exxon Mobil Corporation (NYSE),Corporate SecuritiesStock,Spouse,"$15,001 - $50,000",Dividends,None (or less than $201)
46.3,JNJ-Johnson & Johnson (NYSE),Corporate SecuritiesStock,Spouse,"$15,001 - $50,000",Dividends,None (or less than $201)
46.4,MCD-McDonald's Corp. (NYSE),Corporate SecuritiesStock,Spouse,"$15,001 - $50,000",Dividends,None (or less than $201)
46.5,MSFT-Microsoft Corporation (NASDAQ),Corporate SecuritiesStock,Spouse,"$100,001 - $250,000",Dividends,None (or less than $201)
46.6,"MDLZ-Mondelez International, Inc. (NASDAQ)",Corporate SecuritiesStock,Spouse,"$15,001 - $50,000",Dividends,None (or less than $201)
46.7,PFE-Pfizer Inc. (NYSE),Corporate SecuritiesStock,Spouse,"$1,001 - $15,000",Dividends,None (or less than $201)
46.8,AAPL-Apple Inc.,Corporate SecuritiesStock,Spouse,"$50,001 - $100,000",Dividends,None (or less than $201)
47,Spouse IRA 2,Retirement PlansIRA,Spouse,--,,
47.1,"Wells Fargo(Charleston, WV)Type: Brokerage Sweep Account",Bank Deposit,Spouse,"$1,001 - $15,000",Dividends,None (or less than $201)
47.2,AFL - AFLAC Inc. (NYSE),Corporate SecuritiesStock,Spouse,"$1,001 - $15,000",Dividends,None (or less than $201)
47.3,"ADI - Analog Devices, Inc. (NASDAQ)",Corporate SecuritiesStock,Spouse,"$15,001 - $50,000",Dividends,None (or less than $201)
47.4,"ADP - Automatic Data Processing, Inc. (NASDAQ)",Corporate SecuritiesStock,Spouse,"$15,001 - $50,000",Dividends,None (or less than $201)
47.5,CVX - Chevron Corporation (NYSE),Corporate SecuritiesStock,Spouse,"$15,001 - $50,000",Dividends,None (or less than $201)
47.6,CB - The Chubb Corporation (NYSE),Corporate SecuritiesStock,Spouse,"$1,001 - $15,000",Dividends,None (or less than $201)
47.7,CL - Colgate-Palmolive Co. (NYSE),Corporate SecuritiesStock,Spouse,"None (or less than $1,001)",Dividends,None (or less than $201)
47.8,EMR - Emerson Electric Co. (NYSE),Corporate SecuritiesStock,Spouse,"$1,001 - $15,000",Dividends,None (or less than $201)
47.9,FDS-FactSet Research Systems Inc. (NYSE),Corporate SecuritiesStock,Spouse,"$1,001 - $15,000",Dividends,None (or less than $201)
47.10,GD - General Dynamics Corporation (NYSE),Corporate SecuritiesStock,Spouse,"$1,001 - $15,000",Dividends,None (or less than $201)
47.11,"LHX - L3Harris Technologies, Inc.",Corporate SecuritiesStock,Spouse,"$1,001 - $15,000",Dividends,None (or less than $201)
47.12,ITW - Illinois Tool Works Inc. (NYSE),Corporate SecuritiesStock,Spouse,"$1,001 - $15,000",Dividends,None (or less than $201)
47.13,JNJ - Johnson & Johnson (NYSE),Corporate SecuritiesStock,Spouse,"$15,001 - $50,000",Dividends,None (or less than $201)
47.14,LOW - Lowe's Companies Inc. (NYSE),Corporate SecuritiesStock,Spouse,"$15,001 - $50,000",Dividends,None (or less than $201)
47.15,MCD - McDonald's Corp. (NYSE),Corporate SecuritiesStock,Spouse,"$1,001 - $15,000",Dividends,None (or less than $201)
47.16,MSFT - Microsoft Corporation (NASDAQ),Corporate SecuritiesStock,Spouse,"$50,001 - $100,000",Dividends,None (or less than $201)
47.17,"NEE - NextEra Energy, Inc. (NYSE)",Corporate SecuritiesStock,Spouse,"$1,001 - $15,000",Dividends,None (or less than $201)
47.18,"PAYX - Paychex, Inc. (NASDAQ)",Corporate SecuritiesStock,Spouse,"$1,001 - $15,000",Dividends,None (or less than $201)
47.19,"PEP - Pepsico, Inc. (NYSE)",Corporate SecuritiesStock,Spouse,"$1,001 - $15,000",Dividends,None (or less than $201)
47.20,PSX - Phillips 66 (NYSE),Corporate SecuritiesStock,Spouse,"$1,001 - $15,000",Dividends,None (or less than $201)
47.21,PG - The Procter & Gamble Company (NYSE),Corporate SecuritiesStock,Spouse,"$1,001 - $15,000",Dividends,None (or less than $201)
47.22,TGT - Target Corp. (NYSE),Corporate SecuritiesStock,Spouse,"None (or less than $1,001)",Dividends,None (or less than $201)
47.23,WMT - Wal-Mart Stores Inc. (NYSE),Corporate SecuritiesStock,Spouse,"$1,001 - $15,000",Dividends,None (or less than $201)
47.24,WEC-Wisconsin Energy Corp. (NYSE),Corporate SecuritiesStock,Spouse,"$1,001 - $15,000",Dividends,None (or less than $201)
47.25,ABT - Abbott Laboratories,Corporate SecuritiesStock,Spouse,"$15,001 - $50,000",Dividends,None (or less than $201)
47.26,AMGN - Amgen Inc.,Corporate SecuritiesStock,Spouse,"$15,001 - $50,000",Dividends,None (or less than $201)
47.27,"BLK - BlackRock, Inc.",Corporate SecuritiesStock,Spouse,"$15,001 - $50,000",Dividends,None (or less than $201)
47.28,"NKE - NIKE, Inc.",Corporate SecuritiesStock,Spouse,"None (or less than $1,001)",Dividends,None (or less than $201)
47.29,ACN - Accenture plc,Corporate SecuritiesStock,Spouse,"$15,001 - $50,000",Dividends,None (or less than $201)
47.30,"CSCO - Cisco Systems, Inc.",Corporate SecuritiesStock,Spouse,"$15,001 - $50,000",Dividends,None (or less than $201)
47.31,JPM - JPMorgan Chase & Co.,Corporate SecuritiesStock,Spouse,"$15,001 - $50,000",Dividends,None (or less than $201)
47.32,CMCSA - Comcast Corporation,Corporate SecuritiesStock,Spouse,"None (or less than $1,001)",Dividends,None (or less than $201)
47.33,AAPL - Apple Inc.,Corporate SecuritiesStock,Spouse,"$50,001 - $100,000",Dividends,None (or less than $201)
47.34,LIN - Linde plc,Corporate SecuritiesStock,Spouse,"$15,001 - $50,000",Dividends,None (or less than $201)
47.35,AMT - American Tower Corporation (REIT),Corporate SecuritiesStock,Spouse,"$1,001 - $15,000",Dividends,None (or less than $201)
47.36,UNH - UnitedHealth Group Incorporated,Corporate SecuritiesStock,Spouse,"None (or less than $1,001)",Dividends,None (or less than $201)
47.37,"PPG - PPG Industries, Inc. Common Stock",Corporate SecuritiesStock,Spouse,"None (or less than $1,001)",Dividends,None (or less than $201)
47.38,CMS - CMS Energy Corporation Common Stock,Corporate SecuritiesStock,Spouse,"$1,001 - $15,000",Dividends,None (or less than $201)
47.39,COST - Costco Wholesale Corporation - Common Stock,Corporate SecuritiesStock,Spouse,"$1,001 - $15,000",Dividends,None (or less than $201)
47.40,"GWW - W.W. Grainger, Inc. Common Stock",Corporate SecuritiesStock,Spouse,"$1,001 - $15,000",Dividends,None (or less than $201)
47.41,SPGI - S&P Global Inc,Corporate SecuritiesStock,Spouse,"$1,001 - $15,000",Dividends,None (or less than $201)
47.42,SBUX - Starbucks Corp,Corporate SecuritiesStock,Spouse,"$1,001 - $15,000",Dividends,None (or less than $201)
47.43,ZTS - Zoetis Inc Cl A,Corporate SecuritiesStock,Spouse,"$1,001 - $15,000",Dividends,None (or less than $201)
47.44,AVGO - Broadcom Ltd,Corporate SecuritiesStock,Spouse,"$15,001 - $50,000",Dividends,None (or less than $201)
47.45,CSL - Carlisle Companies Inc,Corporate SecuritiesStock,Spouse,"$1,001 - $15,000",Dividends,None (or less than $201)
47.46,GE - GE Aerospace,Corporate SecuritiesStock,Spouse,"$1,001 - $15,000",Dividends,None (or less than $201)
47.47,CEG - Constellation Energy Corporation - Common Stock When-Issued,Corporate SecuritiesStock,Spouse,"$1,001 - $15,000",Dividends,None (or less than $201)
47.48,"META - Meta Platforms, Inc. - Class A Common Stock",Corporate SecuritiesStock,Spouse,"$15,001 - $50,000",Dividends,None (or less than $201)
47.49,GOOGL - Alphabet Inc. - Class A Common Stock,Corporate SecuritiesStock,Spouse,"$15,001 - $50,000",Dividends,None (or less than $201)
47.50,AXP - American Express Company Common Stock,Corporate SecuritiesStock,Spouse,"$15,001 - $50,000",Dividends,None (or less than $201)
47.51,"PLD - Prologis, Inc. Common Stock",Corporate SecuritiesStock,Spouse,"$1,001 - $15,000",Dividends,None (or less than $201)
47.52,SHW - Sherwin-Williams Company (The) Common Stock,Corporate SecuritiesStock,Spouse,"$1,001 - $15,000",Dividends,None (or less than $201)
47.53,LLY - Eli Lilly and Company Common Stock,Corporate SecuritiesStock,Spouse,"$15,001 - $50,000",Dividends,None (or less than $201)
48,Spouse IRA 3 CAP Group,Retirement PlansIRA,Spouse,--,,
48.1,"Wells Fargo Bank(Washington, DC)Type: IRA Cash Accounts",Bank Deposit,Spouse,"None (or less than $1,001)",Interest,None (or less than $201)
48.2,"UBSI - United Bankshares, Inc. - Common Stock",Corporate SecuritiesStock,Spouse,"$100,001 - $250,000",Dividends,None (or less than $201)
49,Spouse Rollover IRA,Retirement PlansIRA,Spouse,--,,
49.1,"Belle Meade Associates NT LPCompany: Belle Meade Associates (New York, NY) Description: Pooled Investment Fund",Business EntityLimited Partnership (LP),Spouse,"Over $1,000,000 and held independently by spouse or dependent child",Excepted Investment Fund,None (or less than $201)
50,Life Insurance PolicyProvider: Northwestern Mutual,Life InsuranceWhole,Spouse,"$1,001 - $15,000",Dividends,None (or less than $201)
51,"United Bankshares unvested stock grantsDescription: Corporate Director (Charleston, WV)",Other,Spouse,"None (or less than $1,001)",None,None (or less than $201)
