1,GAJPX - Goldman Sachs Dynamic Municipal Income Fund Class,Mutual FundsMutual Fund,Joint,"None (or less than $1,001)",Excepted Investment Fund,None (or less than $201)
2,XOM-Exxon Mobil Corporation (NYSE),Corporate SecuritiesStock,Joint,"$100,001 - $250,000",Dividends,"$5,001 - $15,000"
3,VIG - Dividend Appreciation ETF Vanguard,Mutual FundsExchange Traded Fund/Note,Joint,"$15,001 - $50,000",Excepted Investment Fund,"$201 - $1,000"
4,XLE - SPDR Select Sector Fund - Energy Select Sector,Mutual FundsExchange Traded Fund/Note,Joint,"$1,001 - $15,000",Excepted Investment Fund,"$201 - $1,000"
5,SPY - SPDR S&P 500,Mutual FundsExchange Traded Fund/Note,Joint,"$15,001 - $50,000",Excepted Investment Fund,None (or less than $201)
6,EPD-Enterprise Products Partners L.P. (NYSE),Corporate SecuritiesStock,Joint,"$100,001 - $250,000",Dividends,"$15,001 - $50,000"
7,DRLL - EA Series Trust Strive U.S. Energy ETF,Mutual FundsExchange Traded Fund/Note,Joint,"$1,001 - $15,000",Excepted Investment Fund,"$201 - $1,000"
8,"Victory Capital 529 - Child 2Institution: Victory Capital Services, Inc.",Education Savings Plans529 College Savings Plan,Joint,--,,
8.1,Age-Based Option 14-15: Conservative Portfolio,Mutual FundsMutual Fund,Joint,"$50,001 - $100,000",Excepted Investment Fund,None (or less than $201)
8.2,Plan FBO Aggressive Growth Portfolio,Mutual FundsMutual Fund,Joint,"$100,001 - $250,000",Excepted Investment Fund,None (or less than $201)
8.3,Plan FBO Moderately Aggressive Portfolio,Mutual FundsMutual Fund,Joint,"$100,001 - $250,000",Excepted Investment Fund,None (or less than $201)
8.4,Plan FBO Moderate Portfolio,Mutual FundsMutual Fund,Joint,"$50,001 - $100,000",Excepted Investment Fund,None (or less than $201)
9,Fidelity 529 - Child 1Institution: Fidelity,Education Savings Plans529 College Savings Plan,Joint,--,,
9.1,MA Portfolio 2027,Mutual FundsMutual Fund,Joint,"$250,001 - $500,000",Excepted Investment Fund,None (or less than $201)
10,Traditional IRA,Retirement PlansIRA,Spouse,--,,
10.1,GAFPX - Goldman Sachs Enhanced Dividend Global Equity Port,Mutual FundsMutual Fund,Spouse,"$50,001 - $100,000",Excepted Investment Fund,"$1,001 - $2,500"
