1,AGG - iShares Core U.S. Aggregate Bond ETF,Mutual FundsExchange Traded Fund/Note,Self,"None (or less than $1,001)","Dividends, Excepted Investment Fund","$201 - $1,000"
2,PONPX - Pimco Income Fund Class I-2,Mutual FundsMutual Fund,Self,"None (or less than $1,001)","Dividends, Excepted Investment Fund","$201 - $1,000"
3,VBTLX - Vanguard Total Bond Market Index Fund Admiral Sh,Mutual FundsMutual Fund,Self,"None (or less than $1,001)","Dividends, Excepted Investment Fund","$201 - $1,000"
4,CSDIX - Cohen & Steers Real Estate Securities Fund Inc.,Mutual FundsMutual Fund,Joint,"$50,001 - $100,000",Excepted Investment Fund,None (or less than $201)
5,FVADX - Franklin Value Fund Advisor Class,Mutual FundsMutual Fund,Joint,"$15,001 - $50,000",Excepted Investment Fund,None (or less than $201)
6,IVV - iShares Core S&P 500 ETF,Mutual FundsExchange Traded Fund/Note,Joint,"$500,001 - $1,000,000",Excepted Investment Fund,None (or less than $201)
7,TLT - iShares 20+ Year Treasury Bond ETF,Mutual FundsExchange Traded Fund/Note,Joint,"$15,001 - $50,000",Excepted Investment Fund,None (or less than $201)
8,IEF - iShares 7-10 Year Treasury Bond ETF,Mutual FundsExchange Traded Fund/Note,Joint,"$15,001 - $50,000",Excepted Investment Fund,None (or less than $201)
9,IEFA - iShares Core MSCI EAFE ETF,Mutual FundsExchange Traded Fund/Note,Joint,"$250,001 - $500,000",Excepted Investment Fund,None (or less than $201)
10,IEMG - iShares Core MSCI Emerging Markets ETF,Mutual FundsExchange Traded Fund/Note,Joint,"$100,001 - $250,000",Excepted Investment Fund,None (or less than $201)
11,IJR - iShares Core S&P Small-Cap ETF,Mutual FundsExchange Traded Fund/Note,Joint,"$50,001 - $100,000",Excepted Investment Fund,None (or less than $201)
12,AGG - iShares Core U.S. Aggregate Bond ETF,Mutual FundsExchange Traded Fund/Note,Joint,"$1,001 - $15,000",Excepted Investment Fund,None (or less than $201)
13,EZU - iShares MSCI Eurozone ETF,Mutual FundsExchange Traded Fund/Note,Joint,"$50,001 - $100,000",Excepted Investment Fund,None (or less than $201)
14,PIFZX - PGIM Short-Term Corporate Bond Fund Class Z,Mutual FundsMutual Fund,Joint,"$1,001 - $15,000",Excepted Investment Fund,None (or less than $201)
15,PONPX - Pimco Income Fund Class I-2,Mutual FundsMutual Fund,Joint,"$50,001 - $100,000",Excepted Investment Fund,None (or less than $201)
16,PCLPX - Pimco Commoditiesplus Strategy Fund Class I-2,Mutual FundsMutual Fund,Joint,"$15,001 - $50,000",Excepted Investment Fund,None (or less than $201)
17,SCHH - Schwab U.S. REIT ETF,Mutual FundsExchange Traded Fund/Note,Joint,"$15,001 - $50,000",Excepted Investment Fund,None (or less than $201)
18,MDY - S&P Midcap 400 SPDR,Mutual FundsExchange Traded Fund/Note,Joint,"$50,001 - $100,000",Excepted Investment Fund,None (or less than $201)
19,VNQ - Vanguard Real Estate ETF,Mutual FundsExchange Traded Fund/Note,Joint,"$15,001 - $50,000",Excepted Investment Fund,None (or less than $201)
20,VO - Vanguard Mid-Cap ETF,Mutual FundsExchange Traded Fund/Note,Joint,"$100,001 - $250,000",Excepted Investment Fund,None (or less than $201)
21,BND - Vanguard Total Bond Market ETF,Mutual FundsExchange Traded Fund/Note,Joint,"$100,001 - $250,000",Excepted Investment Fund,None (or less than $201)
22,CALIFORNIA ST VARIOUS PURP RFDG B/E CPNRate/Coupon: 4.0%  Matures: 03/01/2037Filer comment:  California,Government SecuritiesMunicipal Security,Joint,"$1,001 - $15,000",None,None (or less than $201)
23,CALIFORNIA ST UNIV REV STWIDE SER A B/E CPNRate/Coupon: 5.0%  Matures: 11/01/2035Filer comment:  California,Government SecuritiesMunicipal Security,Joint,"$1,001 - $15,000",None,None (or less than $201)
24,"COLO NESCO CMNTY SCH DIST IA BAM B/E PTC CPNRate/Coupon: 3.0%  Matures: 06/01/2031Filer comment:  Colo, Iowa",Government SecuritiesMunicipal Security,Joint,"$1,001 - $15,000",None,None (or less than $201)
25,COLORADO ST CTF PARTN RURAL SER A REV B/E CPNRate/Coupon: 4.0%  Matures: 12/15/2037Filer comment:  Colorado,Government SecuritiesMunicipal Security,Joint,"$1,001 - $15,000",None,None (or less than $201)
26,"EASTERN HOWARD IN 3RD MILLENIUM SCH BLDG 1ST MTG REV B/E ST INCPT PTC CPNRate/Coupon: 4  Matures: 07/15/2033Filer comment:  Greentown, IN",Government SecuritiesMunicipal Security,Joint,"$1,001 - $15,000",None,None (or less than $201)
27,GEORGIA ST SER A B/E CPNRate/Coupon: 4.0%  Matures: 07/01/2034Filer comment:  Georgia,Government SecuritiesMunicipal Security,Joint,"$1,001 - $15,000",None,None (or less than $201)
28,"HENDERSON CNTY NC LTD OBLIG REV B/E CPNRate/Coupon: 4.0%  Matures: 06/01/2034Filer comment:  Henderson County, NC",Government SecuritiesMunicipal Security,Joint,"$1,001 - $15,000",None,None (or less than $201)
29,"HENNEPIN CNTY MN SALES TAX REV SER B DB B/E CPNRate/Coupon: 5.0%  Matures: 12/15/2039Filer comment:  Hennepin County, MN",Government SecuritiesMunicipal Security,Joint,"$1,001 - $15,000",None,None (or less than $201)
30,INDIANA ST FIN AUTH WSTWTR UTIL REV 1ST LIEN RFDG CWA AUTH SER 1 B/E CPNRate/Coupon: 4.0%  Matures: 10/01/2036Filer comment:  Indiana,Government SecuritiesMunicipal Security,Joint,"$1,001 - $15,000",None,None (or less than $201)
31,"JACKSON MI CAP IMPT BAM B/E CPNRate/Coupon: 5.0%  Matures: 06/01/2031Filer comment:  Jackson, MI",Government SecuritiesMunicipal Security,Joint,"$1,001 - $15,000",None,None (or less than $201)
32,METROPOLITAN TRANSN AUTH NY REV RFDG SER D B/E CPNRate/Coupon: 5.0%  Matures: 11/15/2034Filer comment:  New York,Government SecuritiesMunicipal Security,Joint,"$1,001 - $15,000",Interest,"$201 - $1,000"
33,MISSISSIPPI ST SER B B/E CPNRate/Coupon: 4.0%  Matures: 10/01/2036Filer comment:  Mississippi,Government SecuritiesMunicipal Security,Joint,"$1,001 - $15,000",None,None (or less than $201)
34,NORTH EAST TX REGL MOBIL AUTH REV SR LIEN REV SER A B/E CPNRate/Coupon: 5.0%  Matures: 01/01/2036Filer comment:  North East Texas,Government SecuritiesMunicipal Security,Joint,"$1,001 - $15,000",Interest,"$201 - $1,000"
35,"OLATHE KS IMPT RFDG 234 DB B/E CPNRate/Coupon: 3.0%  Matures: 10/01/2032Filer comment:  Olathe, KS",Government SecuritiesMunicipal Security,Joint,"$1,001 - $15,000",None,None (or less than $201)
36,"ONSLOW CNTY NC LTD OBLIG REV B/E PTC CPNRate/Coupon: 4.0%  Matures: 10/01/2035Filer comment:  Onslow County, NC",Government SecuritiesMunicipal Security,Joint,"$1,001 - $15,000",None,None (or less than $201)
37,"OSAGE CNTY KS RFDG & IMPT SER A B/E B/Q PTC CPNRate/Coupon: 3.0%  Matures: 09/01/2030Filer comment:  Osage County, KS",Government SecuritiesMunicipal Security,Joint,"$1,001 - $15,000",None,None (or less than $201)
38,PENN IN HIGH SCH BLDG CORP 1ST MTG REV B/E ST INTRCPT PTC CPNRate/Coupon: 4.0%  Matures: 07/15/2034Filer comment:  Indiana,Government SecuritiesMunicipal Security,Joint,"$1,001 - $15,000",None,None (or less than $201)
39,"ROMEOVILLE IL B/E CPNRate/Coupon: 4.0%  Matures: 12/30/2038Filer comment:  Romeoville, IL",Government SecuritiesMunicipal Security,Joint,"$1,001 - $15,000",None,None (or less than $201)
40,"SANGAMON LOGAN MENARD CNTYS IL CMNTY SCH DIST 015 SER A DB BAM B/E PTC CPNRate/Coupon: 4.0%  Matures: 12/01/2034Filer comment:  Sangamon, Logan, and Menard County, IL",Government SecuritiesMunicipal Security,Joint,"$1,001 - $15,000",None,None (or less than $201)
41,"SKAGIT CNTY WA CONS SCH DIST 320 MT VERNON B/E CPNRate/Coupon: 4.0%  Matures: 12/01/2032Filer comment:  Skagit County, WA",Government SecuritiesMunicipal Security,Joint,"$1,001 - $15,000",None,None (or less than $201)
42,SOUTH CAROLINA TRANSN INFRA BK REV RFDG SER A B/E CPNRate/Coupon: 4.0%  Matures: 10/01/2033Filer comment:  South Carolina,Government SecuritiesMunicipal Security,Joint,"$1,001 - $15,000",None,None (or less than $201)
43,"SULLIVAN CNTY PA SCH DIST NT BAM B/E B/Q CR ENH CPNRate/Coupon: 3.0%  Matures: 04/01/2028Filer comment:  Sullivan County, PA",Government SecuritiesMunicipal Security,Joint,"$1,001 - $15,000",None,None (or less than $201)
44,TEXAS WTR DEV BRD ST REVLVG FD REV B/E CPNRate/Coupon: 4.0%  Matures: 08/01/2034Filer comment:  Texas,Government SecuritiesMunicipal Security,Joint,"$1,001 - $15,000",None,None (or less than $201)
45,"TOLEDO OH WTRWKS REV SYS B/E CPNRate/Coupon: 5.0%  Matures: 11/15/2033Filer comment:  Toledo, OH",Government SecuritiesMunicipal Security,Joint,"$1,001 - $15,000",None,None (or less than $201)
