1,John W Hickenlooper Irrevocable Trust,TrustGeneral Trust,Self,--,,
1.1,"UMB Bank, n.a.(Kansas City, MO)Type: Checking",Bank Deposit,Self,"None (or less than $1,001)",None,None (or less than $201)
1.2,Fidelity Brokerage AccountFiler comment:  Previously held with Vanguard Brokerage Account,Brokerage/Managed Account,Self,--,,
1.2.1,VDIGX - Vanguard Dividend Growth Fund Investor Shares,Mutual FundsMutual Fund,Self,"$5,000,001 - $25,000,000",Excepted Investment Fund,"$100,001 - $1,000,000"
1.3,Charles Schwab - Bartlett Wealth Management,Brokerage/Managed Account,Self,--,,
1.3.1,PG - The Procter & Gamble Company,Corporate SecuritiesStock,Self,"$1,000,001 - $5,000,000",Dividends,"$50,001 - $100,000"
1.3.2,USB - U.S. Bancorp,Corporate SecuritiesStock,Self,"$100,001 - $250,000",Dividends,"$5,001 - $15,000"
1.3.3,ITW - Illinois Tool Works Inc.,Corporate SecuritiesStock,Self,"$100,001 - $250,000",Dividends,"$5,001 - $15,000"
1.3.4,"WM - Waste Management, Inc.",Corporate SecuritiesStock,Self,"$250,001 - $500,000",Dividends,"$5,001 - $15,000"
1.3.5,"LOW - Lowe's Companies, Inc.",Corporate SecuritiesStock,Self,"$250,001 - $500,000",Dividends,"$5,001 - $15,000"
1.3.6,"TJX - The TJX Companies, Inc.",Corporate SecuritiesStock,Self,"$500,001 - $1,000,000",Dividends,"$5,001 - $15,000"
1.3.7,KO - The Coca-Cola Company,Corporate SecuritiesStock,Self,"$250,001 - $500,000",Dividends,"$5,001 - $15,000"
1.3.8,"PEP - PepsiCo, Inc.",Corporate SecuritiesStock,Self,"None (or less than $1,001)","Dividends, Capital Gains","$50,001 - $100,000"
1.3.9,ABT - Abbott Laboratories,Corporate SecuritiesStock,Self,"$250,001 - $500,000",Dividends,"$5,001 - $15,000"
1.3.10,ABBV - AbbVie Inc.,Corporate SecuritiesStock,Self,"$250,001 - $500,000",Dividends,"$5,001 - $15,000"
1.3.11,AMGN - Amgen Inc.,Corporate SecuritiesStock,Self,"$250,001 - $500,000",Dividends,"$5,001 - $15,000"
1.3.12,"MRK - Merck & Co., Inc.",Corporate SecuritiesStock,Self,"$250,001 - $500,000",Dividends,"$5,001 - $15,000"
1.3.13,NVS - Novartis AG,Corporate SecuritiesStock,Self,"$100,001 - $250,000",Dividends,"$5,001 - $15,000"
1.3.14,CB - Chubb Limited,Corporate SecuritiesStock,Self,"$250,001 - $500,000",Dividends,"$2,501 - $5,000"
1.3.15,JPM - JPMorgan Chase & Co.,Corporate SecuritiesStock,Self,"$500,001 - $1,000,000",Dividends,"$5,001 - $15,000"
