1,"Hawaii State FCU(HONOLULU, HAWAII)Type: Checking, Savings",Bank Deposit,Joint,"$250,001 - $500,000",Interest,None (or less than $201)
2,"Bank of Hope(HONOLULU, HAWAII)Type: Checking, Savings",Bank Deposit,Joint,"$100,001 - $250,000",Interest,None (or less than $201)
3,"Wells Fargo Liquid Asset Fund(HONOLULU, HAWAII)Type: Certificate of Deposit, Money Market Account",Bank Deposit,Joint,"$100,001 - $250,000",Interest,"$2,501 - $5,000"
4,"Congressional FCU(Washington, DC)Type: Checking, Savings",Bank Deposit,Joint,"$100,001 - $250,000",None,None (or less than $201)
5,"U.S. Senate FCU(Washington, DC)Type: Savings",Bank Deposit,Self,"$50,001 - $100,000",Interest,None (or less than $201)
6,MFC-Manulife Financial Corporation (NYSE),Corporate SecuritiesStock,Spouse,"$50,001 - $100,000",Dividends,"$2,501 - $5,000"
7,SLF-Sun Life Financial Inc. (NYSE),Corporate SecuritiesStock,Spouse,"$15,001 - $50,000",Dividends,"$201 - $1,000"
8,AMCFX - Amcap Fund Class F-2 Shares,Mutual FundsMutual Fund,Joint,"$100,001 - $250,000",Excepted Investment Fund,"$5,001 - $15,000"
9,CAIFX - Capital Income Builder Cl F-2 Shs,Mutual FundsMutual Fund,Joint,"$500,001 - $1,000,000",Excepted Investment Fund,"$50,001 - $100,000"
10,WGIFX - Capital World Growth and Income Fund Class F-2 S,Mutual FundsMutual Fund,Joint,"$500,001 - $1,000,000",Excepted Investment Fund,"$50,001 - $100,000"
11,AMEFX - The Income Fund of America Class F-2 Shares,Mutual FundsMutual Fund,Joint,"$250,001 - $500,000",Excepted Investment Fund,"$15,001 - $50,000"
12,ICAFX - The Investment Company of America Class F-2 Shs,Mutual FundsMutual Fund,Joint,"$500,001 - $1,000,000",Excepted Investment Fund,"$50,001 - $100,000"
13,NFFFX - New World Fund Inc. Class F-2 Shs,Mutual FundsMutual Fund,Joint,"$15,001 - $50,000",Excepted Investment Fund,"$2,501 - $5,000"
14,PGWFX - American Funds Global Growth Portfolio Class F-2,Mutual FundsMutual Fund,Joint,"$250,001 - $500,000",Excepted Investment Fund,"$15,001 - $50,000"
15,CEYIX - Calvert Equity Fund Class I,Mutual FundsMutual Fund,Joint,"$250,001 - $500,000",Excepted Investment Fund,"$15,001 - $50,000"
16,CISIX - Calvert U.S. Large-Cap Core Responsible Index Fu,Mutual FundsMutual Fund,Joint,"$50,001 - $100,000",Excepted Investment Fund,"$2,501 - $5,000"
17,CMTFX - Columbia Global Technology Growth Fund Class IFiler comment:  Purchases less than $1001,Mutual FundsMutual Fund,Joint,"$250,001 - $500,000",Excepted Investment Fund,"$5,001 - $15,000"
18,CCIZX - Columbia Seligman Technology and Information Fun,Mutual FundsMutual Fund,Joint,"$50,001 - $100,000",Excepted Investment Fund,"$5,001 - $15,000"
19,PREIX - T. Rowe Price Equity Index Fund,Mutual FundsMutual Fund,Joint,"$15,001 - $50,000",Excepted Investment Fund,"$201 - $1,000"
20,FAGCX - Fidelity Advisor Growth Opportunities Fund Clas,Mutual FundsMutual Fund,Joint,"$15,001 - $50,000",Excepted Investment Fund,"$1,001 - $2,500"
21,GWPEX - American Funds Growth Portfolio Class F-2Filer comment:  Purchases less than $1001,Mutual FundsMutual Fund,Joint,"$15,001 - $50,000",Excepted Investment Fund,"$1,001 - $2,500"
