1,"Heartland Bank(Columbus, OH)Type: Checking, Savings",Bank Deposit,Joint,"$250,001 - $500,000",Interest,"$5,001 - $15,000"
2,"NWS Investors I LLCCompany: NWS Investors I LLC (Columbus, OH) Description: Title company small percentage investment",Business EntityLimited Liability Company (LLC),Spouse,"None (or less than $1,001)",Dividends,None (or less than $201)
3,"Caliber Title Holding, LLCCompany: Caliber Title Holding, LLC (Columbus, OH) Description: Small percentage title company investment",Business EntityLimited Liability Company (LLC),Spouse,"None (or less than $1,001)",Dividends,None (or less than $201)
4,"GDR Concepts I, LLCCompany: G.D. Ritzy's Restaurant (Columbus, OH) Description: Small percentage restaurant investment",Business EntityLimited Liability Company (LLC),Spouse,"$1,001 - $15,000","Dividends, Interest",None (or less than $201)
5,Ohio 529 AccountInstitution: College Advantage,Education Savings Plans529 College Savings Plan,Spouse,--,,
5.1,Vanguard Ohio Target Enrollment 2028/2029,Mutual FundsMutual Fund,Spouse,"$50,001 - $100,000","Dividends, Interest, Capital Gains",None (or less than $201)
5.2,Vanguard Ohio Target Enrollment 2024/2025,Mutual FundsMutual Fund,Spouse,"$50,001 - $100,000","Dividends, Interest",None (or less than $201)
6,Commonwealth Brokerage Account,Brokerage/Managed Account,Spouse,--,,
6.1,FBKWX - Fidelity Advisor Total Bond Fund Class Z,Mutual FundsMutual Fund,Spouse,"$1,001 - $15,000","Dividends, Capital Gains","$201 - $1,000"
6.2,Fidelity Money Market Premium,Mutual FundsMutual Fund,Spouse,"$1,001 - $15,000",Interest,"$201 - $1,000"
6.3,John Hancock Funds Disciplined Value Fund Class I,Mutual FundsMutual Fund,Spouse,"$15,001 - $50,000","Dividends, Capital Gains",None (or less than $201)
6.4,JPMorgan Core Bond Fund Class I,Mutual FundsMutual Fund,Spouse,"$1,001 - $15,000","Dividends, Capital Gains","$201 - $1,000"
6.5,MFEIX - MFS Growth Fund Class I,Mutual FundsMutual Fund,Spouse,"$15,001 - $50,000","Dividends, Capital Gains",None (or less than $201)
6.6,PIFZX - PGIM Short-Term Corporate Bond Fund Class Z,Mutual FundsMutual Fund,Spouse,"$1,001 - $15,000","Dividends, Capital Gains",None (or less than $201)
6.7,TROSX - T. Rowe Price Overseas Stock Fund,Mutual FundsMutual Fund,Spouse,"$1,001 - $15,000","Dividends, Capital Gains",None (or less than $201)
6.8,TMCPX - Touchstone Midcap Fund Class Y,Mutual FundsMutual Fund,Spouse,"$1,001 - $15,000","Dividends, Capital Gains",None (or less than $201)
6.9,BEXIX - Baron Emerging Markets Fd Inst Shs,Mutual FundsMutual Fund,Spouse,"$1,001 - $15,000","Dividends, Capital Gains",None (or less than $201)
6.10,"FBMS - First Bancshares, Inc.",Corporate SecuritiesStock,Spouse,"$15,001 - $50,000","Dividends, Capital Gains","$1,001 - $2,500"
7,Commonwealth Roth IRA,Retirement PlansIRA,Spouse,--,,
7.1,GWPEX - American Funds Growth Portfolio Class F-2,Mutual FundsExchange Traded Fund/Note,Spouse,"$1,001 - $15,000","Dividends, Capital Gains",None (or less than $201)
7.2,FVD - First Trust VL Dividend,Mutual FundsMutual Fund,Spouse,"$1,001 - $15,000","Dividends, Capital Gains",None (or less than $201)
7.3,WOBDX - Jpmorgan Core Bond Fund I Class,Mutual FundsMutual Fund,Spouse,"$1,001 - $15,000","Dividends, Capital Gains",None (or less than $201)
8,Commonwealth SEP IRA,Retirement PlansIRA,Spouse,--,,
8.1,"QQQ - Invesco QQQ Trust, Series 1",Mutual FundsExchange Traded Fund/Note,Spouse,"$100,001 - $250,000","Dividends, Capital Gains","$201 - $1,000"
8.2,American Beacon Small Cap Value Fund Cl R5,Mutual FundsMutual Fund,Spouse,"$15,001 - $50,000","Dividends, Capital Gains","$201 - $1,000"
8.3,FBKWX - Fidelity Advisor Total Bond Fund Class Z,Mutual FundsMutual Fund,Spouse,"$15,001 - $50,000","Dividends, Capital Gains","$1,001 - $2,500"
8.4,Fidelity Cons Income Bond Cl Z,Mutual FundsMutual Fund,Spouse,"$1,001 - $15,000","Dividends, Capital Gains","$201 - $1,000"
8.5,First Trust Value Line Div Index Fund,Mutual FundsMutual Fund,Spouse,"$50,001 - $100,000","Dividends, Capital Gains","$1,001 - $2,500"
8.6,FPNIX - Fpa New Income Institutional Class,Mutual FundsMutual Fund,Spouse,"$1,001 - $15,000","Dividends, Capital Gains","$201 - $1,000"
8.7,WOBDX - Jpmorgan Core Bond Fund I Class,Mutual FundsMutual Fund,Spouse,"$15,001 - $50,000","Dividends, Capital Gains","$1,001 - $2,500"
8.8,MCVIX - MFS Mid Cap Value Fund - Class I,Mutual FundsMutual Fund,Spouse,"$15,001 - $50,000","Dividends, Capital Gains","$201 - $1,000"
8.9,PIFZX - PGIM Short-Term Corporate Bond Fund Class Z,Mutual FundsMutual Fund,Spouse,"$1,001 - $15,000","Dividends, Capital Gains","$201 - $1,000"
8.10,TROIX - T. Rowe Price Overseas Stock Fund - I Class,Mutual FundsMutual Fund,Spouse,"$50,001 - $100,000","Dividends, Capital Gains","$1,001 - $2,500"
8.11,TMCPX - Touchstone Midcap Fund Class Y,Mutual FundsMutual Fund,Spouse,"$15,001 - $50,000","Dividends, Capital Gains",None (or less than $201)
8.12,MISIX - Victory Trivalent International Small-Cap Cl I,Mutual FundsMutual Fund,Spouse,"$15,001 - $50,000","Dividends, Capital Gains","$201 - $1,000"
8.13,WIAEX - Wasatch Small Cap Growth Fund Instl Cl,Mutual FundsMutual Fund,Spouse,"$1,001 - $15,000","Dividends, Capital Gains",None (or less than $201)
8.14,"GABC - German American Bancorp, Inc. - Common Stock",Corporate SecuritiesStock,Spouse,"$15,001 - $50,000","Dividends, Capital Gains","$201 - $1,000"
8.15,INTC - Intel Corporation - Common Stock,Corporate SecuritiesStock,Spouse,"$1,001 - $15,000","Dividends, Capital Gains",None (or less than $201)
8.16,SCFZX - PGIM Securitized Credit Fund - Class Z,Mutual FundsMutual Fund,Spouse,"$15,001 - $50,000","Dividends, Interest","$201 - $1,000"
8.17,"Commonwealth Financial Network(Waltham, Massachusetts)Type: Brokerage Sweep Account",Bank Deposit,Spouse,"$1,001 - $15,000",Interest,None (or less than $201)
8.18,BEXIX - Baron Emerging Markets Fund - Institutional Shares,Mutual FundsMutual Fund,Spouse,"$15,001 - $50,000","Dividends, Interest","$201 - $1,000"
