1,IRA Managed by Morgan Stanley,Retirement PlansIRA,Spouse,--,,
1.1,SGENX - First Eagle Global A (NASDAQ),Mutual FundsMutual Fund,Spouse,"None (or less than $1,001)",Excepted Investment Fund,None (or less than $201)
1.2,"Morgan Stanley Bank, N.A.(New York, NY)Type: Money Market Account",Bank Deposit,Spouse,"$1,001 - $15,000",None,None (or less than $201)
1.3,IWF - iShares Russell 1000 Growth ETF,Mutual FundsExchange Traded Fund/Note,Spouse,"None (or less than $1,001)",Excepted Investment Fund,None (or less than $201)
1.4,IWD - iShares Russell 1000 Value ETF,Mutual FundsExchange Traded Fund/Note,Spouse,"None (or less than $1,001)",Excepted Investment Fund,None (or less than $201)
1.5,XLK - The Technology Select Sector SPDR Fund,Mutual FundsExchange Traded Fund/Note,Spouse,"None (or less than $1,001)",Excepted Investment Fund,None (or less than $201)
1.6,TLH - iShares 10-20 Year Treasury Bond ETF,Mutual FundsExchange Traded Fund/Note,Spouse,"$1,001 - $15,000",Excepted Investment Fund,None (or less than $201)
1.7,IEMG - iShares Core MSCI Emerging Markets ETF,Mutual FundsExchange Traded Fund/Note,Spouse,"$15,001 - $50,000",Excepted Investment Fund,None (or less than $201)
1.8,IVV - iShares Core S&P 500 ETF,Mutual FundsExchange Traded Fund/Note,Spouse,"$15,001 - $50,000",Excepted Investment Fund,None (or less than $201)
1.9,IUSB - iShares Core Total USD Bond Market ETF,Mutual FundsExchange Traded Fund/Note,Spouse,"$15,001 - $50,000",Excepted Investment Fund,None (or less than $201)
1.10,MTUM - iShares MSCI USA Momentum Factor ETF,Mutual FundsExchange Traded Fund/Note,Spouse,"$1,001 - $15,000",Excepted Investment Fund,None (or less than $201)
1.11,QUAL - iShares MSCI USA Quality Factor ETF,Mutual FundsExchange Traded Fund/Note,Spouse,"$1,001 - $15,000",Excepted Investment Fund,None (or less than $201)
1.12,BINC - iShares Flexible Income Active ETF,Mutual FundsExchange Traded Fund/Note,Spouse,"$1,001 - $15,000",Excepted Investment Fund,None (or less than $201)
1.13,IAU - iShares Gold Trust Shares,Mutual FundsExchange Traded Fund/Note,Spouse,"$1,001 - $15,000",Excepted Investment Fund,None (or less than $201)
1.14,IAGG - iShares Core International Aggregate Bond ETF,Mutual FundsExchange Traded Fund/Note,Spouse,"$1,001 - $15,000",Excepted Investment Fund,None (or less than $201)
1.15,MBB - iShares MBS ETF,Mutual FundsExchange Traded Fund/Note,Spouse,"$1,001 - $15,000",Excepted Investment Fund,None (or less than $201)
1.16,EFV - iShares MSCI EAFE Value ETF,Mutual FundsExchange Traded Fund/Note,Spouse,"$15,001 - $50,000",Excepted Investment Fund,None (or less than $201)
1.17,OEF - iShares S&P 100 ETF,Mutual FundsExchange Traded Fund/Note,Spouse,"$15,001 - $50,000",Excepted Investment Fund,None (or less than $201)
1.18,IVW - iShares S&P 500 Growth ETF,Mutual FundsExchange Traded Fund/Note,Spouse,"$15,001 - $50,000",Excepted Investment Fund,None (or less than $201)
1.19,IVE - iShares S&P 500 Value ETF,Mutual FundsExchange Traded Fund/Note,Spouse,"$15,001 - $50,000",Excepted Investment Fund,None (or less than $201)
1.20,DYNF - iShares U.S. Equity Factor Rotation Active ETF,Mutual FundsExchange Traded Fund/Note,Spouse,"$15,001 - $50,000",Excepted Investment Fund,None (or less than $201)
1.21,THRO - iShares U.S. Thematic Rotation Active ETF,Mutual FundsExchange Traded Fund/Note,Spouse,"$1,001 - $15,000",Excepted Investment Fund,None (or less than $201)
1.22,ITA - iShares U.S. Aerospace & Defense ETF,Mutual FundsExchange Traded Fund/Note,Spouse,"$1,001 - $15,000",Excepted Investment Fund,None (or less than $201)
1.23,BAI - iShares A.I. Innovation and Tech Active ETF,Mutual FundsExchange Traded Fund/Note,Spouse,"$1,001 - $15,000",Excepted Investment Fund,None (or less than $201)
2,Morgan Stanley Consultant Advisor Account,Brokerage/Managed Account,Joint,--,,
2.1,"Morgan Stanley - MSPBNA Savings(Rochester, NY)Type: Savings",Bank Deposit,Joint,"None (or less than $1,001)",Interest,"$201 - $1,000"
2.2,"Morgan Stanley, N.A.(New York, NY)Type: Money Market Account",Bank Deposit,Joint,"$1,001 - $15,000",None,None (or less than $201)
3,"Wells Fargo(Richmond, VA)Type: Checking",Bank Deposit,Joint,"$1,001 - $15,000",None,None (or less than $201)
4,IRA managed by Morgan Stanley,Retirement PlansIRA,Self,--,,
4.1,VWINX - Vanguard Wellesley Income Inv (NASDAQ),Mutual FundsMutual Fund,Self,"None (or less than $1,001)",Excepted Investment Fund,None (or less than $201)
4.2,QQQ - Invesco QQQ Trust,Mutual FundsExchange Traded Fund/Note,Self,"None (or less than $1,001)",Excepted Investment Fund,None (or less than $201)
4.3,SDY - SPDR S&P Dividend ETF,Mutual FundsExchange Traded Fund/Note,Self,"$15,001 - $50,000",Excepted Investment Fund,None (or less than $201)
4.4,PFBPX - PIMCO Foreign Bond (USD-Hedged) P,Mutual FundsMutual Fund,Self,"$15,001 - $50,000",Excepted Investment Fund,None (or less than $201)
4.5,PONPX - PIMCO Income Fund Class I-2,Mutual FundsMutual Fund,Self,"$50,001 - $100,000",Excepted Investment Fund,None (or less than $201)
4.6,PRHSX - T. Rowe Price Health Sciences Fund,Mutual FundsMutual Fund,Self,"None (or less than $1,001)",Excepted Investment Fund,None (or less than $201)
4.7,PXSGX - Virtus KAR Small-Cap Growth Fund Class I,Mutual FundsMutual Fund,Self,"None (or less than $1,001)",Excepted Investment Fund,None (or less than $201)
4.8,"Morgan Stanley(New York, NY)Type: IRA Cash Accounts",Bank Deposit,Self,"$1,001 - $15,000",None,None (or less than $201)
4.9,VO - Vanguard Mid-Cap ETF,Mutual FundsExchange Traded Fund/Note,Self,"None (or less than $1,001)",Excepted Investment Fund,None (or less than $201)
4.10,SGIIX - First Eagle Global Fund Class I,Mutual FundsMutual Fund,Self,"None (or less than $1,001)",Excepted Investment Fund,None (or less than $201)
4.11,OMFL - Invesco Russell 1000(R) Dynamic Multifactor ETF,Mutual FundsExchange Traded Fund/Note,Self,"$1,001 - $15,000",Excepted Investment Fund,None (or less than $201)
4.12,RSP - Invesco S&P 500 Equal Weight ETF,Mutual FundsExchange Traded Fund/Note,Self,"$15,001 - $50,000",Excepted Investment Fund,None (or less than $201)
4.13,RPG - Invesco S&P 500 Pure Growth ETF,Mutual FundsExchange Traded Fund/Note,Self,"$1,001 - $15,000",Excepted Investment Fund,None (or less than $201)
4.14,RPV - Invesco S&P 500 Pure Value ETF,Mutual FundsExchange Traded Fund/Note,Self,"$15,001 - $50,000",Excepted Investment Fund,None (or less than $201)
4.15,USMV - iShares MSCI USA Min Vol Factor ETF,Mutual FundsExchange Traded Fund/Note,Self,"$15,001 - $50,000",Excepted Investment Fund,None (or less than $201)
4.16,MTUM - iShares MSCI USA Momentum Factor ETF,Mutual FundsExchange Traded Fund/Note,Self,"$15,001 - $50,000",Excepted Investment Fund,None (or less than $201)
4.17,QUAL - iShares MSCI USA Quality Factor ETF,Mutual FundsExchange Traded Fund/Note,Self,"$15,001 - $50,000",Excepted Investment Fund,None (or less than $201)
4.18,IWF - iShares Russell 1000 Growth ETF,Mutual FundsExchange Traded Fund/Note,Self,"$50,001 - $100,000",Excepted Investment Fund,None (or less than $201)
4.19,IWD - iShares Russell 1000 Value ETF,Mutual FundsExchange Traded Fund/Note,Self,"$50,001 - $100,000",Excepted Investment Fund,None (or less than $201)
4.20,IWO - iShares Russell 2000 Growth ETF,Mutual FundsExchange Traded Fund/Note,Self,"$15,001 - $50,000",Excepted Investment Fund,None (or less than $201)
4.21,IWN - iShares Russell 2000 Value ETF,Mutual FundsExchange Traded Fund/Note,Self,"$15,001 - $50,000",Excepted Investment Fund,None (or less than $201)
4.22,IWP - iShares Russell Mid-Cap Growth ETF,Mutual FundsExchange Traded Fund/Note,Self,"$1,001 - $15,000",Excepted Investment Fund,None (or less than $201)
4.23,IWS - iShares Russell Mid-Cap Value ETF,Mutual FundsExchange Traded Fund/Note,Self,"$1,001 - $15,000",Excepted Investment Fund,None (or less than $201)
4.24,JPST - JPMorgan Ultra-Short Income ETF,Mutual FundsExchange Traded Fund/Note,Self,"$1,001 - $15,000",Excepted Investment Fund,None (or less than $201)
4.25,XLY - The Consumer Discretionary Select Sector SPDR Fund,Mutual FundsMutual Fund,Self,"$1,001 - $15,000",Excepted Investment Fund,None (or less than $201)
