1,QCBMIX - CREF Core Bond Account - R3,Mutual FundsMutual Fund,Spouse,"$15,001 - $50,000",Excepted Investment Fund,None (or less than $201)
2,TCYIX - Nuveen Lifecycle 2025 Fund - Class R6,Mutual FundsMutual Fund,Spouse,"$250,001 - $500,000",Excepted Investment Fund,None (or less than $201)
3,"United States Senate Federal Credit Union(Washington, DC)Type: Certificate of Deposit, Checking, IRA Cash Accounts, Savings",Bank Deposit,Joint,"$1,001 - $15,000","Dividends, Interest",None (or less than $201)
4,"Wells Fargo(Minneapolis, MN)Type: Checking",Bank Deposit,Spouse,"$1,001 - $15,000",None,None (or less than $201)
5,"TruStone Financial(Minneapolis, MN)Type: Certificate of Deposit, Checking, IRA Cash Accounts, Money Market Account, Savings",Bank Deposit,Joint,"$50,001 - $100,000",Dividends,"$201 - $1,000"
6,Fidelity Investments IRA,Retirement PlansIRA,Spouse,--,,
6.1,FBAQX - Fidelity Advisor Balanced Fund - Class M,Mutual FundsMutual Fund,Spouse,"$100,001 - $250,000",Excepted Investment Fund,None (or less than $201)
6.2,FAGOX - Fidelity Advisor Growth Opportunities Fund Class M,Mutual FundsMutual Fund,Spouse,"$100,001 - $250,000",Excepted Investment Fund,None (or less than $201)
6.3,FOVMX - Fidelity Overseas Fund - Fidelity Advisor Overseas Fund: Class M,Mutual FundsMutual Fund,Spouse,"$15,001 - $50,000",Excepted Investment Fund,None (or less than $201)
6.4,FIAPX - Fidelity Equity Dividend Income Fund - Fidelity Advsior Equity Dividend Income Fund: Class M,Mutual FundsMutual Fund,Spouse,"$100,001 - $250,000",Excepted Investment Fund,None (or less than $201)
6.5,FAEGX - Fidelity Advisor Equity Growth Fund Class M,Mutual FundsMutual Fund,Spouse,"$100,001 - $250,000",Excepted Investment Fund,None (or less than $201)
6.6,FTBRX - Fidelity Advisor Limited Term Bond Fund Class M,Mutual FundsMutual Fund,Spouse,"$100,001 - $250,000",Excepted Investment Fund,None (or less than $201)
7,State Street Russell Small Cap Index Non-Lending Series Fund Class K,Mutual FundsMutual Fund,Spouse,"$250,001 - $500,000",Excepted Investment Fund,None (or less than $201)
8,State Street Russell Small Cap Index Non-Lending Series Fund Class K,Mutual FundsMutual Fund,Spouse,"$250,001 - $500,000",Excepted Investment Fund,None (or less than $201)
9,SIUSX - Guggenheim Investment Grade Bond Fund Class A,Mutual FundsMutual Fund,Self,"$15,001 - $50,000",Excepted Investment Fund,None (or less than $201)
10,State Street S&P 500 Index Series Fund Class K,Mutual FundsMutual Fund,Spouse,"$15,001 - $50,000",Excepted Investment Fund,None (or less than $201)
11,State Street S&P MidCap Index Non-Lending Series Fund Class M,Mutual FundsMutual Fund,Spouse,"$15,001 - $50,000",Excepted Investment Fund,None (or less than $201)
12,Parnassus Sustainable Core Equity CIT,Mutual FundsMutual Fund,Spouse,"$15,001 - $50,000",Excepted Investment Fund,None (or less than $201)
13,TRSSX - T.Rowe Price Institutional Small-Cap Stock Fund,Mutual FundsMutual Fund,Spouse,"$1,001 - $15,000",Excepted Investment Fund,None (or less than $201)
14,T. Rowe Price U.S. Mid-Cap Value Equity Trust Class D,Mutual FundsMutual Fund,Spouse,"$15,001 - $50,000",Excepted Investment Fund,None (or less than $201)
15,"Large Cap Value I1Filer comment:  The Putnam Advisory Company, LLC sub-advises Wilmington Trust funds.",Mutual FundsMutual Fund,Spouse,"$15,001 - $50,000",Excepted Investment Fund,None (or less than $201)
16,Great Gray Trust T. Rowe Price Retirement 2035 Trust I1,Mutual FundsMutual Fund,Spouse,"$50,001 - $100,000",Excepted Investment Fund,None (or less than $201)
17,Great Gray Trust T. Rowe Price Retirement 2040 Trust I1,Mutual FundsMutual Fund,Spouse,"$15,001 - $50,000",Excepted Investment Fund,None (or less than $201)
18,State Street U.S. Bond Index Non-Lending Series Class M,Mutual FundsMutual Fund,Spouse,"$15,001 - $50,000",Excepted Investment Fund,None (or less than $201)
19,Great Gray Trust T. Rowe Price Retirement 2050 Tr I1,Mutual FundsMutual Fund,Spouse,"$15,001 - $50,000",Excepted Investment Fund,None (or less than $201)
20,Schwab One Account,Brokerage/Managed Account,Spouse,--,,
20.1,SNSXX - Schwab US Treasury Money,Mutual FundsMutual Fund,Spouse,"$1,001 - $15,000","Dividends, Interest",None (or less than $201)
21,Vanguard - Stinson LLP Retirement Plan,"Retirement Plans401(k), 403(b), or other Defined Contribution Plan.",Spouse,--,,
21.1,VTHRX - Vanguard Target Retirement 2030 Fund - Investor Shares,Mutual FundsMutual Fund,Spouse,"$1,001 - $15,000",Excepted Investment Fund,None (or less than $201)
22,VWNEX - Vanguard Windsor Fund - Admiral Shares,Mutual FundsMutual Fund,Spouse,"$1,001 - $15,000",Excepted Investment Fund,None (or less than $201)
23,VFORX - Vanguard Target Retirement 2040 Fund - Investor Shares,Mutual FundsMutual Fund,Spouse,"$15,001 - $50,000",Excepted Investment Fund,None (or less than $201)
24,VTTSX - Vanguard Target Retirement 2060 Fund - Investor Shares,Mutual FundsMutual Fund,Spouse,"$1,001 - $15,000",Excepted Investment Fund,None (or less than $201)
25,PCCOX - T. Rowe Price U.S. Equity Research Fund - T. Rowe Price U.S. Equity Research Fund-I Class,Mutual FundsMutual Fund,Spouse,"$1,001 - $15,000",Excepted Investment Fund,None (or less than $201)
26,TFTIX - Nuveen Lifecycle 2050 Fund - Class R6,Mutual FundsMutual Fund,Spouse,"$1,001 - $15,000",Excepted Investment Fund,None (or less than $201)
27,VIPIX - Vanguard Inflation-Protected Securities Fund - Institutional Shares,Mutual FundsMutual Fund,Spouse,"$1,001 - $15,000",Excepted Investment Fund,None (or less than $201)
28,Great Gray Trust Fidelity Institutional AM® Core Fixed Income Class N,Mutual FundsMutual Fund,Spouse,"$100,001 - $250,000",Excepted Investment Fund,None (or less than $201)
29,Great Gray T. Rowe Price Retirement 2030 Tr II,Mutual FundsMutual Fund,Spouse,"$15,001 - $50,000",Excepted Investment Fund,None (or less than $201)
30,William Blair Large Cap Growth CIT 5,Mutual FundsMutual Fund,Spouse,"$1,001 - $15,000",Excepted Investment Fund,None (or less than $201)
31,T. Rowe Price Investment Contract Pol ICP,Mutual FundsMutual Fund,Spouse,"$100,001 - $250,000",Excepted Investment Fund,None (or less than $201)
32,Great Gray T. Rowe Price Retirement 2030 Trust I1,Mutual FundsMutual Fund,Spouse,"$15,001 - $50,000",Excepted Investment Fund,None (or less than $201)
