1,"Republic Bank and Trust(Louisville, KY)Type: Checking",Bank Deposit,Self,"$1,001 - $15,000",Interest,None (or less than $201)
2,MNNAX - Victory Munder Multi-Cap A,TrustGeneral Trust,Self,"$100,001 - $250,000",Excepted Investment Fund,"$15,001 - $50,000"
3,VHCAX-Vanguard Capital Opportunity Adm (NASDAQ),TrustGeneral Trust,Self,"$500,001 - $1,000,000",Excepted Investment Fund,"$5,001 - $15,000"
4,VSIAX-Vanguard Small Cap Value Index Admiral (NASDAQ),TrustGeneral Trust,Self,"$500,001 - $1,000,000",Excepted Investment Fund,"$2,501 - $5,000"
5,VFIAX-Vanguard 500 Index Admiral (NASDAQ),TrustGeneral Trust,Self,"$1,000,001 - $5,000,000",Excepted Investment Fund,"$2,501 - $5,000"
6,Mitch IRA MLPA,Retirement PlansIRA,Self,--,,
6.1,"Fidelity Cash Reserves(Louisville, Kentucky)Type: IRA Cash Accounts",Bank Deposit,Self,"$1,001 - $15,000",Interest,None (or less than $201)
6.2,SCPB-SPDR Barclays Short Term Corp Bd ETF (NYSEArca),Mutual FundsExchange Traded Fund/Note,Self,"$15,001 - $50,000",Excepted Investment Fund,None (or less than $201)
6.3,IWM-iShares Russell 2000,Mutual FundsExchange Traded Fund/Note,Self,"$15,001 - $50,000",Excepted Investment Fund,None (or less than $201)
6.4,SPY - SPDR S&P 500 ETF,Mutual FundsExchange Traded Fund/Note,Self,"$50,001 - $100,000",Excepted Investment Fund,None (or less than $201)
6.5,VO-Vanguard Mid-Cap ETF,Mutual FundsExchange Traded Fund/Note,Self,"$15,001 - $50,000",Excepted Investment Fund,None (or less than $201)
7,Vanguard 529 College Savings PlanInstitution: Vanguard,Education Savings Plans529 College Savings Plan,Self,--,,
7.1,Vanguard Target Enrollment 2032/2033 Portfolio,Mutual FundsMutual Fund,Self,"$100,001 - $250,000",None,None (or less than $201)
8,Vanguard 529 College Savings PlanInstitution: Vanguard,Education Savings Plans529 College Savings Plan,Self,--,,
8.1,Vanguard Target Enrollment 2032/2033 Portfolio,Mutual FundsMutual Fund,Self,"$100,001 - $250,000",None,None (or less than $201)
9,"Real Property with Carriage House RentalDescription: Real Property with Carriage House Rental (Washington, DC)",Real EstateResidential,Joint,"$1,000,001 - $5,000,000",Rent/Royalties,"$15,001 - $50,000"
10,UBS Pension Trust (9 items),TrustGeneral Trust,Spouse,--,,
10.1,"UBS (uninvested cash held by UBS)(Washington, DC)Type: Checking",Bank Deposit,Spouse,"$1,001 - $15,000",Interest,None (or less than $201)
10.2,WGIFX-American Funds Capital World Gr&Inc F2 (NASDAQ),Mutual FundsMutual Fund,Spouse,"$15,001 - $50,000",Excepted Investment Fund,None (or less than $201)
10.3,SDSCX - BNY Mellon Small/Mid Cap Growth Fund Class I,Mutual FundsMutual Fund,Spouse,"$15,001 - $50,000",Excepted Investment Fund,None (or less than $201)
10.4,FEGIX-First Eagle Gold I (NASDAQ),Mutual FundsMutual Fund,Spouse,"$1,001 - $15,000",Excepted Investment Fund,None (or less than $201)
10.5,PEIIX - Principal Fds Inc. Equity Income Fd Insti,Mutual FundsMutual Fund,Spouse,"$50,001 - $100,000",Excepted Investment Fund,None (or less than $201)
10.6,GFFFX-American Funds Growth Fund of Amer F2 (NASDAQ),Mutual FundsMutual Fund,Spouse,"$100,001 - $250,000",Excepted Investment Fund,None (or less than $201)
10.7,DPFFX-Delaware Diversified Income Instl (NASDAQ),Mutual FundsMutual Fund,Spouse,"$15,001 - $50,000",Excepted Investment Fund,None (or less than $201)
10.8,TGBAX-Templeton Global Bond Adv (NASDAQ),Mutual FundsMutual Fund,Spouse,"$1,001 - $15,000",Excepted Investment Fund,None (or less than $201)
10.9,PGDPX - Principal Global Div Inc P (NASDAQ),Mutual FundsMutual Fund,Spouse,"$15,001 - $50,000",Excepted Investment Fund,None (or less than $201)
11,(Heritage Foundation 403(b)) VFIAX-Vanguard 500 Index Admiral,Mutual FundsMutual Fund,Spouse,"$250,001 - $500,000",Excepted Investment Fund,None (or less than $201)
12,(Heritage Foundation 403(b)) PREIX-T. Rowe Price Equity Index 500 (NASDAQ),Mutual FundsMutual Fund,Spouse,"$250,001 - $500,000",Excepted Investment Fund,None (or less than $201)
