1,David H. McCormick Fidelity Traditional IRA Account,Retirement PlansIRA,Self,--,,
1.1,QQQ - Nasdaq QQQ Invesco ETF,Mutual FundsExchange Traded Fund/Note,Self,"$100,001 - $250,000",None,None (or less than $201)
1.2,IJR - iShares Core S&P Small-Cap,Mutual FundsExchange Traded Fund/Note,Self,"$50,001 - $100,000",None,None (or less than $201)
1.3,VIG - Dividend Appreciation ETF Vanguard,Mutual FundsExchange Traded Fund/Note,Self,"$100,001 - $250,000",None,None (or less than $201)
1.4,VUG - Growth ETF Vanguard,Mutual FundsExchange Traded Fund/Note,Self,"$100,001 - $250,000",None,None (or less than $201)
1.5,"QIWSQ - Fidelity(Boston, MA)Type: IRA Cash Accounts",Bank Deposit,Self,"None (or less than $1,001)",None,None (or less than $201)
2,David McCormick Charitable Gift Fund,TrustGeneral Trust,Self,--,,
2.1,VGT - Information Technology ETF Vanguard,Mutual FundsExchange Traded Fund/Note,Self,"None (or less than $1,001)",None,None (or less than $201)
2.2,"FCASH - Fidelity(Boston, MA)Type: Brokerage Sweep Account",Bank Deposit,Self,"$15,001 - $50,000",None,None (or less than $201)
3,David H McCormick 2020 Dynasty Trust,TrustGeneral Trust,Self,--,,
3.1,Fidelity David H McCormick 2020 Dynasty Trust Investment Account,Brokerage/Managed Account,Self,--,,
3.1.1,IJR - iShares Core S&P Small-Cap,Mutual FundsExchange Traded Fund/Note,Self,"$100,001 - $250,000","Dividends, Capital Gains","$15,001 - $50,000"
3.1.2,QQQ - Nasdaq QQQ Invesco ETF,Mutual FundsExchange Traded Fund/Note,Self,"$250,001 - $500,000","Dividends, Capital Gains","$100,001 - $1,000,000"
3.1.3,VIG - Dividend Appreciation ETF Vanguard,Mutual FundsExchange Traded Fund/Note,Self,"$250,001 - $500,000","Dividends, Capital Gains","$50,001 - $100,000"
3.1.4,VUG - Growth ETF Vanguard,Mutual FundsExchange Traded Fund/Note,Self,"$250,001 - $500,000","Dividends, Capital Gains","$100,001 - $1,000,000"
3.1.5,"FCASH- Fidelity(Boston, MA)Type: Brokerage Sweep Account",Bank Deposit,Self,"$15,001 - $50,000",Interest,"$201 - $1,000"
3.1.6,DGRW - WisdomTree U.S. Quality Dividend Growth Fund,Corporate SecuritiesStock,Self,"$50,001 - $100,000",Dividends,"$201 - $1,000"
3.1.7,US TreasuryRate/Coupon: None  Matures: None,Government SecuritiesUS Treasury/Agency Security,Self,"$50,001 - $100,000",None,None (or less than $201)
3.2,"Dynasty Trust Real Estate InvestmentDescription: Commercial Real Estate Investment (Kansas City, MO)",Real EstateCommercial,Self,"$1,000,001 - $5,000,000",Rent/Royalties,None (or less than $201)
4,Dina Powell Investments,Brokerage/Managed Account,Spouse,--,,
4.1,GSLC - GS Activebeta US Largecap ETF,Mutual FundsExchange Traded Fund/Note,Spouse,"Over $1,000,000 and held independently by spouse or dependent child","Dividends, Capital Gains","$5,001 - $15,000"
4.2,BSPGX - Ishares S&P 500 Index Fund - Class G,Mutual FundsMutual Fund,Spouse,"$100,001 - $250,000","Dividends, Capital Gains","$1,001 - $2,500"
4.3,BTMKX-Ishares MSCI EAFE International Index Fund - Cla,Mutual FundsMutual Fund,Spouse,"$15,001 - $50,000","Dividends, Capital Gains","$1,001 - $2,500"
4.4,SSHQX - State Street Hedged International Developed Equi,Mutual FundsMutual Fund,Spouse,"$15,001 - $50,000","Dividends, Capital Gains","$1,001 - $2,500"
4.5,DBEF - Xtrackers MSCI EAFE Hedged Equity ETF,Mutual FundsExchange Traded Fund/Note,Spouse,"$250,001 - $500,000","Dividends, Capital Gains","$15,001 - $50,000"
4.6,"Goldman Sachs(New York, NY)Type: Money Market Account",Bank Deposit,Spouse,"Over $1,000,000 and held independently by spouse or dependent child",Interest,"$100,001 - $1,000,000"
4.7,GTFPX,Mutual FundsMutual Fund,Spouse,"$250,001 - $500,000","Dividends, Capital Gains","$5,001 - $15,000"
4.8,GSKPX,Mutual FundsMutual Fund,Spouse,"Over $1,000,000 and held independently by spouse or dependent child","Dividends, Capital Gains","$100,001 - $1,000,000"
4.9,GS Restricted Stock UnitsFiler comment:  No longer held,Corporate SecuritiesStock,Spouse,"Over $1,000,000 and held independently by spouse or dependent child",None,None (or less than $201)
4.10,PENNSYLVANIA ST GO JD GO BDS FIRST SER PRERE Rate/Coupon: 5%  Matures: 05/15/2027,Government SecuritiesMunicipal Security,Spouse,"$250,001 - $500,000",Interest,"$5,001 - $15,000"
4.11,"Stonebridge 2021 Access Fund LPDescription: Private Equity Fund (New York, NY)",Investment FundPrivate Equity Fund,Spouse,"$250,001 - $500,000",Excepted Investment Fund,"$50,001 - $100,000"
4.12,"Stonebridge 2022 Access FundDescription: Private Equity Fund (New York, NY)",Investment FundPrivate Equity Fund,Spouse,"$500,001 - $1,000,000",Excepted Investment Fund,"$50,001 - $100,000"
4.13,"PPS Investors Employee LPDescription: Private Equity (New York, NY)",Investment FundPrivate Equity Fund,Spouse,"$500,001 - $1,000,000",Excepted Investment Fund,None (or less than $201)
4.14,"West Street Senior Credit Partners III Employee FundDescription: Private Equity (New York, NY)",Investment FundPrivate Equity Fund,Spouse,"$100,001 - $250,000",Excepted Investment Fund,None (or less than $201)
4.15,CARLISLE BORO PA GO JJ GO BDS Rate/Coupon: 5%  Matures: 07/15/2028,Government SecuritiesMunicipal Security,Spouse,"$50,001 - $100,000",Interest,"$2,501 - $5,000"
4.16,SPRING TWP PA GO BDSRate/Coupon: 5%  Matures: 11/15/2026,Government SecuritiesMunicipal Security,Spouse,"$15,001 - $50,000",Interest,"$1,001 - $2,500"
4.17,ALLEGHENY CNTY PA SAN AUTH SWR REV JD REV BDS 2020Rate/Coupon: 5%  Matures: 06/01/2026,Government SecuritiesMunicipal Security,Spouse,"$50,001 - $100,000",Interest,"$2,501 - $5,000"
4.18,PITTSBURGH PA SCH DIST GO MS GO BDS 2019Rate/Coupon: 5%  Matures: 09/01/2026,Government SecuritiesMunicipal Security,Spouse,"$50,001 - $100,000",Interest,"$2,501 - $5,000"
