1,"Missouri Midway LLCCompany: Missouri Midway LLC (Largo, FL) Description: Holding Company for Undeveloped Land",Business EntityLimited Liability Company (LLC),Self,--,,
1.1,"Undeveloped Land/Real Estate Investment #4Description: Undeveloped Land #4 (Largo, FL)",Real EstateCommercial,Self,"$1,001 - $15,000",None,None (or less than $201)
2,"Artzibushev - University One Limited PartnershipCompany: Artzibushev - University One Limited Partnership (Tampa, FL) Description: Limited Partnership to Develop and Lease Commercial Real Estate",Business EntityLimited Liability Limited Partnership (LLLP),Self,--,,
2.1,"Commercial Real Estate #1Description: Commercial Real Estate #1 (Tampa, FL)",Real EstateCommercial,Self,"$1,000,001 - $5,000,000",Rent/Royalties,"$15,001 - $50,000"
3,"Commercial Real Estate #4Description: Young & Moody Building (Plant City, FL)",Real EstateCommercial,Self,"$100,001 - $250,000",Rent/Royalties,"$15,001 - $50,000"
4,"USAA(San Antonio, TX)Type: Checking",Bank Deposit,Spouse,"$15,001 - $50,000",None,None (or less than $201)
5,"Residential Real Estate Investment #1Description: Condominium (Longboat Key, FL)",Real EstateResidential,Self,"$100,001 - $250,000",Rent/Royalties,"$201 - $1,000"
6,"Undeveloped Land/Real Estate Investment #1Description: Land Parcel Identifier 074800776438000 (Yancey County, NC)",Real EstateUnimproved Land,Self,"$50,001 - $100,000",None,None (or less than $201)
7,"Undeveloped Land/Real Estate Investment #2Description: Land Parcel Identifier 203439-000, 090127-000 (Plant City, FL)",Real EstateUnimproved Land,Self,"$100,001 - $250,000",Rent/Royalties,"$5,001 - $15,000"
8,"Residential Real Estate Investment #2Description: Condominiums (Treasure Island, FL)",Real EstateResidential,Self,"$100,001 - $250,000",Rent/Royalties,"$15,001 - $50,000"
9,"Gulf to Bay JV Partners LLCCompany: Gulf to Bay JV Partners LLC (Tampa, FL) Description: Holding Company to Develop and Lease Commercial Real Estate",Business EntityLimited Liability Company (LLC),Self,--,,
9.1,"Commercial Real Estate #2Description: Commercial Real Estate #2 (Clearwater, FL)",Real EstateCommercial,Self,"$100,001 - $250,000",None,None (or less than $201)
10,"First Tampa Alexander LLCCompany: First Tampa Alexander LLC (Plant City, FL) Description: Holding Company for Commercial Real Estate",Business EntityLimited Liability Company (LLC),Self,--,,
10.1,"Commercial Real Estate #3Description: Commercial Real Estate #3 (Plant City, FL)",Real EstateCommercial,Self,"$100,001 - $250,000",Rent/Royalties,"$201 - $1,000"
11,"Truist(Tampa, FL)Type: Checking",Bank Deposit,Self,"$15,001 - $50,000",None,None (or less than $201)
12,"Truist(Tampa, FL)Type: Checking",Bank Deposit,Joint,"$15,001 - $50,000",None,None (or less than $201)
13,"Residential Real Estate Investment #3Description: Condomimium Normandy Trace (Tampa, FL)",Real EstateResidential,Self,"$50,001 - $100,000",Rent/Royalties,"$5,001 - $15,000"
14,"Undeveloped Land/Real Estate Investment #3Description: Vacant land Gainesville (Gainesville, FL)",Real EstateUnimproved Land,Self,"$15,001 - $50,000",None,None (or less than $201)
15,State of Florida Deferred Compensation Plan,Retirement PlansDeferred Compensation,Self,--,,
15.1,Nationwide 457(b) Account,Brokerage/Managed Account,Self,--,,
15.1.1,VSCIX - Vanguard Index Trust Small-Cap Index Fund Instl,Mutual FundsMutual Fund,Self,"$50,001 - $100,000","None, Excepted Investment Fund",None (or less than $201)
15.1.2,PDGIX - T. Rowe Price Dividend Growth Fund - I Class,Mutual FundsMutual Fund,Self,"$100,001 - $250,000","None, Excepted Investment Fund",None (or less than $201)
15.1.3,FLCNX - Fidelity Contrafund K6,Mutual FundsMutual Fund,Self,"$100,001 - $250,000","None, Excepted Investment Fund",None (or less than $201)
15.1.4,TRowePR Eq Inc B (XX465),Mutual FundsMutual Fund,Self,"$50,001 - $100,000","None, Excepted Investment Fund",None (or less than $201)
16,Merrill Lynch Brokerage Account #1Filer comment:  Asset and income ranges reflect only filer's 16.67% interest in the account holdings.  Compare with New Filer Report filed 5/2025 which disclosed the total account value and income and noted filer's 16.67% share.,Brokerage/Managed Account,Self,--,,
16.1,"ML Bank Deposit Program(New York, NY)Type: Brokerage Sweep Account",Bank Deposit,Self,"$1,001 - $15,000",None,None (or less than $201)
16.2,XOM - Exxon Mobil Corp,Corporate SecuritiesStock,Self,"$1,001 - $15,000",None,None (or less than $201)
16.3,TRV - The Travelers Companies Inc,Corporate SecuritiesStock,Self,"$1,001 - $15,000",None,None (or less than $201)
16.4,TFC - Truist Financial Corp,Corporate SecuritiesStock,Self,"$1,001 - $15,000",None,None (or less than $201)
16.5,VLO - Valero Energy Corp,Corporate SecuritiesStock,Self,"$1,001 - $15,000",None,None (or less than $201)
16.6,WFC - Wells Fargo & Company,Corporate SecuritiesStock,Self,"$1,001 - $15,000",None,None (or less than $201)
16.7,JEPQ - JPM Nasdaq Equity Premium Income ETF,Mutual FundsExchange Traded Fund/Note,Self,"$1,001 - $15,000","Dividends, Excepted Investment Fund","$201 - $1,000"
