1,"Astra Bank(Plainville, KS)Type: Money Market Account",Bank Deposit,Joint,"$15,001 - $50,000",Interest,"$201 - $1,000"
2,"Landmark Bank(Manhattan, KS)Type: Savings",Bank Deposit,Joint,"$1,001 - $15,000",Interest,None (or less than $201)
3,"Bank of Hays(Hays, ks)Type: Checking, Money Market Account, Savings",Bank Deposit,Joint,"$50,001 - $100,000",Interest,"$201 - $1,000"
4,Raymond James IRA,Retirement PlansIRA,Self,--,,
4.1,CGDG - Capital Group Dividend Growers ETF,Mutual FundsExchange Traded Fund/Note,Self,"$15,001 - $50,000",None,None (or less than $201)
4.2,CGDV - Capital Group Dividend Value ETF,Mutual FundsExchange Traded Fund/Note,Self,"$15,001 - $50,000",None,None (or less than $201)
4.3,DFIV - Dimensional International Value ETF,Mutual FundsExchange Traded Fund/Note,Self,"$50,001 - $100,000",None,None (or less than $201)
4.4,DFAT - Dimensional U.S. Targeted Value ETF,Mutual FundsExchange Traded Fund/Note,Self,"$15,001 - $50,000",None,None (or less than $201)
4.5,BRK.B - Berkshire Hathaway Cl B,Corporate SecuritiesStock,Self,"$50,001 - $100,000",None,None (or less than $201)
4.6,DFEV - Dimensional Emerging Markets Value ETF,Mutual FundsExchange Traded Fund/Note,Self,"$15,001 - $50,000",None,None (or less than $201)
4.7,DFSV - Dimensional US Small Cap Value ETF,Mutual FundsExchange Traded Fund/Note,Self,"$15,001 - $50,000",None,None (or less than $201)
4.8,VGSH - Vanguard Short-Term Treasury ETF,Mutual FundsExchange Traded Fund/Note,Self,"$50,001 - $100,000",None,None (or less than $201)
4.9,DXJ - WisdomTree Japan Hedged Equity Fund,Mutual FundsExchange Traded Fund/Note,Self,"$15,001 - $50,000",None,None (or less than $201)
4.10,AMRFX - American Mutual Fund Class F-2 Shares,Mutual FundsMutual Fund,Self,"$15,001 - $50,000",None,None (or less than $201)
4.11,ICAFX - The Investment Company of America Class F-2 Shs,Mutual FundsMutual Fund,Self,"$15,001 - $50,000",None,None (or less than $201)
4.12,DBLSX - Doubleline Low Duration Bond Fund Class I,Mutual FundsMutual Fund,Self,"$15,001 - $50,000",None,None (or less than $201)
4.13,FRSXX - FIMM Treasury Only Port,Mutual FundsMutual Fund,Self,"$100,001 - $250,000",None,None (or less than $201)
4.14,DISVX - Dfa International Small Cap Value Portfolio,Mutual FundsMutual Fund,Self,"$15,001 - $50,000",None,None (or less than $201)
4.15,"Raymond James Deposit Program(St. Petersburg, FL)Type: Money Market Account",Bank Deposit,Self,"$1,001 - $15,000",None,None (or less than $201)
4.16,DFLV - Dimensional US Large Cap Value ETF,Mutual FundsExchange Traded Fund/Note,Self,"$15,001 - $50,000",None,None (or less than $201)
4.17,GOOG - Alphabet Inc. - Class C Capital Stock,Corporate SecuritiesStock,Self,"$1,001 - $15,000",None,None (or less than $201)
4.18,CAIFX - Capital Income Builder - Class F-2,Mutual FundsMutual Fund,Self,"$1,001 - $15,000",None,None (or less than $201)
5,Raymond James RIRA,Retirement PlansIRA,Self,--,,
5.1,BRK.B - Berkshire Hathaway Cl B,Corporate SecuritiesStock,Self,"$1,001 - $15,000",None,None (or less than $201)
