1,Bernardo Moreno Revocable Trust Dated July 2008,TrustGeneral Trust,Self,--,,
1.1,"KeyBank National Association(Westlake, Ohio)Type: Checking, Savings",Bank Deposit,Self,"$1,000,001 - $5,000,000",Interest,"$15,001 - $50,000"
1.2,"M Realty Group, LLCCompany: M Realty Group, LLC (Westlake, OH) Description: Real Estate Holding Company",Business EntityLimited Liability Company (LLC),Self,--,,
1.2.1,"M6 Realty, LLCCompany: M6 Realty, LLC (Westlake, Ohio) Description: Real Estate Holding Company",Business EntityLimited Liability Company (LLC),Self,--,,
1.2.1.1,"Commercial Real Estate Description: Building & Land (Middleburg Heights, OH) Filer comment:  Valuation reflects the total value of the asset. Filer owns 50%.",Real EstateCommercial,Self,"$1,000,001 - $5,000,000",Rent/Royalties,"$100,001 - $1,000,000"
1.2.2,"M7 Realty, LLCCompany: M7 Realty, LLC (Westlake, Ohio) Description: Real Estate Holding Company",Business EntityLimited Liability Company (LLC),Self,--,,
1.2.2.1,"Commercial Real EstateDescription: Empty land (Hudson, Ohio) Filer comment:  Valuation reflects the total value of the asset.  Filer owns 50%.",Real EstateCommercial,Self,"$1,000,001 - $5,000,000",None,None (or less than $201)
1.2.3,"M20 Realty LLC Company: M20 Realty LLC (Sunbury, Ohio) Description: Real Estate Holding Company",Business EntityLimited Liability Company (LLC),Self,--,,
1.2.3.1,"Unimproved Land Description: Unimproved Land (Sunbury, Ohio) Filer comment:  Valuation reflects the total value of the asset. Filer owns 25%.",Real EstateUnimproved Land,Self,"$5,000,001 - $25,000,000",None,None (or less than $201)
1.3,Moreno Family Land Trust,TrustGeneral Trust,Self,--,,
1.3.1,"Residential Real Estate Description: Home in Ocean Reef, FL (Ocean Reef, Florida) Filer comment:  Valuation reflects the total value of the asset. Filer owns 43%.",Real EstateResidential,Self,"$5,000,001 - $25,000,000",Rent/Royalties,"$50,001 - $100,000"
1.4,"Treatment Technologies & Insights, LLCCompany: Treatment Technologies & Insights, LLC (Los Angeles, California) Description: Health Software Application Company",Business EntityLimited Liability Company (LLC),Self,"$250,001 - $500,000",None,None (or less than $201)
1.5,"Hyperbole Investments II, LLCCompany: Hyperbole Investments II, LLC (Cleveland, Ohio) Description: Technology Holding Company",Business EntityLimited Liability Company (LLC),Self,--,,
1.5.1,"iAngels Ingenuity Fund, LPCompany: iAngles Ingenuity Fund, LP (Tel Aviv, Israel) Description: Venture Capital Fund Focused in Technology",Business EntityLimited Partnership (LP),Self,"$500,001 - $1,000,000","None, Excepted Investment Fund",
1.5.2,"iAngels Technologies, LPCompany: iAngels Technologies, LP (Tel Aviv, Israel) Description: Venture Capital Fund Focused in Technology",Business EntityLimited Partnership (LP),Self,"$500,001 - $1,000,000","None, Excepted Investment Fund",
