1,The Thomas Jonathan Ossoff Qualified Blind Trust of 2021,TrustQualified Blind Trust,Self,"$1,000,001 - $5,000,000",Qualified Blind Trust,"$100,001 - $1,000,000"
2,Fidelity IRA,Retirement PlansIRA,Self,--,,
2.1,FDRXX - Fidelity Government Cash Reserves,Mutual FundsMutual Fund,Self,"$50,001 - $100,000",Excepted Investment Fund,None (or less than $201)
3,State of Israel,Foreign BondsForeign Bond,Self,"$1,001 - $15,000",None,None (or less than $201)
4,Edward Jones Roth IRA Select - Growth Focus,Retirement PlansIRA,Spouse,--,,
4.1,EUSB - iShares ESG Advanced Total USD Bond Market ETF,Mutual FundsExchange Traded Fund/Note,Spouse,"$1,001 - $15,000",Excepted Investment Fund,None (or less than $201)
4.2,ESGV - Vanguard ESG U.S. Stock ETF,Mutual FundsExchange Traded Fund/Note,Spouse,"$1,001 - $15,000",Excepted Investment Fund,None (or less than $201)
4.3,VSGX - Vanguard ESG International Stock ETF,Mutual FundsExchange Traded Fund/Note,Spouse,"$1,001 - $15,000",Excepted Investment Fund,None (or less than $201)
4.4,ARGFX - Ariel Fund Investor Cl,Mutual FundsMutual Fund,Spouse,"$1,001 - $15,000",Excepted Investment Fund,None (or less than $201)
4.5,ARTZX - Artisan Sustainable Emerging Markets Fund - Inve,Mutual FundsMutual Fund,Spouse,"$1,001 - $15,000",Excepted Investment Fund,None (or less than $201)
4.6,BAFWX - Brown Advisory Sustainable Growth Fd Inst Shs,Mutual FundsMutual Fund,Spouse,"$1,001 - $15,000",Excepted Investment Fund,None (or less than $201)
4.7,HGXIX - Hartford Global Impact Fund Class I,Mutual FundsMutual Fund,Spouse,"$1,001 - $15,000",Excepted Investment Fund,None (or less than $201)
4.8,JACDX - John Hancock Global Environmental Opportunities Fund - Class R6Filer comment:  Share class exchange with John Hancock ESG Int'l Equity Fund Class R-6 (JTQRX),Mutual FundsMutual Fund,Spouse,"$1,001 - $15,000",Excepted Investment Fund,None (or less than $201)
4.9,PRBLX - Parnassus Core Equity Fund-Investor Shares,Mutual FundsMutual Fund,Spouse,"$1,001 - $15,000",Excepted Investment Fund,None (or less than $201)
4.10,PTRSX - Pimco Total Return ESG Fund Class I3,Mutual FundsMutual Fund,Spouse,"$1,001 - $15,000",Excepted Investment Fund,None (or less than $201)
4.11,FGTXX - Goldman Sachs Financial Square Government Fund - Institutional Shares,Mutual FundsMutual Fund,Spouse,"$1,001 - $15,000",Excepted Investment Fund,None (or less than $201)
5,"Wells Fargo(Atlanta, GA)Type: Checking",Bank Deposit,Spouse,"$15,001 - $50,000",None,None (or less than $201)
6,Edward Jones Brokerage Account,Brokerage/Managed Account,Spouse,--,,
6.1,"Edward Jones(Mount Kisco, NY)Type: Brokerage Sweep Account",Bank Deposit,Spouse,"$1,001 - $15,000",None,None (or less than $201)
6.2,"U S Bank National Association Instl Certificate Deposit(San Diego, CA)Type: Certificate of DepositFiler comment:  Matured 10/09/25",Bank Deposit,Spouse,"None (or less than $1,001)",Interest,"$201 - $1,000"
6.3,United States Treasury NTSRate/Coupon: None  Matures: NoneFiler comment:  Matures 04/15/2026; 3.75%,Government SecuritiesUS Treasury/Agency Security,Spouse,"$1,001 - $15,000",Interest,"$201 - $1,000"
7,Fidelity Brokerage,Brokerage/Managed Account,Self,--,,
7.1,"Fidelity Cash(Jersey City, NJ)Type: Money Market Account",Bank Deposit,Self,"$15,001 - $50,000",Interest,"$201 - $1,000"
8,Emory Clinic Inc. - 403(b),"Retirement Plans401(k), 403(b), or other Defined Contribution Plan.",Spouse,--,,
8.1,VFFVX - Vanguard Target Retirement 2055 Fund,Mutual FundsMutual Fund,Spouse,"$50,001 - $100,000",Excepted Investment Fund,None (or less than $201)
9,Fidelity Brokerage,Brokerage/Managed Account,Self,--,,
9.1,SPAXX - Fidelity Government Money Market Fund,Mutual FundsMutual Fund,Self,"$15,001 - $50,000",Excepted Investment Fund,"$201 - $1,000"
