1,"Bank of America(Los Angeles, CA)Type: Checking, Savings",Bank Deposit,Joint,"$15,001 - $50,000",Interest,None (or less than $201)
2,Morgan Stanley IRA,Retirement PlansIRA,Self,--,,
2.1,IAU - iShares Gold Trust,Mutual FundsExchange Traded Fund/Note,Self,"None (or less than $1,001)",Capital Gains,"$201 - $1,000"
2.2,JFAMX - JPMorgan Emerging Markets Equity Fund Class A,Mutual FundsMutual Fund,Self,"None (or less than $1,001)",Capital Gains,"$201 - $1,000"
2.3,"Morgan Stanley BDP(Los Angeles, CA)Type: Savings",Bank Deposit,Self,"None (or less than $1,001)",Interest,None (or less than $201)
3,CalPERS,Retirement PlansDefined Benefit Pension Plan,Self,Unascertainable,None,None (or less than $201)
4,Nationwide Savings Plus 401(k),"Retirement Plans401(k), 403(b), or other Defined Contribution Plan.",Self,--,,
4.1,Target Date Fund 2035,Mutual FundsMutual Fund,Self,"None (or less than $1,001)","Capital Gains, Excepted Investment Fund","$5,001 - $15,000"
5,"U.S. Senate Federal Credit Union(Washington, DC)Type: Checking, Savings",Bank Deposit,Self,"None (or less than $1,001)",Interest,None (or less than $201)
6,"Los Angeles County, CADescription: Single Family Home (Porter Ranch, CA)",Real EstateResidential,Self,"$1,000,001 - $5,000,000",Rent/Royalties,"$15,001 - $50,000"
