1,South Dakota Retirement System,Retirement PlansDefined Benefit Pension Plan,Spouse,"$15,001 - $50,000",None,None (or less than $201)
2,Lutz Account 1,Brokerage/Managed Account,Joint,--,,
2.1,Boys Town Village Neb Revenue BondRate/Coupon: 3.0%  Matures: 09/01/2028,Government SecuritiesMunicipal Security,Joint,"$50,001 - $100,000",Interest,"$1,001 - $2,500"
2.2,Buffalo County Neb General Obligation BondRate/Coupon: 2.0%  Matures: 12/15/2027,Government SecuritiesMunicipal Security,Joint,"$50,001 - $100,000",Interest,"$1,001 - $2,500"
2.3,Cass County Neb General Obligation BondRate/Coupon: 2.5%  Matures: 12/15/2025Filer comment:  Matured,Government SecuritiesMunicipal Security,Joint,"None (or less than $1,001)",Interest,"$1,001 - $2,500"
2.4,DFCEX - Dfa  Emerging Markets Core Equity Portfolio,Mutual FundsMutual Fund,Joint,"$1,000,001 - $5,000,000",Excepted Investment Fund,"$15,001 - $50,000"
2.5,DFIEX - Dfa International Core Equity Portfolio,Mutual FundsMutual Fund,Joint,"$5,000,001 - $25,000,000",Excepted Investment Fund,"$100,001 - $1,000,000"
2.6,DFGFX - Dfa Two-Year Global Fixed Income Portfolio,Mutual FundsMutual Fund,Joint,"$500,001 - $1,000,000",Excepted Investment Fund,"$15,001 - $50,000"
2.7,DFAS - Dimensional U.S. Small Cap ETF,Mutual FundsExchange Traded Fund/Note,Joint,"$1,000,001 - $5,000,000",Excepted Investment Fund,"$5,001 - $15,000"
2.8,DFAT - Dimensional U.S. Targeted Value ETF,Mutual FundsExchange Traded Fund/Note,Joint,"$500,001 - $1,000,000",Excepted Investment Fund,"$5,001 - $15,000"
2.9,Douglas County Neb General Obligation BondRate/Coupon: 5.0%  Matures: 12/15/2025Filer comment:  Matured,Government SecuritiesMunicipal Security,Joint,"None (or less than $1,001)",Interest,"$2,501 - $5,000"
2.10,Douglas County Neb General Obligation BondRate/Coupon: 5.0%  Matures: 06/15/2026,Government SecuritiesMunicipal Security,Joint,"$50,001 - $100,000",Interest,"$1,001 - $2,500"
2.11,Fremont Neb General Obligation BondRate/Coupon: 1.25%  Matures: 12/15/2026,Government SecuritiesMunicipal Security,Joint,"$15,001 - $50,000",Interest,"$201 - $1,000"
2.12,Hall County Neb School Dist Revenue BondRate/Coupon: 5.0%  Matures: 12/15/2026,Government SecuritiesMunicipal Security,Joint,"$50,001 - $100,000",Interest,"$1,001 - $2,500"
2.13,IJJ - iShares S&P Mid-Cap 400 Value ETF,Mutual FundsExchange Traded Fund/Note,Joint,"$1,000,001 - $5,000,000",Excepted Investment Fund,"$15,001 - $50,000"
2.14,TIP - iShares TIPS Bond ETF,Mutual FundsExchange Traded Fund/Note,Joint,"$500,001 - $1,000,000",Excepted Investment Fund,"$15,001 - $50,000"
2.15,IGSB - iShares 1-5 Year Investment Grade Corporate Bond E,Mutual FundsExchange Traded Fund/Note,Joint,"$500,001 - $1,000,000",Excepted Investment Fund,"$15,001 - $50,000"
2.16,Kearney County Neb General Obligation BondRate/Coupon: 3.0%  Matures: 06/01/2028,Government SecuritiesMunicipal Security,Joint,"$50,001 - $100,000",Interest,"$1,001 - $2,500"
2.17,Keith County Neb Sch Dist General Obligation BondRate/Coupon: 2.4%  Matures: 12/15/2027,Government SecuritiesMunicipal Security,Joint,"$50,001 - $100,000",Interest,"$1,001 - $2,500"
2.18,LA Vista Neb General Obligation BondRate/Coupon: 3.0%  Matures: 12/15/2027,Government SecuritiesMunicipal Security,Joint,"$50,001 - $100,000",Interest,"$1,001 - $2,500"
2.19,Metropolitan Utils Dist Omaha Neb Revenue BondRate/Coupon: 3.2%  Matures: 12/01/2028,Government SecuritiesMunicipal Security,Joint,"$50,001 - $100,000",Interest,"$1,001 - $2,500"
2.20,Metropolitan Cmnty College Area Neb Revenue BondRate/Coupon: 3.0%  Matures: 03/01/2032,Government SecuritiesMunicipal Security,Joint,"$50,001 - $100,000",Interest,"$1,001 - $2,500"
2.21,Metropolitan Utils Dist Omaha Neb Revenue BondRate/Coupon: 3.0%  Matures: 12/01/2032,Government SecuritiesMunicipal Security,Joint,"$15,001 - $50,000",Interest,"$1,001 - $2,500"
2.22,Papillion Neb Sch Dist General Obligation BondRate/Coupon: 3.0%  Matures: 12/01/2026,Government SecuritiesMunicipal Security,Joint,"$100,001 - $250,000",Interest,"$2,501 - $5,000"
2.23,STPZ - PIMCO 1-5 Year U.S. TIPS Index Exchange-Traded Fun,Mutual FundsExchange Traded Fund/Note,Joint,"$250,001 - $500,000",Excepted Investment Fund,"$5,001 - $15,000"
2.24,Polk County Neb General Obligation BondRate/Coupon: 3.0%  Matures: 06/15/2027,Government SecuritiesMunicipal Security,Joint,"$50,001 - $100,000",Interest,"$1,001 - $2,500"
2.25,Sarpy County Neb Sch Dist General Obligation BondRate/Coupon: 5.0%  Matures: 06/15/2025Filer comment:  Matured,Government SecuritiesMunicipal Security,Joint,"None (or less than $1,001)",Interest,"$1,001 - $2,500"
2.26,Sarpy County Neb Sch Dist General Obligation BondRate/Coupon: 5.0%  Matures: 06/15/2028,Government SecuritiesMunicipal Security,Joint,"$100,001 - $250,000",Interest,"$2,501 - $5,000"
2.27,Saunders County Neb General Obligation BondRate/Coupon: 3.0%  Matures: 11/01/2027,Government SecuritiesMunicipal Security,Joint,"$100,001 - $250,000",Interest,"$2,501 - $5,000"
2.28,"Charles Schwab(New York, NY)Type: Brokerage Sweep Account",Bank Deposit,Joint,"$250,001 - $500,000",Interest,"$5,001 - $15,000"
2.29,Scotts Bluff County General Obligation BondRate/Coupon: 1.7%  Matures: 01/15/2026,Government SecuritiesMunicipal Security,Joint,"$50,001 - $100,000",Interest,"$201 - $1,000"
2.30,SPY - S&P 500 SPDR,Mutual FundsExchange Traded Fund/Note,Joint,"$1,000,001 - $5,000,000",Excepted Investment Fund,"$15,001 - $50,000"
2.31,SPYV - SPDR S&P 500 Value Portfolio ETF,Mutual FundsExchange Traded Fund/Note,Joint,"$1,000,001 - $5,000,000",Excepted Investment Fund,"$15,001 - $50,000"
2.32,SLYV - S&P Smallcap Value ETF SPDR,Mutual FundsExchange Traded Fund/Note,Joint,"$500,001 - $1,000,000",Excepted Investment Fund,"$5,001 - $15,000"
