1,IRA Contributory,Retirement PlansIRA,Spouse,--,,
1.1,XLE - Energy Select Sector SPDR ETF,Mutual FundsExchange Traded Fund/Note,Spouse,"$50,001 - $100,000",Excepted Investment Fund,None (or less than $201)
1.2,"EVRG - Evergy, Inc.",Corporate SecuritiesStock,Spouse,"$1,001 - $15,000",None,None (or less than $201)
1.3,FCNTX - Fidelity Contrafund,Mutual FundsMutual Fund,Spouse,"$250,001 - $500,000",Excepted Investment Fund,None (or less than $201)
1.4,FMIJX - FMI International,Mutual FundsMutual Fund,Spouse,"$100,001 - $250,000",Excepted Investment Fund,None (or less than $201)
1.5,GE - GE Aerospace Common StockFiler comment:  Formerly known as General Electric Company (GE),Corporate SecuritiesStock,Spouse,"$1,001 - $15,000",None,None (or less than $201)
1.6,HACAX - Harbor Capital Appreciation Instl,Mutual FundsMutual Fund,Spouse,"$250,001 - $500,000",Excepted Investment Fund,None (or less than $201)
1.7,ACSTX - Invesco Comstock A,Mutual FundsMutual Fund,Spouse,"$250,001 - $500,000",Excepted Investment Fund,None (or less than $201)
1.8,KXI - iShares Global Consumer Staples ETF,Mutual FundsExchange Traded Fund/Note,Spouse,"$50,001 - $100,000",Excepted Investment Fund,None (or less than $201)
1.9,IWD - iShares Russell 1000 Value ETF,Mutual FundsExchange Traded Fund/Note,Spouse,"$100,001 - $250,000",Excepted Investment Fund,None (or less than $201)
1.10,IAT - iShares US Regional Banks ETF,Mutual FundsExchange Traded Fund/Note,Spouse,"$50,001 - $100,000",Excepted Investment Fund,None (or less than $201)
1.11,JACTX - Janus Henderson Forty T,Mutual FundsMutual Fund,Spouse,"$500,001 - $1,000,000",Excepted Investment Fund,None (or less than $201)
1.12,"Schwab Bank(San Francisco, CA)Type: Brokerage Sweep Account, Money Market Account",Bank Deposit,Spouse,"$1,001 - $15,000",None,None (or less than $201)
1.13,QQQ - Invesco QQQ Trust,Mutual FundsExchange Traded Fund/Note,Spouse,"$250,001 - $500,000",Excepted Investment Fund,None (or less than $201)
1.14,"TJX - The TJX Companies, Inc.",Corporate SecuritiesStock,Spouse,"$50,001 - $100,000",None,None (or less than $201)
1.15,GDX - VanEck Vectors Gold Miners ETF,Mutual FundsExchange Traded Fund/Note,Spouse,"$50,001 - $100,000",Excepted Investment Fund,None (or less than $201)
1.16,VGSTX - Vanguard STAR Inv,Mutual FundsMutual Fund,Spouse,"$100,001 - $250,000",Excepted Investment Fund,None (or less than $201)
1.17,VWINX - Vanguard Wellesley Income Inv,Mutual FundsMutual Fund,Spouse,"$100,001 - $250,000",Excepted Investment Fund,None (or less than $201)
1.18,SNVXX - Schwab Government Money Fund - Investor Shares,Mutual FundsMutual Fund,Spouse,"$50,001 - $100,000",Excepted Investment Fund,None (or less than $201)
1.19,AVGO - Broadcom Inc. - Common Stock,Corporate SecuritiesStock,Spouse,"$1,001 - $15,000",None,None (or less than $201)
1.20,DELL - Dell Technologies Inc,Corporate SecuritiesStock,Spouse,"$1,001 - $15,000",None,None (or less than $201)
1.21,EVTMX - Eaton Vance Dividend Builder Fd Cl A,Mutual FundsMutual Fund,Spouse,"$50,001 - $100,000",Excepted Investment Fund,None (or less than $201)
1.22,FAGAX - Fidelity Advisor Series II,Mutual FundsMutual Fund,Spouse,"$100,001 - $250,000",Excepted Investment Fund,None (or less than $201)
1.23,VAFAX - Invesco American Franchise Fund Class A,Mutual FundsMutual Fund,Spouse,"$15,001 - $50,000",Excepted Investment Fund,None (or less than $201)
1.24,MSIGX - Invesco Main Street Fund Class A,Mutual FundsMutual Fund,Spouse,"$100,001 - $250,000",Excepted Investment Fund,None (or less than $201)
1.25,RSP - Invesco S&P 500 Equal Weight ETF,Mutual FundsExchange Traded Fund/Note,Spouse,"$1,001 - $15,000",Excepted Investment Fund,None (or less than $201)
1.26,GEV - GE Vernova Inc. Common Stock,Corporate SecuritiesStock,Spouse,"$1,001 - $15,000",None,None (or less than $201)
2,IRA Rollover #1,Retirement PlansIRA,Self,--,,
2.1,FHYTX - Federated Hermes Opportunistic High Yield Bond F,Mutual FundsMutual Fund,Self,"$15,001 - $50,000",Excepted Investment Fund,None (or less than $201)
2.2,GE - GE Aerospace Common StockFiler comment:  Formerly known as General Electric Company (GE),Corporate SecuritiesStock,Self,"$15,001 - $50,000",None,None (or less than $201)
2.3,GEHC - GE HealthCare Technologies Inc. - Common Stock,Corporate SecuritiesStock,Self,"$1,001 - $15,000",None,None (or less than $201)
2.4,SNSXX - Schwab U.S. Treasury Money Fund - Investor Shares,Mutual FundsMutual Fund,Self,"$1,001 - $15,000",Excepted Investment Fund,None (or less than $201)
2.5,GEV - GE Vernova Inc. Common Stock,Corporate SecuritiesStock,Self,"$15,001 - $50,000",None,None (or less than $201)
2.6,WAB - Westinghouse Air Brake Technologies Corporation Common Stock,Corporate SecuritiesStock,Self,"$1,001 - $15,000",None,None (or less than $201)
3,IRA Rollover #2,Retirement PlansIRA,Self,--,,
3.1,FEQIX - Fidelity Equity-Income,Mutual FundsMutual Fund,Self,"$100,001 - $250,000",Excepted Investment Fund,None (or less than $201)
3.2,FMAGX - Fidelity Magellan,Mutual FundsMutual Fund,Self,"$100,001 - $250,000",Excepted Investment Fund,None (or less than $201)
3.3,FPURX - Fidelity Puritan,Mutual FundsMutual Fund,Self,"$100,001 - $250,000",Excepted Investment Fund,None (or less than $201)
4,Self Employment IRA (SEP),Retirement PlansIRA,Self,--,,
4.1,MSIGX - Oppenheimer Main Street A,Mutual FundsMutual Fund,Self,"$15,001 - $50,000",Excepted Investment Fund,None (or less than $201)
4.2,"Wells Fargo(Portland, OR)Type: Brokerage Sweep Account",Bank Deposit,Self,"$1,001 - $15,000",None,None (or less than $201)
5,Larry and Jacklyn Rosen Family Trust,TrustGeneral Trust,Joint,--,,
5.1,Brokerage #1,Brokerage/Managed Account,Joint,--,,
5.1.1,BIGRX - DISCIPLINED CORE VALUE FUND - Investor ClassFiler comment:  Name change. Previously reported as American Century Income and Growth Inv (BIGRX),Mutual FundsMutual Fund,Joint,"$250,001 - $500,000",Excepted Investment Fund,"$15,001 - $50,000"
5.1.2,TWCUX - ULTRA FUND - Investor ClassFiler comment:  Name change. Previously reported as American Century Ultra Inv (TWCUX),Mutual FundsMutual Fund,Joint,"$500,001 - $1,000,000",Excepted Investment Fund,"$50,001 - $100,000"
5.2,Brokerage #2,Brokerage/Managed Account,Joint,--,,
5.2.1,VSGDX - Vanguard Short-Term Federal Adm,Mutual FundsMutual Fund,Joint,"$50,001 - $100,000",Excepted Investment Fund,"$2,501 - $5,000"
5.2.2,VWIAX - Vanguard Wellesley Income Admiral,Mutual FundsMutual Fund,Joint,"$1,000,001 - $5,000,000",Excepted Investment Fund,"$50,001 - $100,000"
5.3,Brokerage #3,Brokerage/Managed Account,Joint,--,,
5.3.1,T - AT&T Inc.,Corporate SecuritiesStock,Joint,"$1,001 - $15,000",Dividends,"$201 - $1,000"
5.3.2,BRK-B - Berkshire Hathaway Inc.,Corporate SecuritiesStock,Joint,"$100,001 - $250,000",None,None (or less than $201)
5.3.3,FHYTX - Federated Hermes Opportunistic High Yield Bond F,Mutual FundsMutual Fund,Joint,"$15,001 - $50,000",Excepted Investment Fund,"$1,001 - $2,500"
5.3.4,GE - GE Aerospace Common StockFiler comment:  Formerly known as General Electric Company (GE),Corporate SecuritiesStock,Joint,"$50,001 - $100,000",Dividends,"$201 - $1,000"
5.3.5,ACSTX - Invesco Comstock A,Mutual FundsMutual Fund,Joint,"$100,001 - $250,000",Excepted Investment Fund,"$5,001 - $15,000"
5.3.6,"Schwab Bank(San Francisco, CA)Type: Brokerage Sweep Account, Money Market Account",Bank Deposit,Joint,"$1,001 - $15,000",None,None (or less than $201)
5.3.7,HTO - H2O America  - Common StockFiler comment:  Name change - previously reported as SJW Group (SJW),Corporate SecuritiesStock,Joint,"$15,001 - $50,000",Dividends,"$201 - $1,000"
5.3.8,SCCO - Southern Copper Corporation,Corporate SecuritiesStock,Joint,"$50,001 - $100,000",Dividends,"$1,001 - $2,500"
5.3.9,UNP - Union Pacific Corporation,Corporate SecuritiesStock,Joint,"$50,001 - $100,000",Dividends,"$1,001 - $2,500"
5.3.10,XAR - SPDR S&P Aerospace & Defense ETF,Mutual FundsExchange Traded Fund/Note,Joint,"$50,001 - $100,000",Excepted Investment Fund,"$201 - $1,000"
5.3.11,IAT - iShares U.S. Regional Banks ETF,Mutual FundsExchange Traded Fund/Note,Joint,"$15,001 - $50,000",Excepted Investment Fund,"$201 - $1,000"
