1,Timothy P Sheehy Irrevocable Trust,TrustGeneral Trust,Self,--,,
1.1,"Turtle Lake Holding Company, LLCCompany: Turtle Lake Holding Company, LLC (Bozeman, MT) Description: Holding Company",Business EntityLimited Liability Company (LLC),Self,--,,
1.1.1,Morgan Stanley #1.1.1,Brokerage/Managed Account,Self,--,,
1.1.1.1,"Morgan Stanley(New York, NY)Type: Brokerage Sweep Account",Bank Deposit,Self,"$50,001 - $100,000",Interest,"$1,001 - $2,500"
1.1.1.2,RSP - Invesco S&P 500 Equal Weight ETF (DISPOSED),Mutual FundsExchange Traded Fund/Note,Self,"None (or less than $1,001)",Excepted Investment Fund,"$2,501 - $5,000"
1.1.1.3,CSHIX - Credit Suisse High Income Fund Common (DISPOSED),Mutual FundsMutual Fund,Self,"None (or less than $1,001)",Excepted Investment Fund,"$15,001 - $50,000"
1.1.1.4,ACTDX - INVESCO HIGH YIELD MUNICIPAL FUND - Class Y (DISPOSED),Mutual FundsMutual Fund,Self,"None (or less than $1,001)",Excepted Investment Fund,"$5,001 - $15,000"
1.1.1.5,MMHIX - NYLI MacKay High Yield Muni Bond Fund - Class I (DISPOSED),Mutual FundsMutual Fund,Self,"None (or less than $1,001)",Excepted Investment Fund,"$5,001 - $15,000"
1.1.1.6,MTBIX - NYLI MacKay Tax Free Bond Fund - Class I (DISPOSED),Mutual FundsMutual Fund,Self,"None (or less than $1,001)",Excepted Investment Fund,"$15,001 - $50,000"
1.1.1.7,PIMSX - Virtus Newfleet Multi-Sector Short Term Bond Fund - Class I (DISPOSED),Mutual FundsMutual Fund,Self,"None (or less than $1,001)",Excepted Investment Fund,"$15,001 - $50,000"
1.1.1.8,IEFA - iShares Core MSCI EAFE ETF,Mutual FundsExchange Traded Fund/Note,Self,"$1,000,001 - $5,000,000",Excepted Investment Fund,"$15,001 - $50,000"
1.1.1.9,IEMG - iShares Core MSCI Emerging Markets ETF,Mutual FundsExchange Traded Fund/Note,Self,"$500,001 - $1,000,000",Excepted Investment Fund,"$15,001 - $50,000"
1.1.1.10,IVV - iShares Core S&P 500 ETF,Mutual FundsExchange Traded Fund/Note,Self,"$500,001 - $1,000,000",Excepted Investment Fund,"$2,501 - $5,000"
1.1.1.11,IWF - iShares Russell 1000 Growth ETF,Mutual FundsExchange Traded Fund/Note,Self,"$1,000,001 - $5,000,000",Excepted Investment Fund,"$2,501 - $5,000"
1.1.1.12,IWD - iShares Russell 1000 Value ETF,Mutual FundsExchange Traded Fund/Note,Self,"$1,000,001 - $5,000,000",Excepted Investment Fund,"$15,001 - $50,000"
1.1.1.13,IWP - iShares Russell Mid-Cap Growth ETF,Mutual FundsExchange Traded Fund/Note,Self,"$250,001 - $500,000",Excepted Investment Fund,"$201 - $1,000"
1.1.1.14,IWS - iShares Russell Mid-Cap Value ETF,Mutual FundsExchange Traded Fund/Note,Self,"$100,001 - $250,000",Excepted Investment Fund,"$1,001 - $2,500"
1.1.1.15,BSV - Vanguard Short-Term Bond Index Fund - ETF Shares,Mutual FundsExchange Traded Fund/Note,Self,"$250,001 - $500,000",Excepted Investment Fund,"$5,001 - $15,000"
1.1.1.16,BND - Vanguard Total Bond Market Index Fund - ETF Shares,Mutual FundsExchange Traded Fund/Note,Self,"$1,000,001 - $5,000,000",Excepted Investment Fund,"$15,001 - $50,000"
1.1.1.17,MUAIX - Ultra Short Income Portfolio - Class A (DISPOSED)Filer comment:  Money Market Mutual Fund,Mutual FundsMutual Fund,Self,"None (or less than $1,001)",Excepted Investment Fund,"$201 - $1,000"
1.1.2,Morgan Stanley #1.1.2,Brokerage/Managed Account,Self,--,,
1.1.2.1,"Morgan Stanley(New York, NY)Type: Brokerage Sweep Account",Bank Deposit,Self,"None (or less than $1,001)",Interest,None (or less than $201)
1.1.3,Morgan Stanley #1.1.3,Brokerage/Managed Account,Self,--,,
1.1.3.1,"Morgan Stanley(New York, NY)Type: Brokerage Sweep Account",Bank Deposit,Self,"$1,001 - $15,000",Interest,None (or less than $201)
1.1.3.2,"FS NYDIG SELECT BITCOIN LPDescription: Investment Fund (New York, NY)",Investment FundHedge Fund,Self,"$250,001 - $500,000",None,None (or less than $201)
1.1.3.3,"ARES SPORTS, MEDIA AND ENTERTAINMENT FUNDDescription: Investment Fund (New York, NY)",Investment FundPrivate Equity Fund,Self,"$100,001 - $250,000",Excepted Investment Fund,"$15,001 - $50,000"
1.1.3.4,"ASHBRIDGE SECONDARIES IIDescription: Investment Fund (New York, NY)",Investment FundPrivate Equity Fund,Self,"$250,001 - $500,000",Excepted Investment Fund,"$1,001 - $2,500"
1.1.4,Morgan Stanley #1.1.4,Brokerage/Managed Account,Self,--,,
1.1.4.1,"Morgan Stanley(New York, NY)Type: Brokerage Sweep Account",Bank Deposit,Self,"None (or less than $1,001)",Interest,None (or less than $201)
1.1.5,Morgan Stanley #1.1.5,Brokerage/Managed Account,Self,--,,
1.1.5.1,"Morgan Stanley(New York, NY)Type: Money Market Account, Savings",Bank Deposit,Self,"None (or less than $1,001)",Interest,"$2,501 - $5,000"
1.1.6,Merrill Lynch #1.1.6,Brokerage/Managed Account,Self,--,,
1.1.6.1,"Merrill Lynch(Pennington, NJ)Type: Brokerage Sweep Account, Checking, Money Market Account, Savings",Bank Deposit,Self,"$1,001 - $15,000",Interest,"$201 - $1,000"
1.1.7,"Element Capital LLCCompany: Element Capital LLC (Bozeman, MT) Description: Holding Company Filer comment:  Reported values & income reflect filer's ownership interest in Element Capital LLC",Business EntityLimited Liability Company (LLC),Self,--,,
1.1.7.1,"Merrill Lynch #1.1.7.1(Pennington, NJ)Type: Brokerage Sweep Account",Bank Deposit,Self,"$50,001 - $100,000",Interest,"$1,001 - $2,500"
1.1.7.2,Morgan Stanley #1.1.7.2,Brokerage/Managed Account,Self,--,,
1.1.7.2.1,"Morgan Stanley(New York, NY)Type: Brokerage Sweep Account",Bank Deposit,Self,"$50,001 - $100,000",Interest,"$201 - $1,000"
1.1.7.2.2,MUAIX - Ultra Short Income Portfolio - Class AFiler comment:  Money Market Mutual Fund,Mutual FundsMutual Fund,Self,"$1,001 - $15,000",Excepted Investment Fund,"$201 - $1,000"
1.1.7.3,"Note Receivable - Little Belt Cattle Company LLCCompany: Little Belt Cattle Company LLC (Bozeman, MT)",Accounts ReceivableFrom a Business,Self,"$500,001 - $1,000,000",Interest,"$15,001 - $50,000"
1.1.7.4,"Interest in Blackstone Growth L.P.Description: Private Equity Fund (New York, NY)",Investment FundPrivate Equity Fund,Self,"$250,001 - $500,000",Excepted Investment Fund,"$2,501 - $5,000"
1.1.7.5,"Interest in Flint Hills Founders II, L.P.Description: Venture Capital Fund (Bozeman, MT)",Investment FundPrivate Equity Fund,Self,"$250,001 - $500,000",Excepted Investment Fund,"$2,501 - $5,000"
1.1.7.6,"Interest in Next Frontier Fund III, L.P.Description: Venture Capital Fund (Bozeman, MT)",Investment FundPrivate Equity Fund,Self,"$250,001 - $500,000",Excepted Investment Fund,"$201 - $1,000"
1.1.7.7,"Interest in Next Frontier Fund IV, L.P.Description: Venture Capital Fund (Bozeman, MT)",Investment FundPrivate Equity Fund,Self,"$100,001 - $250,000",Excepted Investment Fund,"$201 - $1,000"
1.1.7.8,"Interest in Max Ventures Fund II, L.P.Description: Venture Capital Fund (New York, NY)",Investment FundPrivate Equity Fund,Self,"$250,001 - $500,000",Excepted Investment Fund,"$15,001 - $50,000"
1.1.7.9,"Max Ventures New World Opportunities Fund, L.P.Company: Max Ventures New World Opportunities Fund, L.P. (New York, NY) Description: Venture capital fund Filer comment:  Reported values & income of underlying assets reflect filer's ownership %",Business EntityLimited Partnership (LP),Self,--,,
1.1.7.9.1,"Bozburun, Inc. (dba Toolio)Company: Bozburun, Inc. (dba Toolio) (New York, NY) Description: Contracted Services/Software Development",Corporate SecuritiesNon-Public Stock,Self,"$1,001 - $15,000",None,None (or less than $201)
1.1.7.9.2,"Equestrian Labs, Inc. (dba Corro)Company: Equestrian Labs, Inc. (dba Corro) (New York, NY) Description: Ecommerce",Corporate SecuritiesNon-Public Stock,Self,"$1,001 - $15,000",None,None (or less than $201)
1.1.7.9.3,"Heartbeat Health Inc.Company: Heartbeat Health Inc. (New York, NY) Description: Healthcare",Corporate SecuritiesNon-Public Stock,Self,"$50,001 - $100,000",None,None (or less than $201)
1.1.7.9.4,"K Health Inc.Company: K Health Inc. (New York, NY) Description: Healthcare",Corporate SecuritiesNon-Public Stock,Self,"$15,001 - $50,000",None,None (or less than $201)
1.1.7.9.5,"Mindspan Group Inc. Company: Mindspan Group Inc. (New York, NY) Description: Healthcare",Corporate SecuritiesNon-Public Stock,Self,"$1,001 - $15,000",None,None (or less than $201)
1.1.7.9.6,"Sana Labs ABCompany: Sana Labs AB (Stockholm, Sweden) Description: Education/Training",Corporate SecuritiesNon-Public Stock,Self,"None (or less than $1,001)",Capital Gains,"$50,001 - $100,000"
1.1.7.9.7,"Tertulia, Inc. Company: Tertulia, Inc. (New York, NY) Description: App - Book Store/Club",Corporate SecuritiesNon-Public Stock,Self,"$1,001 - $15,000",None,None (or less than $201)
1.1.7.9.8,"Trail Games ABCompany: Trail Games AB (Stockholm, Sweden) Description: Video Games",Corporate SecuritiesNon-Public Stock,Self,"$1,001 - $15,000",None,None (or less than $201)
1.1.7.9.9,"Vori Health Inc.Company: Vori Health Inc. (Nashville, TN) Description: Healthcare",Corporate SecuritiesNon-Public Stock,Self,"$1,001 - $15,000",None,None (or less than $201)
1.1.7.9.10,"Zandivio Plc.Company: Zandivio Plc. (Barcelona, Spain) Description: Healthcare",Corporate SecuritiesNon-Public Stock,Self,"$1,001 - $15,000",None,None (or less than $201)
1.1.7.10,"Bram Capital Fund LLC - Series ICompany: Bram Capital Fund LLC - Series I (Boston, MA) Description: Private equity fund Filer comment:  Reported values & income of underlying assets reflect filer's ownership %",Business EntityLimited Liability Company (LLC),Self,--,,
1.1.7.10.1,"Pison Technology, Inc.Company: Pison Technology, Inc. (Boston, MA) Description: Gesture Control Devices",Corporate SecuritiesNon-Public Stock,Self,"$250,001 - $500,000",None,None (or less than $201)
1.1.7.11,"Hinge Capital LD, L.P.Company: Hinge Capital LD, L.P. (Austin, TX) Description: Private equity fund Filer comment:  Reported values & income of underlying assets reflect filer's ownership %",Business EntityLimited Partnership (LP),Self,--,,
1.1.7.11.1,"Interest in Supplying Demand Inc.Company: Supplying Demand, Inc. (Santa Monica, CA) Description: Beverages",Corporate SecuritiesNon-Public Stock,Self,"$250,001 - $500,000",None,None (or less than $201)
1.1.8,"Ownership Interest in North Summit LLC (Underlying assets reported under filer's ownership)Company: North Summit LLC (Bozeman, MT) Description: Holding Company",Business EntityLimited Liability Company (LLC),Self,"None (or less than $1,001)","Rent/Royalties, Interest","$1,001 - $2,500"
1.1.9,"Yellowstone WFH Holdings LLCCompany: Yellowstone WFH Holdings LLC (Belgrade, MT) Description: Residential Apartment Complex",Business EntityLimited Liability Company (LLC),Self,--,,
1.1.9.1,"Multi-Family Residential Rental PropertyDescription: Residential Apartment Complex (Belgrade, MT)",Real EstateCommercial,Self,"$250,001 - $500,000",Rent/Royalties,"$15,001 - $50,000"
1.1.10,"Note Receivable - Bird Point LLCCompany: Bird Point LLC (Bozeman, MT)",Accounts ReceivableFrom a Business,Self,"$5,000,001 - $25,000,000",Interest,"$100,001 - $1,000,000"
1.1.11,"Note Receivable - Element Aviation Services LLCCompany: Element Aviation Services LLC (Bozeman, MT)",Accounts ReceivableFrom a Business,Self,"$5,000,001 - $25,000,000",Interest,"$100,001 - $1,000,000"
1.1.12,"Note Receivable - Element Holdings LLCCompany: Element Holdings LLC (Bozeman, MT)",Accounts ReceivableFrom a Business,Self,"$5,000,001 - $25,000,000",Interest,"$50,001 - $100,000"
1.1.13,"Note Receivable - Half Hitch Big Sky LLCCompany: Half Hitch Big Sky LLC (Bozeman, MT)",Accounts ReceivableFrom a Business,Self,"$1,000,001 - $5,000,000",Interest,"$50,001 - $100,000"
1.1.14,"Note Receivable - Little Belt Cattle Company LLCCompany: Little Belt Cattle Company LLC (Bozeman, MT)",Accounts ReceivableFrom a Business,Self,"$1,000,001 - $5,000,000",Interest,"$50,001 - $100,000"
1.1.15,Note Receivable - Tim SheehyDebtor: Tim Sheehy,Accounts ReceivableFrom an Individual,Self,"$1,000,001 - $5,000,000",Interest,"$15,001 - $50,000"
2,"Stockman Bank #2(Belgrade, MT)Type: Checking",Bank Deposit,Self,"$50,001 - $100,000",None,None (or less than $201)
3,Merrill Lynch #3,Brokerage/Managed Account,Joint,--,,
3.1,"Merrill Lynch(Pennington, NJ)Type: Brokerage Sweep Account, Checking, Money Market Account, Savings",Bank Deposit,Joint,"$50,001 - $100,000",Interest,None (or less than $201)
4,Morgan Stanley #4,Brokerage/Managed Account,Self,--,,
4.1,"Morgan Stanley(New York, NY)Type: Brokerage Sweep Account, Checking, Money Market Account, Savings",Bank Deposit,Self,"$15,001 - $50,000",Interest,"$15,001 - $50,000"
4.2,IEFA - iShares Core MSCI EAFE ETF (DISPOSED),Mutual FundsExchange Traded Fund/Note,Self,"None (or less than $1,001)",Excepted Investment Fund,"$201 - $1,000"
