1,MALOX - BlackRock Global Allocation Instl (NASDAQ),Mutual FundsMutual Fund,Joint,"$50,001 - $100,000","Dividends, Capital Gains, Excepted Investment Fund","$2,501 - $5,000"
2,NARAX - Virtus Multi-Sector S/T Bd A (NASDAQ),Mutual FundsMutual Fund,Joint,"$100,001 - $250,000","Dividends, Capital Gains, Excepted Investment Fund","$5,001 - $15,000"
3,MANLX - BlackRock National Municipal Instl (NASDAQ),Mutual FundsMutual Fund,Joint,"$50,001 - $100,000","Dividends, Capital Gains, Excepted Investment Fund","$2,501 - $5,000"
4,AFTFX - American Funds TaxExempt Bond F1 (NASDAQ),Mutual FundsMutual Fund,Joint,"$100,001 - $250,000","Dividends, Capital Gains, Excepted Investment Fund","$5,001 - $15,000"
5,IRA,Retirement PlansIRA,Self,--,,
5.1,FGTXX Goldman Sachs FS Government Fund,Mutual FundsMutual Fund,Self,"None (or less than $1,001)",Excepted Investment Fund,None (or less than $201)
5.2,FXAIX - Fidelity 500 Index Fund,Mutual FundsMutual Fund,Self,"$1,001 - $15,000",Excepted Investment Fund,None (or less than $201)
5.3,MASKX - Ishares Russell 2000 Small-Cap Index Fund - Inst,Mutual FundsMutual Fund,Self,"$1,001 - $15,000",Excepted Investment Fund,None (or less than $201)
5.4,FSGGX - Fidelity Global Ex U.S. Index Fund,Mutual FundsMutual Fund,Self,"$1,001 - $15,000",Excepted Investment Fund,None (or less than $201)
5.5,VBTLX - Vanguard Total Bond Market Index Fund Admiral Sh,Mutual FundsMutual Fund,Self,"$1,001 - $15,000",Excepted Investment Fund,None (or less than $201)
6,IRA,Retirement PlansIRA,Spouse,--,,
6.1,FGTXX GS FS Government Fund,Mutual FundsMutual Fund,Spouse,"None (or less than $1,001)",Excepted Investment Fund,None (or less than $201)
6.2,FXAIX - Fidelity 500 Index Fund,Mutual FundsMutual Fund,Spouse,"$1,001 - $15,000",Excepted Investment Fund,None (or less than $201)
6.3,MASKX - Ishares Russell 2000 Small-Cap Index Fund - Inst,Mutual FundsMutual Fund,Spouse,"$1,001 - $15,000",Excepted Investment Fund,None (or less than $201)
6.4,FSGGX - Fidelity Global Ex U.S. Index Fund,Mutual FundsMutual Fund,Spouse,"$1,001 - $15,000",Excepted Investment Fund,None (or less than $201)
6.5,VBTLX - Vanguard Total Bond Market Index Fund Admiral Sh,Mutual FundsMutual Fund,Spouse,"None (or less than $1,001)",Excepted Investment Fund,None (or less than $201)
7,Uniform Transfer to Minors Act College Fund,UGMA/UTMA,Child,--,,
7.1,HNACX - Harbor Capital Appreciation Fund Retirement Class,Mutual FundsMutual Fund,Child,"$50,001 - $100,000",Excepted Investment Fund,None (or less than $201)
7.2,HNVRX - Harbor Small Cap Value Fund Retirement Class,Mutual FundsMutual Fund,Child,"$1,001 - $15,000",Excepted Investment Fund,None (or less than $201)
7.3,VPMAX - Vanguard PRIMECAP Adm (NASDAQ),Mutual FundsMutual Fund,Child,"$15,001 - $50,000","Dividends, Capital Gains, Excepted Investment Fund","$201 - $1,000"
7.4,WCMIX - WCM Focused International Growth Fund Institutiona,Mutual FundsMutual Fund,Child,"$1,001 - $15,000",Excepted Investment Fund,None (or less than $201)
7.5,FTXXX - GS Investor Tax-Exempt Money Market Fund,Mutual FundsStable Value Fund,Child,"$1,001 - $15,000","Interest, Excepted Investment Fund",None (or less than $201)
