1,Joint Schwab Account,Brokerage/Managed Account,Joint,--,,
1.1,FKITX - Franklin Federal Intermediate-Term Tax-Free Inco,Mutual FundsMutual Fund,Joint,"None (or less than $1,001)",Dividends,None (or less than $201)
1.2,CHSCP - CHS Inc,Corporate SecuritiesStock,Joint,"$1,001 - $15,000",Dividends,"$201 - $1,000"
1.3,TRAIX - T. Rowe Price Capital Appreciation Fund - I Clas,Mutual FundsMutual Fund,Joint,"$50,001 - $100,000","Dividends, Capital Gains","$5,001 - $15,000"
1.4,SWVXX - Schwab Value Advantage Money Fund,Mutual FundsMutual Fund,Joint,"$15,001 - $50,000","Dividends, Capital Gains","$1,001 - $2,500"
1.5,STIP - iShares 0-5 Year TIPS Bond ETF,Mutual FundsExchange Traded Fund/Note,Joint,"$1,001 - $15,000",Dividends,"$201 - $1,000"
1.6,"Schwab(Reno, NV)Type: Money Market Account",Bank Deposit,Joint,"$1,001 - $15,000",Interest,None (or less than $201)
1.7,VTV - Vanguard Value ETF,Mutual FundsExchange Traded Fund/Note,Joint,"$50,001 - $100,000",Dividends,"$1,001 - $2,500"
1.8,FDUIX - First Eagle Short Duration High Yield Municipal Fund - Class I,Mutual FundsMutual Fund,Joint,"None (or less than $1,001)",Dividends,"$1,001 - $2,500"
1.9,JBALX - Janus Henderson Balanced Fund - Class IFiler comment:  Share class changed from T to I in Calendar Year 2025.  Asset previously known as JABAX.,Mutual FundsMutual Fund,Joint,"$50,001 - $100,000","Dividends, Capital Gains","$5,001 - $15,000"
2,Personal Schwab IRA Account,Brokerage/Managed Account,Self,--,,
2.1,ICPAX - Williston Basin/Mid-North America Stock Fund ClaFiler comment:  This holding has previously been listed as ICPSZ.,Mutual FundsMutual Fund,Self,"None (or less than $1,001)","Dividends, Capital Gains","$1,001 - $2,500"
2.2,PHYS - Sprott Physical Gold Trust ETV,Mutual FundsExchange Traded Fund/Note,Self,"$1,001 - $15,000",None,None (or less than $201)
2.3,SCHB - Schwab U.S. Broad Market ETF,Mutual FundsMutual Fund,Self,"$15,001 - $50,000",Dividends,"$201 - $1,000"
2.4,TRAIX - T. Rowe Price Capital Appreciation Fund - I Clas,Mutual FundsMutual Fund,Self,"$15,001 - $50,000","Dividends, Capital Gains","$1,001 - $2,500"
2.5,SWVXX - Schwab Value Advantage Money Fund,Mutual FundsMutual Fund,Self,"$15,001 - $50,000","Dividends, Capital Gains","$1,001 - $2,500"
2.6,"Schwab(Reno, NV)Type: Money Market Account",Bank Deposit,Self,"$1,001 - $15,000",Interest,None (or less than $201)
2.7,SGIIX - First Eagle Global Fund Class I,Mutual FundsMutual Fund,Self,"$15,001 - $50,000","Dividends, Capital Gains","$1,001 - $2,500"
2.8,FEGIX - First Eagle Gold Fund Class I,Mutual FundsMutual Fund,Self,"$1,001 - $15,000",Dividends,None (or less than $201)
2.9,XLE - The Energy Select Sector SPDR Fund,Mutual FundsExchange Traded Fund/Note,Self,"$1,001 - $15,000",Dividends,None (or less than $201)
2.10,FTHSX - FullerThaler Behavioral Small-Cap Equity Fund - Institutional Shares,Mutual FundsMutual Fund,Self,"$1,001 - $15,000",Dividends,None (or less than $201)
3,Spouse Schwab Roth IRA Account,Brokerage/Managed Account,Spouse,--,,
3.1,TRAIX - T. Rowe Price Capital Appreciation Fund - I Clas,Mutual FundsMutual Fund,Spouse,"$15,001 - $50,000","Dividends, Capital Gains","$2,501 - $5,000"
3.2,SWVXX - Schwab Value Advantage Money Fund,Mutual FundsMutual Fund,Spouse,"None (or less than $1,001)",Dividends,None (or less than $201)
3.3,DODBX - Dodge & Cox Balanced Fund,Mutual FundsMutual Fund,Spouse,"$15,001 - $50,000","Dividends, Capital Gains","$1,001 - $2,500"
3.4,XLE - SPDR Select Sector Fund - Energy Select Sector,Mutual FundsExchange Traded Fund/Note,Spouse,"$1,001 - $15,000",Dividends,None (or less than $201)
3.5,"Schwab(Reno, NV)Type: Money Market Account",Bank Deposit,Spouse,"$1,001 - $15,000",Interest,None (or less than $201)
3.6,FEGIX - First Eagle Gold Fund Class I,Mutual FundsMutual Fund,Spouse,"$1,001 - $15,000",Dividends,None (or less than $201)
3.7,MYFRX - Victory Pioneer Multi-Asset Ultrashort Income Fund - Class Y,Mutual FundsMutual Fund,Spouse,"$15,001 - $50,000",Dividends,"$201 - $1,000"
3.8,FTHSX - FullerThaler Behavioral Small-Cap Equity Fund - Institutional Shares,Mutual FundsMutual Fund,Spouse,"$1,001 - $15,000",Dividends,None (or less than $201)
4,College Access 529Institution: Allianz Global Investors,Education Savings Plans529 College Savings Plan,Self,--,,
4.1,PIMCO ALL Asset CL SD A CUSIP 83754S342,Mutual FundsMutual Fund,Self,"None (or less than $1,001)",None,None (or less than $201)
4.2,Age Based 0-9 Years SD-A (CUSIP 83754Q619)Filer comment:  Fund relabeled in Calendar Year 2025.  Previously known as Age Based 0-6 Years.,Mutual FundsMutual Fund,Self,"$15,001 - $50,000",None,None (or less than $201)
4.3,Virtus Blended All Asset 529 Class SD-A (CUSIP 83755W722),Mutual FundsMutual Fund,Self,"$1,001 - $15,000",None,None (or less than $201)
5,College Access 529Institution: Allianz Global Investors,Education Savings Plans529 College Savings Plan,Self,--,,
5.1,Age Based 0-9 Years SD-A (CUSIP 83754Q619)Filer comment:  Fund relabeled in Calendar Year 2025.  Previously known as Age Based 0-6 Years.,Mutual FundsMutual Fund,Self,"$15,001 - $50,000",None,None (or less than $201)
5.2,PIMCO ALL Asset CL SD A CUSIP 83754S342,Mutual FundsMutual Fund,Self,"None (or less than $1,001)",None,None (or less than $201)
5.3,Virtus Blended All Asset 529 Class SD-A (CUSIP 83755W722),Mutual FundsMutual Fund,Self,"$1,001 - $15,000",None,None (or less than $201)
6,"SD Retirement System PlanFiler comment:  No present cash value.  Retirement benefit estimated at $974.50 per month as of January 1, 2026.",Retirement PlansDefined Benefit Pension Plan,Self,Unascertainable,None,None (or less than $201)
7,"Wells Fargo(Sioux Falls, SD)Type: Checking",Bank Deposit,Joint,"$1,001 - $15,000",Interest,None (or less than $201)
8,"Congressional Federal Credit Union(Washington, DC)Type: Savings",Bank Deposit,Self,"$15,001 - $50,000",Interest,None (or less than $201)
