1,"Hancock Whitney Bank(Santa Rosa Beach, FL)Type: Checking",Bank Deposit,Joint,"$1,001 - $15,000",Interest,None (or less than $201)
2,Prudential Variable AnnuityProvider: Prudential,AnnuityVariable Annuity,Self,--,,
2.1,AST Preservation Asset Allocation Portfolio,Mutual FundsMutual Fund,Self,"$1,001 - $15,000",None,None (or less than $201)
2.2,AST Prudential Growth Allocation,Mutual FundsMutual Fund,Self,"None (or less than $1,001)",None,None (or less than $201)
2.3,AST Balanced Asset Allocation,Mutual FundsMutual Fund,Self,"$15,001 - $50,000",None,None (or less than $201)
2.4,AST J.P. Morgan Moderate Multi-Asset,Mutual FundsMutual Fund,Self,"$1,001 - $15,000",None,None (or less than $201)
2.5,AST PGIM Agressive Multi-Asset Port,Mutual FundsMutual Fund,Self,"$1,001 - $15,000",None,None (or less than $201)
3,Osaic IRA (formerly Lincoln IRA),Retirement PlansIRA,Self,--,,
3.1,"Fidelity (FDRXX)(Boston, MA)Type: Brokerage Sweep Account",Bank Deposit,Self,"$250,001 - $500,000",None,None (or less than $201)
3.2,GOOGL - Alphabet Inc.,Corporate SecuritiesStock,Self,"$100,001 - $250,000",None,None (or less than $201)
3.3,AAPL - Apple Inc.,Corporate SecuritiesStock,Self,"$250,001 - $500,000",None,None (or less than $201)
3.4,C - Citigroup Inc.,Corporate SecuritiesStock,Self,"$50,001 - $100,000",None,None (or less than $201)
3.5,NUE - Nucor Corporation,Corporate SecuritiesStock,Self,"$50,001 - $100,000",None,None (or less than $201)
3.6,PFE - Pfizer Inc.,Corporate SecuritiesStock,Self,"$15,001 - $50,000",None,None (or less than $201)
3.7,PM - Philip Morris International Inc.,Corporate SecuritiesStock,Self,"$15,001 - $50,000",None,None (or less than $201)
3.8,"UAA - Under Armour, Inc.",Corporate SecuritiesStock,Self,"$1,001 - $15,000",None,None (or less than $201)
3.9,VZ - Verizon Communications Inc.,Corporate SecuritiesStock,Self,"$15,001 - $50,000",None,None (or less than $201)
3.10,WMT - Walmart Inc.,Corporate SecuritiesStock,Self,"$100,001 - $250,000",None,None (or less than $201)
3.11,FSPSX - Fidelity International Index Fund,Mutual FundsMutual Fund,Self,"$50,001 - $100,000",None,None (or less than $201)
3.12,FSMDX - Fidelity Mid Cap Index Fund,Mutual FundsMutual Fund,Self,"$50,001 - $100,000",None,None (or less than $201)
3.13,SGIIX - First Eagle Global Fund Class I,Mutual FundsMutual Fund,Self,"$50,001 - $100,000",None,None (or less than $201)
3.14,TDIV - First Trust NASDAQ Technology Dividend Index Fund,Mutual FundsExchange Traded Fund/Note,Self,"$50,001 - $100,000",None,None (or less than $201)
