1,Morgan Stanley SEP IRA,Retirement PlansIRA,Spouse,--,,
1.1,JCAPX - Janus Forty I (NASDAQ),Mutual FundsMutual Fund,Spouse,"$100,001 - $250,000",Excepted Investment Fund,None (or less than $201)
1.2,JBALX - Janus Balanced I (NASDAQ),Mutual FundsMutual Fund,Spouse,"$15,001 - $50,000",Excepted Investment Fund,None (or less than $201)
1.3,XLF - Financial Select Sector SPDR ETF (NYSEArca),Mutual FundsExchange Traded Fund/Note,Spouse,"$15,001 - $50,000",Excepted Investment Fund,None (or less than $201)
1.4,GOOGL - Alphabet Inc.,Corporate SecuritiesStock,Spouse,"$100,001 - $250,000",None,None (or less than $201)
1.5,"TJX - The TJX Companies, Inc.",Corporate SecuritiesStock,Spouse,"$15,001 - $50,000",None,None (or less than $201)
1.6,XLV - Health Care Select Sector SPDR ETF (NYSEArca),Mutual FundsExchange Traded Fund/Note,Spouse,"$15,001 - $50,000",Excepted Investment Fund,None (or less than $201)
1.7,SAPYX - ClearBridge Appreciation I (NASDAQ),Mutual FundsMutual Fund,Spouse,"$15,001 - $50,000",Excepted Investment Fund,None (or less than $201)
1.8,AMGN - Amgen Inc.,Corporate SecuritiesStock,Spouse,"$15,001 - $50,000",None,None (or less than $201)
1.9,"NFLX - Netflix, Inc.",Corporate SecuritiesStock,Spouse,"$100,001 - $250,000",None,None (or less than $201)
1.10,"MORGAN STANLEY(NEWPORT, RI)Type: Brokerage Sweep Account",Bank Deposit,Spouse,"$15,001 - $50,000",None,None (or less than $201)
1.11,"AMZN-Amazon.com, Inc.",Corporate SecuritiesStock,Spouse,"$100,001 - $250,000",None,None (or less than $201)
1.12,"GS-The Goldman Sachs Group, Inc.",Corporate SecuritiesStock,Spouse,"$15,001 - $50,000",None,None (or less than $201)
1.13,JPM-JPMorgan Chase & Co.,Corporate SecuritiesStock,Spouse,"$50,001 - $100,000",None,None (or less than $201)
1.14,VETAX-Victory Sycamore Established Value A,Mutual FundsMutual Fund,Spouse,"$15,001 - $50,000",Excepted Investment Fund,None (or less than $201)
1.15,IEMG - iShares Core MSCI Emerging Markets ETF,Mutual FundsExchange Traded Fund/Note,Spouse,"$15,001 - $50,000",Excepted Investment Fund,None (or less than $201)
1.16,NVDA - NVIDIA Corporation - Common Stock,Corporate SecuritiesStock,Spouse,"$500,001 - $1,000,000",None,None (or less than $201)
1.17,AMBFX-American Funds American Balanced F2,Mutual FundsMutual Fund,Spouse,"$15,001 - $50,000",Excepted Investment Fund,None (or less than $201)
1.18,WMT - Walmart Inc.,Corporate SecuritiesStock,Spouse,"$15,001 - $50,000",None,None (or less than $201)
1.19,"DAL - Delta Air Lines, Inc.",Corporate SecuritiesStock,Spouse,"$1,001 - $15,000",None,None (or less than $201)
1.20,LRCX - Lam Research Corporation,Corporate SecuritiesStock,Spouse,"$100,001 - $250,000",None,None (or less than $201)
1.21,IAU - iShares Gold Trust,Mutual FundsExchange Traded Fund/Note,Spouse,"$15,001 - $50,000",Excepted Investment Fund,None (or less than $201)
1.22,IHI - iShares U.S. Medical Devices ETF,Mutual FundsExchange Traded Fund/Note,Spouse,"$15,001 - $50,000",Excepted Investment Fund,None (or less than $201)
1.23,AMEFX - American Funds The Income Fund of America Class F-,Mutual FundsMutual Fund,Spouse,"$15,001 - $50,000",Excepted Investment Fund,None (or less than $201)
1.24,NFFFX - American Funds New World Fund Class F-2,Mutual FundsMutual Fund,Spouse,"$1,001 - $15,000",Excepted Investment Fund,None (or less than $201)
1.25,LMGNX - ClearBridge International Growth Fund Class I,Mutual FundsMutual Fund,Spouse,"$15,001 - $50,000",Excepted Investment Fund,None (or less than $201)
1.26,"CSDIX - Cohen & Steers Real Estate Securities Fund, Inc. C",Mutual FundsMutual Fund,Spouse,"$1,001 - $15,000",Excepted Investment Fund,None (or less than $201)
1.27,JMGRX - Janus Henderson Enterprise Fund Class I,Mutual FundsMutual Fund,Spouse,"$15,001 - $50,000",Excepted Investment Fund,None (or less than $201)
1.28,NWKDX - Nationwide Geneva Small Cap Growth Fund Institutio,Mutual FundsMutual Fund,Spouse,"None (or less than $1,001)",Excepted Investment Fund,None (or less than $201)
1.29,PGR - The Progressive Corporation,Corporate SecuritiesStock,Spouse,"None (or less than $1,001)",None,None (or less than $201)
1.30,AMRFX - American Mutual Fund Class F-2 Shares,Mutual FundsMutual Fund,Spouse,"$15,001 - $50,000",Excepted Investment Fund,None (or less than $201)
1.31,GSFTX - Columbia Dividend Income Fund Class I,Mutual FundsMutual Fund,Spouse,"$15,001 - $50,000",Excepted Investment Fund,None (or less than $201)
1.32,VGT - Vanguard Information Tech ETF,Mutual FundsExchange Traded Fund/Note,Spouse,"$50,001 - $100,000",Excepted Investment Fund,None (or less than $201)
1.33,CIBR - First Trust Nasdaq Cybersecurity ETF,Mutual FundsExchange Traded Fund/Note,Spouse,"$15,001 - $50,000",Excepted Investment Fund,None (or less than $201)
1.34,PAVE - Global X U.S. Infrastructure Development ETF,Mutual FundsExchange Traded Fund/Note,Spouse,"$15,001 - $50,000",Excepted Investment Fund,None (or less than $201)
1.35,VBR - Vanguard Small-Cap Value ETF,Mutual FundsExchange Traded Fund/Note,Spouse,"$15,001 - $50,000",Excepted Investment Fund,None (or less than $201)
1.36,DGRW - WisdomTree U.S. Quality Dividend Growth Fund,Mutual FundsExchange Traded Fund/Note,Spouse,"$15,001 - $50,000",Excepted Investment Fund,None (or less than $201)
1.37,"QQQ - Invesco QQQ Trust, Series 1",Mutual FundsExchange Traded Fund/Note,Spouse,"$15,001 - $50,000",Excepted Investment Fund,None (or less than $201)
1.38,NZAC - SPDR MSCI ACWI Climate Paris Aligned ETF,Mutual FundsExchange Traded Fund/Note,Spouse,"$15,001 - $50,000",Excepted Investment Fund,None (or less than $201)
1.39,SMH - VanEck Semiconductor ETF,Mutual FundsExchange Traded Fund/Note,Spouse,"$15,001 - $50,000",Excepted Investment Fund,None (or less than $201)
1.40,VIG - Vanguard Div Appreciation ETF,Mutual FundsExchange Traded Fund/Note,Spouse,"$1,001 - $15,000",Excepted Investment Fund,None (or less than $201)
1.41,VBK - Vanguard Small-Cap Growth ETF,Mutual FundsExchange Traded Fund/Note,Spouse,"$15,001 - $50,000",Excepted Investment Fund,None (or less than $201)
1.42,LLY - Eli Lilly and Company,Corporate SecuritiesStock,Spouse,"$15,001 - $50,000",None,None (or less than $201)
1.43,IUGXX - Invesco Premier US Government Money Portfolio IN,Mutual FundsMutual Fund,Spouse,"$100,001 - $250,000",Excepted Investment Fund,None (or less than $201)
1.44,HFQIX - Janus Henderson Global Equity Income Fund - I Sh,Mutual FundsMutual Fund,Spouse,"$15,001 - $50,000",Excepted Investment Fund,None (or less than $201)
