1,"US Senate FCU(Washington, DC)Type: Money Market Account, Savings",Bank Deposit,Self,"$50,001 - $100,000",None,None (or less than $201)
2,"US Savings Bond Series IDescription: US Savings Bond (Washington, DC)",Other,Self,"$100,001 - $250,000",None,None (or less than $201)
3,"US Senate FCU(Washington, DC)Type: Checking",Bank Deposit,Self,"$50,001 - $100,000",None,None (or less than $201)
4,Rights to the literary works of Peter WydenDescription: Rights to the literary works of Peter Wyden,Intellectual PropertyCopyrights,Self,Unascertainable,None,None (or less than $201)
5,"TIAA/CREF(Washington, DC)Type: IRA Cash AccountsFiler comment:  inherited IRA",Bank Deposit,Self,"$15,001 - $50,000",None,None (or less than $201)
6,Oregon College Savings Plan - DC #2Institution: Oregon,Education Savings Plans529 College Savings Plan,Child,--,,
6.1,International Equity Index,Mutual FundsMutual Fund,Child,"$50,001 - $100,000",Excepted Investment Fund,None (or less than $201)
6.2,U.S. Equity Index,Mutual FundsMutual Fund,Child,"$250,001 - $500,000",Excepted Investment Fund,None (or less than $201)
7,Oregon College Savings Plan - DC #3Institution: Oregon,Education Savings Plans529 College Savings Plan,Child,--,,
7.1,International Equity Index,Mutual FundsMutual Fund,Child,"$50,001 - $100,000",Excepted Investment Fund,None (or less than $201)
7.2,U.S. Equity Index,Mutual FundsMutual Fund,Child,"$250,001 - $500,000",Excepted Investment Fund,None (or less than $201)
8,"Strand Book Store Inc.  (S-Corp)Description: Book Store (New York, NY)",Other,Spouse,"Over $1,000,000 and held independently by spouse or dependent child",None,None (or less than $201)
9,"Bass Book Trading, Inc  (S-corp)Description: Book Trading (New York, NY)",Other,Spouse,"Over $1,000,000 and held independently by spouse or dependent child","Dividends, Rent/Royalties","$100,001 - $1,000,000"
10,"Coolidge Oakleigh LLCCompany: Coolidge Oakleigh LLC (Baton Rouge, LA) Description: Holding company",Business EntityLimited Liability Company (LLC),Spouse,--,,
10.1,"Investment in Residential PropertyDescription: Residential Property (Baton Rouge, LA) Filer comment:  Garden apartment rental",Real EstateResidential,Spouse,"$15,001 - $50,000",None,None (or less than $201)
11,"Coolidge 5101 Sheridan LLCCompany: Coolidge 5101 Sheridan LLC (Chicago, IL) Description: Holding company",Business EntityLimited Liability Company (LLC),Spouse,--,,
11.1,"Investment in Residential PropertiesDescription: Residential Properties (Chicago, IL) Filer comment:  Investment includes multiple units in the same building",Real EstateResidential,Spouse,"$50,001 - $100,000",None,None (or less than $201)
12,"Coolidge Des Plaines LLCCompany: Coolidge Des Plaines LLC (Des Plaines, IL) Description: Holding company",Business EntityLimited Liability Company (LLC),Spouse,--,,
12.1,"Investment in Residential PropertiesDescription: Residential Properties (Des Plaines, IL) Filer comment:  Investment includes multiple units in the same building",Real EstateResidential,Spouse,"$100,001 - $250,000",None,None (or less than $201)
13,"Strand at Columbus Ave LLCCompany: Strand at Columbus Ave LLC (New York, NY) Description: Book Store",Business EntityLimited Liability Company (LLC),Spouse,"Over $1,000,000 and held independently by spouse or dependent child","Dividends, Rent/Royalties, Interest","$100,001 - $1,000,000"
14,Fidelity Brokerage Account,Brokerage/Managed Account,Spouse,--,,
14.1,SPAXX - Fidelity Hereford Street Trust - Fidelity Governme,Mutual FundsMutual Fund,Spouse,"$15,001 - $50,000",Excepted Investment Fund,"$2,501 - $5,000"
14.2,FDIVX - Fidelity Diversified International Fund,Mutual FundsMutual Fund,Spouse,"$100,001 - $250,000",Excepted Investment Fund,"$15,001 - $50,000"
14.3,QQQ - Invesco QQQ Trust,Mutual FundsExchange Traded Fund/Note,Spouse,"Over $1,000,000 and held independently by spouse or dependent child",Excepted Investment Fund,"$5,001 - $15,000"
14.4,IJK - iShares S&P Mid-Cap 400 Growth ETF,Mutual FundsExchange Traded Fund/Note,Spouse,"$50,001 - $100,000",Excepted Investment Fund,"$201 - $1,000"
14.5,STX - Seagate Technology plc,Corporate SecuritiesStock,Spouse,"$250,001 - $500,000",Dividends,"$5,001 - $15,000"
14.6,GOOG - Alphabet Inc.,Corporate SecuritiesStock,Spouse,"Over $1,000,000 and held independently by spouse or dependent child",Dividends,"$2,501 - $5,000"
14.7,"AMZN - Amazon.com, Inc.",Corporate SecuritiesStock,Spouse,"$500,001 - $1,000,000",None,None (or less than $201)
