last_name,first_name,party,state,filing_year,link
Adams,Alma S.,D,NC,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10059952.pdf
Aderholt,Robert B.,R,AL,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10060381.pdf
Aguilar,Pete,D,CA,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10060414.pdf
Alford,Mark,R,MO,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10060029.pdf
Allen,Rick W.,R,GA,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10060415.pdf
Allred,Colin Z.,D,TX,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10059582.pdf
Amo,Gabe,D,RI,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10062638.pdf
Amodei,Mark E.,R,NV,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10060908.pdf
Armstrong,Kelly,R,ND,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10057429.pdf
Arrington,Jodey C.,R,TX,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10060179.pdf
Auchincloss,Jake,D,MA,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10059259.pdf
Babin,Brian,R,TX,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10061079.pdf
Bacon,Don,R,NE,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10059759.pdf
Baird,James R.,R,IN,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10061119.pdf
Balderson,Troy,R,OH,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10057373.pdf
Baldwin,Tammy,D,WI,2024,https://efdsearch.senate.gov/search/view/annual/1965e9b4-7e0c-4c2e-ad42-d0c49bbe1f7d/
Balint,Becca,D,VT,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10059414.pdf
Banks,Jim,R,IN,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10062654.pdf
Barr,Andy,R,KY,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10062231.pdf
Barragan,Nanette Diaz,D,CA,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10057251.pdf
Barrasso,John,R,WY,2024,https://efdsearch.senate.gov/search/view/annual/139241f0-2606-43e7-a61d-c4b597660cf9/
Bean,Aaron,R,FL,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10060583.pdf
Beatty,Joyce,D,OH,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10060258.pdf
Bennet,Michael F.,D,CO,2024,https://efdsearch.senate.gov/search/view/annual/786a8aff-781a-458e-a9be-ccfd5ea46bfc/
Bentz,Cliff,R,OR,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10058877.pdf
Bera,Ami,D,CA,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10062178.pdf
Bergman,Jack,R,MI,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10061530.pdf
Beyer,Donald S.,D,VA,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10058899.pdf
Bice,Stephanie I.,R,OK,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10059895.pdf
Biggs,Andy,R,AZ,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10058937.pdf
Bilirakis,Gus M.,R,FL,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/8220418.pdf
Bishop,Dan,R,NC,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10062570.pdf
Bishop,Sanford D.,D,GA,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10060373.pdf
Blackburn,Marsha,R,TN,2024,https://efdsearch.senate.gov/search/view/annual/ad42cbc0-ed6f-4bc8-a9ff-32e6063f1306/
Blumenauer,Earl,D,OR,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10059735.pdf
Blumenthal,Richard,D,CT,2024,https://efdsearch.senate.gov/search/view/paper/86ac224d-3986-4406-9d5e-9c53db007ef4/
Blunt Rochester,Lisa,D,DE,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10060198.pdf
Boebert,Lauren,R,CO,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10061648.pdf
Bonamici,Suzanne,D,OR,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10059396.pdf
Booker,Cory A.,D,NJ,2024,https://efdsearch.senate.gov/search/view/annual/2d6f8208-ad5a-49f9-931e-dc87bfcccb9b/
Boozman,John,R,AR,2024,https://efdsearch.senate.gov/search/view/annual/a66f9abf-311f-4494-871f-4631eb7ebc57/
Bost,Mike,R,IL,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10057580.pdf
Bowman,Jamaal,D,NY,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10060343.pdf
Boyle,Brendan F.,D,PA,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10057086.pdf
Braun,Mike,R,IN,2024,https://efdsearch.senate.gov/search/view/annual/31b2b826-95a2-4da8-b850-4a472b284a73/
Brecheen,Josh,R,OK,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10060308.pdf
Britt,Katie Boyd,R,AL,2024,https://efdsearch.senate.gov/search/view/annual/ae8aa928-7d29-4e74-aac7-c8c9211713c7/
Brown,Sherrod,D,OH,2024,https://efdsearch.senate.gov/search/view/annual/0091a0e6-17d3-4a52-963a-fc1db3c5d80f/
Brown,Shontel M.,D,OH,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10060560.pdf
Brownley,Julia,D,CA,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10059679.pdf
Buchanan,Vern,R,FL,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10059297.pdf
Bucshon,Larry,R,IN,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10059502.pdf
Budd,Ted,R,NC,2024,https://efdsearch.senate.gov/search/view/annual/ac4f24bc-25fa-4821-80ca-0aa41539710d/
Budzinski,Nikki,D,IL,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10059128.pdf
Burchett,Tim,R,TN,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10057335.pdf
Burgess,Michael C.,R,TX,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10060806.pdf
Burlison,Eric,R,MO,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10062690.pdf
Bush,Cori,D,MO,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10061337.pdf
Butler,Laphonza R.,D,CA,2024,https://efdsearch.senate.gov/search/view/annual/ede91fb4-df19-4993-bf20-c86b03143458/
Calvert,Ken,R,CA,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10060206.pdf
Cammack,Kat,R,FL,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10060622.pdf
Cantwell,Maria,D,WA,2024,https://efdsearch.senate.gov/search/view/annual/4c6dee46-2f1c-41ba-bd01-1c8dce1349bf/
Capito,Shelley Moore,R,WV,2024,https://efdsearch.senate.gov/search/view/annual/1fc99b72-3465-4ff7-808c-80b7283cd6d2/
Caraveo,Yadira,D,CO,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10057540.pdf
Carbajal,Salud O.,D,CA,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10060345.pdf
Cardin,Benjamin L.,D,MD,2024,https://efdsearch.senate.gov/search/view/annual/3e3a7b84-38b9-49ab-80a8-89622e29b6f8/
Carey,Mike,R,OH,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10060281.pdf
Carl,Jerry L.,R,AL,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10060508.pdf
