last_name,first_name,party,state,chamber,congress_status,owner,filing_year,link,triggered_terms,matched_asset_names
Begich,Nicholas J.,R,AK,house,current,True,2025,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2025/10075994.pdf,bitcoin,"Bitcoin [CT], Bitcoin Cash [CT]"
Bresnahan,Robert P.,R,PA,house,current,True,2025,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2025/10075331.pdf,"coinbase, (coin)","JP Morgan Brokerage Account #2 => Coinbase Global, Inc. - Class A Common Stock (COIN) [ST]"
Britt,Katie Boyd,R,AL,senate,current,True,2026,https://efdsearch.senate.gov/search/view/annual/e94da42f-0f1b-416b-9af2-48034c5651b1/,"block, inc","SQ - Block, Inc. Class A Common Stock,"
Cisneros,Gilbert Ray,D,CA,house,current,True,2025,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2025/10074952.pdf,"block, inc, marathon digital, (mara), microstrategy, mstr, coinbase, (coin), (sq)","150 Main Street Trust ⇒ Bank of America ⇒ Block, Inc. Class A Common Stock, (XYZ) [ST], 150 Main Street Trust ⇒ Wells Fargo Advisors ⇒ Marathon Digital Holdings, Inc. - Common Stock (MARA) [ST], 150 Main Street Trust ⇒ Wells Fargo Advisors ⇒ MicroStrategy Incorporated - Class A (MSTR) [ST], 150 Main Street Trust ⇒ Bank of America ⇒ Coinbase Global, Inc. - Class A Common Stock (COIN) [ST], 150 Main Street Trust ⇒ Bank of America ⇒ Block, Inc. Class A Common Stock, (SQ) [ST]"
Collins,Mike,R,GA,house,current,True,2025,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2025/10081384.pdf,"ski mask dog, crypto, ethereum, cryptocurrency","ski mask dog [CT], Ski Mask Dog [CT], Ethereum Crypto currency [CT], Ethereum [CT], Cryptocurrency Assets"
Cruz,Ted,R,TX,senate,current,True,2026,https://efdsearch.senate.gov/search/view/annual/cf2a1a88-62f5-41ae-95ed-48a341687be7/,bitcoin,"Bitcoin Exchange/Platform: River Financial Inc, Bitcoin MinersDescription: Three Bitcoin Miners (Iraan, Texas), Bitcoin MinersDescription: Bitmain S21"
Donalds,Byron,R,FL,house,current,True,2025,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2025/10075306.pdf,"crypto, btc, bitcoin","Alto IRA => Bitcoin (CRYPTO:BTC) [CT], Bitcoin (CRYPTO:BTC) [CT]"
Fetterman,John,D,PA,senate,current,True,2026,https://efdsearch.senate.gov/search/view/annual/8eed05ea-ec2d-4ef5-b458-d410fd76b40e/,coinbase,"COIN - Coinbase Global, Inc. - Class A Common StockFiler comment: Purchase less than $1,000."
Gill,Brandon,R,TX,house,current,True,2025,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2025/10077427.pdf,btc,BTC [CT]
Harrigan,Pat,R,NC,house,current,True,2025,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2025/10081474.pdf,ethereum,Ethereum [CT]
Jackson,Jeff,D,NC,house,past,True,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10061286.pdf,"cryptocurrency, cardano","Cryptocurrency => Ankr [OT], Cryptocurrency => Cardano [OT]"
Khanna,Ro,D,CA,house,current,True,2025,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2025/9116272.pdf,"coinbase, block inc, block, inc","COINBASE GLOBAL INC CMN CLASS A, BLOCK INC CMN CLASS A, COINBASE GLOBAL, INC. CMN CLASS A, BLOCK, INC CMN CLASS A"
Lummis,Cynthia M.,R,WY,senate,current,True,2026,https://efdsearch.senate.gov/search/view/annual/1e9b68e7-a359-4b46-9621-d07d92c25689/,bitcoin (qualified blind trust exception),Qualified Blind Trust (previously disclosed Bitcoin)
Luttrell,Morgan,R,TX,house,current,True,2025,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2025/10081366.pdf,"bitcoin, fbtc",Fidelity Wise Origin Bitcoin Fund (FBTC) [EF]
Mackenzie,Ryan,R,PA,house,current,True,2025,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2025/10076997.pdf,"bitcoin, coinbase",Coinbase Account (Bitcoin) [CT]
McBath,Lucy,D,GA,house,current,True,2025,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2025/10074842.pdf,"coinbase, (coin)","Curtis - Fidelity Rollover IRA ⇒ Coinbase Global, Inc. - Class A Common Stock (COIN) [ST]"
McCormick,David,R,PA,senate,current,True,2026,https://efdsearch.senate.gov/search/view/annual/3e2b0cca-3ab7-428e-b2ce-f08691f27dd1/,"bitcoin, bitb, ethereum","BITB - Bitwise Bitcoin ETF, ETHW - Bitwise Ethereum ETF"
Miller,Max L.,R,OH,house,current,True,2025,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2025/10076162.pdf,"bitcoin, ibit","1989 Trust ⇒ iShares Bitcoin Trust ETF (IBIT) [ET], iShares Bitcoin Trust ETF (IBIT) [ET]"
Patronis,Jimmy,R,FL,house,current,True,2025,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2025/10076284.pdf,bitcoin,Bitcoin [CT]
Pelosi,Nancy,D,CA,house,current,True,2025,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2025/10075701.pdf,"block, inc, (sq)","Block, Inc. Class A Common Stock, (SQ) [ST]"
Reschenthaler,Guy,R,PA,house,current,True,2025,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2025/10075419.pdf,"ripple, xrp, btc, bitcoin, solana","XRP (Ripple) [CT], BTC (Bitcoin) [CT], SOL (Solana) [CT]"
Sheehy,Tim,R,MT,senate,current,True,2026,https://efdsearch.senate.gov/search/view/annual/27930567-6b16-4a88-ab6f-f372303a7224/,bitcoin,"FS NYDIG SELECT BITCOIN LPDescription: Investment Fund (New York, NY)"
Smith,Adrian,R,NE,house,current,True,2025,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2025/10076487.pdf,bitcoin,BITCOIN BANCORP (BCBC) [ST]
Thanedar,Shri,D,MI,house,current,True,2025,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2025/10075203.pdf,"bitcoin, ibit, (etha), ethereum, mstr","iShares Bitcoin Trust ETF - iShares Bitcoin Trust ETF (IBIT) [ET], iShares Ethereum Trust ETF (ETHA) [ST], iShares Bitcoin Trust ETF (IBIT) [ST], Strategy Inc - Class A Common Stock (MSTR) [ST]"
Tlaib,Rashida,D,MI,house,current,True,2025,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2025/10074621.pdf,"bitcoin, ibit, grayscale, ethereum","Schwab Rollover Traditional IRA ⇒ iShares Bitcoin Trust ETF (IBIT) [EF], Schwab Roth Contributory IRA ⇒ Grayscale Ethereum Staking Mini ETF Shares (ETH) [ST], Schwab Roth Contributory IRA ⇒ iShares Bitcoin Trust ETF (IBIT) [ST], Schwab Roth Contributory IRA ⇒ iShares Bitcoin Trust ETF (IBIT) [EF]"
Tran,Derek,D,CA,house,current,True,2025,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2025/10074943.pdf,"cryptocurrency, coinbase, binance","Coinbase cryptocurrency wallet, Binance cryptocurrency wallet"
Van Drew,Jefferson,R,NJ,house,current,True,2025,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2025/9116169.pdf,grayscale (handwritten disclosure exception),Grayscale Investment Trust
Vance,J. D.,R,OH,senate,past,True,2024,https://efdsearch.senate.gov/search/view/annual/2f2f5bbc-50c5-4b00-acd9-85870f9e349c/,coinbase,BTCExchange/Platform: Coinbase
Waltz,Michael,R,FL,house,past,True,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10057260.pdf,bitcoin,"Bitcoin [OT], Cresset Investment Account => Wise Origin Bitcoin Index Fund I, LP [HE]"
Adams,Alma S.,D,NC,house,current,False,2025,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2025/10077643.pdf,,
Aderholt,Robert B.,R,AL,house,current,False,2025,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2025/10078366.pdf,,
Aguilar,Pete,D,CA,house,current,False,2025,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2025/10076409.pdf,,
Alford,Mark,R,MO,house,current,False,2025,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2025/10076207.pdf,,
Allen,Rick W.,R,GA,house,current,False,2025,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2025/10074380.pdf,,
