last_name,first_name,state,filing_year
Adams,Alma S.,NC,2025
Aderholt,Robert B.,AL,2025
Aguilar,Pete,CA,2025
Alford,Mark,MO,2025
Allen,Rick W.,GA,2025
Alsobrooks,Angela D.,MD,2026
Amo,Gabe,RI,2025
Amodei,Mark E.,NV,2025
Ansari,Yassamin,AZ,2025
Arrington,Jodey C.,TX,2025
Auchincloss,Jake,MA,2025
Babin,Brian,TX,2025
Bacon,Don,NE,2025
Baird,James R.,IN,2025
Balderson,Troy,OH,2025
Baldwin,Tammy,WI,2026
Balint,Becca,VT,2025
Banks,Jim,IN,2026
Barr,Andy,KY,2025
Barragan,Nanette Diaz,CA,2025
Barrasso,John,WY,2026
Barrett,Tom,MI,2025
Baumgartner,Michael,WA,2025
Bean,Aaron,FL,2025
Beatty,Joyce,OH,2025
Begich,Nicholas J.,AK,2025
Bell,Wesley,MO,2025
Bennet,Michael F.,CO,2026
Bentz,Cliff,OR,2025
Bera,Ami,CA,2025
Bergman,Jack,MI,2025
Beyer,Donald S.,VA,2025
Bice,Stephanie I.,OK,2025
Biggs,Andy,AZ,2025
Biggs,Sheri,SC,2025
Bilirakis,Gus M.,FL,2025
Bishop,Sanford D.,GA,2025
Blackburn,Marsha,TN,2026
Blumenthal,Richard,CT,2026
Blunt Rochester,Lisa,DE,2026
Bonamici,Suzanne,OR,2025
Booker,Cory A.,NJ,2026
Boozman,John,AR,2026
Bost,Mike,IL,2025
Boyle,Brendan F.,PA,2025
Brecheen,Josh,OK,2025
Bresnahan,Robert P.,PA,2025
Britt,Katie Boyd,AL,2026
Brown,Shontel M.,OH,2025
Brownley,Julia,CA,2025
Buchanan,Vern,FL,2025
Budd,Ted,NC,2026
Budzinski,Nikki,IL,2025
Burchett,Tim,TN,2025
Burlison,Eric,MO,2025
Bynum,Janelle S.,OR,2025
Calvert,Ken,CA,2025
Cammack,Kat,FL,2025
Cantwell,Maria,WA,2026
Capito,Shelley Moore,WV,2026
Carbajal,Salud O.,CA,2025
Carey,Mike,OH,2025
Carson,André,IN,2025
Carter,"Earl L. ""Buddy""",GA,2025
Carter,John R.,TX,2025
Carter,Troy A.,LA,2025
Casar,Greg,TX,2025
Case,Ed,HI,2025
Cassidy,Bill,LA,2026
Casten,Sean,IL,2025
Castor,Kathy,FL,2025
Castro,Joaquin,TX,2025
Chu,Judy,CA,2025
Ciscomani,Juan,AZ,2025
Cisneros,Gilbert Ray,CA,2025
Clark,Katherine M.,MA,2025
Clarke,Yvette D.,NY,2025
Cleaver,Emanuel,MO,2025
Cline,Ben,VA,2025
Cloud,Michael,TX,2025
Clyburn,James E.,SC,2025
Clyde,Andrew S.,GA,2025
Cohen,Steve,TN,2025
Cole,Tom,OK,2025
Collins,Mike,GA,2025
Collins,Susan M.,ME,2026
Comer,James,KY,2025
Conaway,Herbert C.,NJ,2025
Coons,Christopher A.,DE,2026
Cornyn,John,TX,2026
Correa,J. Luis,CA,2025
Cortez Masto,Catherine,NV,2026
Costa,Jim,CA,2025
Cotton,Tom,AR,2026
Courtney,Joe,CT,2025
Craig,Angie,MN,2025
Cramer,Kevin,ND,2026
Crane,Elijah,AZ,2025
Crank,Jeff,CO,2025
Crapo,Mike,ID,2026
Crawford,"Eric A. ""Rick""",AR,2025
Crockett,Jasmine,TX,2025
Crow,Jason,CO,2025
Cruz,Ted,TX,2026
Cuellar,Henry,TX,2025
Curtis,John R.,UT,2026
Daines,Steve,MT,2026
Davids,Sharice,KS,2025
Davidson,Warren,OH,2025
Davis,Danny K.,IL,2025
Davis,Donald G.,NC,2025
De La Cruz,Monica,TX,2025
DeGette,Diana,CO,2025
DeLauro,Rosa L.,CT,2025
DeSaulnier,Mark,CA,2025
Dean,Madeleine,PA,2025
DelBene,Suzan K.,WA,2025
Deluzio,Christopher R.,PA,2025
DesJarlais,Scott,TN,2025
Dexter,Maxine,OR,2025
Diaz-Balart,Mario,FL,2025
Dingell,Debbie,MI,2025
Doggett,Lloyd,TX,2025
Donalds,Byron,FL,2025
Downing,Troy,MT,2025
Dunn,Neal P.,FL,2025
Durbin,Richard J.,IL,2026
Edwards,Chuck,NC,2025
Elfreth,Sarah,MD,2025
Ellzey,Jake,TX,2025
Emmer,Tom,MN,2025
Ernst,Joni,IA,2026
Escobar,Veronica,TX,2025
Espaillat,Adriano,NY,2025
Estes,Ron,KS,2025
Evans,Dwight,PA,2025
Evans,Gabe,CO,2025
Ezell,Mike,MS,2025
Fallon,Pat,TX,2025
Fedorchak,Julie,ND,2025
Feenstra,Randy,IA,2025
Fetterman,John,PA,2026
Fields,Cleo,LA,2025
Figures,Shomari,AL,2025
Fine,Randy,FL,2025
Finstad,Brad,MN,2025
Fischbach,Michelle,MN,2025
Fischer,Deb,NE,2026
Fitzgerald,Scott,WI,2025
Fitzpatrick,Brian K.,PA,2025
Fleischmann,"Charles J. ""Chuck""",TN,2025
Fletcher,Lizzie,TX,2025
Flood,Mike,NE,2025
Fong,Vince,CA,2025
Foster,Bill,IL,2025
Foushee,Valerie P.,NC,2025
Foxx,Virginia,NC,2025
Frankel,Lois,FL,2025
Franklin,Scott,FL,2025
Friedman,Laura,CA,2025
Frost,Maxwell,FL,2025
Fry,Russell,SC,2025
Fulcher,Russ,ID,2025
Fuller,Clay,GA,2026
Gallego,Ruben,AZ,2026
Garamendi,John,CA,2025
Garbarino,Andrew R.,NY,2025
Garcia,Robert,CA,2025
Garcia,Sylvia R.,TX,2025
Garcia,"Jesús G. ""Chuy""",IL,2025
Gill,Brandon,TX,2025
Gillen,Laura,NY,2025
Gillibrand,Kirsten E.,NY,2026
Gimenez,Carlos A.,FL,2025
Golden,Jared F.,ME,2025
Goldman,Craig A.,TX,2025
Goldman,Daniel S.,NY,2025
Gomez,Jimmy,CA,2025
Gonzalez,Vicente,TX,2025
Gooden,Lance,TX,2025
Goodlander,Maggie,NH,2025
Gosar,Paul A.,AZ,2025
Gottheimer,Josh,NJ,2025
Grassley,Chuck,IA,2026
Graves,Sam,MO,2025
Gray,Adam,CA,2025
Green,Al,TX,2025
Griffith,H. Morgan,VA,2025
Grijalva,Adelita S.,AZ,2025
Grothman,Glenn,WI,2025
Guest,Michael,MS,2025
Guthrie,Brett,KY,2025
Hageman,Harriet M.,WY,2025
Hagerty,Bill,TN,2026
Hamadeh,Abraham J.,AZ,2025
Harder,Josh,CA,2025
Haridopolos,Mike,FL,2025
Harrigan,Pat,NC,2025
Harris,Andy,MD,2025
Harris,Mark,NC,2025
Harshbarger,Diana,TN,2025
Hassan,Margaret Wood,NH,2026
Hawley,Josh,MO,2026
Hayes,Jahana,CT,2025
Heinrich,Martin,NM,2026
Hern,Kevin,OK,2025
Hernandez,Pablo Jose,PR,2025
Hickenlooper,John W.,CO,2026
Higgins,Clay,LA,2025
Hill,J. French,AR,2025
Himes,James A.,CT,2025
Arenholz,Ashley,IA,2025
Hirono,Mazie K.,HI,2026
Hoeven,John,ND,2026
Horsford,Steven,NV,2025
Houchin,Erin,IN,2025
Houlahan,Chrissy,PA,2025
Hoyer,Steny H.,MD,2025
Hoyle,Val T.,OR,2025
Hudson,Richard,NC,2025
Huffman,Jared,CA,2025
Huizenga,Bill,MI,2025
Hunt,Wesley,TX,2025
Hurd,Jeff,CO,2025
Husted,Jon,OH,2026
Hyde-Smith,Cindy,MS,2026
Issa,Darrell,CA,2025
Ivey,Glenn,MD,2025
Jack,Brian,GA,2025
